candidate	gene	evidence_tier	gate	passed	wave61_call
NVP-AUY922;PU-H71;geldanamycin;tanespimycin	HSP90AA1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
thapsigargin	ATP2A1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
radicicol	NAN	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
SB-225002	CXCR2	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
BI-2536	PLK1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
vincristine	TUBB	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
flavokavain-b	IKBKB	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
7b-cis	XPO1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
PNU-74654	CTNNB1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
BRD-K30351863	APEX1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
GW-6471	PPARA	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
prednisolone-acetate	NR3C1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
CA-074-Me	CTSB	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
AG-592;BAY-11-7082;BG-FA-0953;BRD-A09719808;BRD-A18411371;BRD-A20131130;BRD-A26595446;BRD-A36275421;BRD-A37735495;BRD-A68065211;BRD-A95513702;BRD-K00429057;BRD-K03736784;BRD-K05153001;BRD-K05197617;BRD-K05396879;BRD-K05562558;BRD-K05979026;BRD-K06765193;BRD-K07005393;BRD-K10057859;BRD-K10846167;BRD-K28040935;BRD-K30468800;BRD-K30697463;BRD-K32636001;BRD-K33583600;BRD-K35024477;BRD-K37340241;BRD-K39345836;BRD-K50204028;BRD-K51556300;BRD-K56196992;BRD-K60870698;BRD-K69516039;BRD-K72381041;BRD-K726	NAN	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
withaferin-a	NAMPT	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
memantine	GRIN1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
WAY-170523	MMP13	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
arvanil	CNR1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
triprolidine	HRH1	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
BRD-K89329876	KIF11	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
ryuvidine	CDK4	l1000_mechanism_summary_support_only	count	False	NO_GO_L1000_MECHANISM_ONLY
