evidence_tier	candidate	gene	source	dataset	system	perturbation_type	target_suppression	generic_ifn_suppression	target_vs_ifn_margin	selectivity_score	stress_induction	manual_blocker	gate_count	direct_priority_score	wave61_call	gate_real_perturbation	gate_selective_over_ifn	gate_not_generic_collapse	gate_stress_guardrail	gate_primary_or_relevant_system	gate_repair_or_efferocytosis_guardrail	gate_cross_disease_recurrence	gate_ms_nominal_anchor	gate_residual_support	gate_genetic_support	gate_druggable_or_modality	gate_no_manual_blocker	positive_disease_count	negative_disease_count	positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	opentargets_max_genetic_association	opentargets_disease_count	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	top_retained_tests	wave34_call	gwas_catalog_trait_count	chembl_target_id	chembl_best_nM	druggable_activity_count	efferocytosis_screen_call	efferocytosis_median_efficient_minus_noneater_lfc	efferocytosis_contrast_fdr	geneformer_model_support_pass	wave57_call	l1000_wave24_call	l1000_promotion_gate	l1000_opposite_queries	l1000_best_rank	l1000_min_qval	l1000_contradicted_by_similar_hit	gate_lipid_apc_reduced	gate_ifn_not_collapsed	gate_stress_not_increased	gate_resolution_gain	gate_profibrosis_not_increased	gate_replicated_or_statistical
l1000_mechanism_summary_support_only	NVP-AUY922;PU-H71;geldanamycin;tanespimycin	HSP90AA1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					3.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		4.0	3.08543314439944e-07							
l1000_mechanism_summary_support_only	thapsigargin	ATP2A1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		2.0	3.33468284702094e-07							
l1000_mechanism_summary_support_only	radicicol	NAN	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		5.0	3.08543314439944e-07							
l1000_mechanism_summary_support_only	SB-225002	CXCR2	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO_PRIOR	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO_PRIOR	NO_GO		7.0	4.7161861024928e-06							
l1000_mechanism_summary_support_only	BI-2536	PLK1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		8.0	4.88465195996193e-06							
l1000_mechanism_summary_support_only	vincristine	TUBB	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		11.0	4.70712929556801e-06							
l1000_mechanism_summary_support_only	flavokavain-b	IKBKB	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		12.0	4.71443193564889e-06							
l1000_mechanism_summary_support_only	7b-cis	XPO1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		15.0	8.83733908701768e-06							
l1000_mechanism_summary_support_only	PNU-74654	CTNNB1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		16.0	8.83733908701768e-06							
l1000_mechanism_summary_support_only	BRD-K30351863	APEX1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		22.0	9.03442048884882e-06							
l1000_mechanism_summary_support_only	GW-6471	PPARA	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO_PRIOR	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO_PRIOR	NO_GO		26.0	8.83733908701768e-06							
l1000_mechanism_summary_support_only	prednisolone-acetate	NR3C1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		34.0	8.83733908701768e-06							
l1000_mechanism_summary_support_only	CA-074-Me	CTSB	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		NO_GO_PRIOR	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO_PRIOR	NO_GO		41.0	8.83733908701768e-06							
l1000_mechanism_summary_support_only	AG-592;BAY-11-7082;BG-FA-0953;BRD-A09719808;BRD-A18411371;BRD-A20131130;BRD-A26595446;BRD-A36275421;BRD-A37735495;BRD-A68065211;BRD-A95513702;BRD-K00429057;BRD-K03736784;BRD-K05153001;BRD-K05197617;BRD-K05396879;BRD-K05562558;BRD-K05979026;BRD-K06765193;BRD-K07005393;BRD-K10057859;BRD-K10846167;BRD-K28040935;BRD-K30468800;BRD-K30697463;BRD-K32636001;BRD-K33583600;BRD-K35024477;BRD-K37340241;BRD-K39345836;BRD-K50204028;BRD-K51556300;BRD-K56196992;BRD-K60870698;BRD-K69516039;BRD-K72381041;BRD-K726	NAN	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					2.0		PARK_UNKNOWN	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_UNKNOWN	PARK_UNKNOWN_ONLY		1.0	2.85209566712362e-08							
l1000_mechanism_summary_support_only	withaferin-a	NAMPT	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		2.0	0.596745389998244							
l1000_mechanism_summary_support_only	memantine	GRIN1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		3.0	0.566910809286373							
l1000_mechanism_summary_support_only	WAY-170523	MMP13	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		3.0	3.27392831556839e-07							
l1000_mechanism_summary_support_only	arvanil	CNR1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		4.0	4.70712929556801e-06							
l1000_mechanism_summary_support_only	triprolidine	HRH1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		4.0	0.805603902146875							
l1000_mechanism_summary_support_only	BRD-K89329876	KIF11	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		5.0	0.74950198399974							
l1000_mechanism_summary_support_only	ryuvidine	CDK4	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		6.0	0.768581834015827							
l1000_mechanism_summary_support_only	KO-143	ABCG2	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		9.0	4.70712929556801e-06							
l1000_mechanism_summary_support_only	BRD-K20168484	ALOX5AP	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		NO_GO_PRIOR	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO_PRIOR	NO_GO		9.0	8.83733908701768e-06							
l1000_mechanism_summary_support_only	SB-218078	CHEK1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		NO_GO	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO	NO_GO		9.0	0.869167133307089							
l1000_mechanism_summary_support_only	miglitol	GAA	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		PARK_REVIEW	0		NO_GO_L1000_MECHANISM_ONLY																																		PARK_REVIEW	NO_GO		10.0	0.885415802724685							
l1000_mechanism_summary_support_only	dexamethasone;flumetasone;fluticasone	NR3C1	L1000FWD	LINCS/L1000FWD	mechanism-level recurrent reversal					1.0		NO_GO_PRIOR	0		NO_GO_L1000_MECHANISM_ONLY																																		NO_GO_PRIOR	NO_GO		11.0	0.805603902146875							
