endpoint	left_out_donor	status	mutual_adjusted_foamy_beta
oxphos	MS01	estimated	-0.5129577618534832
oxphos	MS02	estimated	-0.5847374208004892
oxphos	MS03	estimated	-0.5370376684850362
oxphos	MS05	estimated	-0.5880408951117292
oxphos	MS06	estimated	-0.497639754806955
oxphos	MS08	estimated	-0.581189886128296
oxphos	MS09	estimated	-0.6007974925415408
oxphos	MS10	estimated	-0.5161226872450991
oxphos	MS13	estimated	-0.5353581133770757
oxphos	MS15	estimated	-0.559254251093346
oxphos	MS16	estimated	-0.5975023456448717
oxphos	MS17	estimated	-0.6220210695644071
oxphos	MS18	estimated	-0.6159108473720567
oxphos	MS19	estimated	-0.69809284688836
oxphos	MS20	estimated	-0.638008900473412
oxphos	MS21	estimated	-0.47897832113720207
oxphos	MS23	estimated	-0.4514641191941441
oxphos	MS25	estimated	-0.5542042459909082
oxphos	MS26	estimated	-0.5679388945237847
oxphos	MS27	estimated	-0.48583930783755014
oxphos	MS28	estimated	-0.5548615940040552
lysosomal_unique	MS01	estimated	0.39140868257159595
lysosomal_unique	MS02	estimated	0.4776312245873515
lysosomal_unique	MS03	estimated	0.43576669553263475
lysosomal_unique	MS05	estimated	0.4527864658126191
lysosomal_unique	MS06	estimated	0.4674417932039616
lysosomal_unique	MS08	estimated	0.5299586351019392
lysosomal_unique	MS09	estimated	0.5144427648355222
lysosomal_unique	MS10	estimated	0.4308389269491809
lysosomal_unique	MS13	estimated	0.3982039648361231
lysosomal_unique	MS15	estimated	0.4610591113649693
lysosomal_unique	MS16	estimated	0.47123599367288355
lysosomal_unique	MS17	estimated	0.47201706104485974
lysosomal_unique	MS18	estimated	0.5240613009886086
lysosomal_unique	MS19	estimated	0.5436403430430334
lysosomal_unique	MS20	estimated	0.465340255347205
lysosomal_unique	MS21	estimated	0.418382927567871
lysosomal_unique	MS23	estimated	0.5055934015254873
lysosomal_unique	MS25	estimated	0.4835448120646227
lysosomal_unique	MS26	estimated	0.45413809121891435
lysosomal_unique	MS27	estimated	0.4523262326184415
lysosomal_unique	MS28	estimated	0.35225190287107094
