seed	effect_scale	true_noise_multiplier	method	abstention_probability	mean_donors_per_context	prob_any_uniform_rescue	prob_any_context_harm	prob_any_other_false	uniform_rescue_recall	selection_precision	mean_n_selected	undersize_vs_oracle_probability	oversize_vs_oracle_probability
57401	0.80	0.75	fixed_12	0.000000	12.000000	0.916000	0.000000	0.000000	0.495500	1.000000	1.982000		
57401	0.80	0.75	blinded_adaptive	0.000000	12.216000	0.916000	0.000000	0.000000	0.495500	1.000000	1.982000	0.000000	0.054000
57401	0.80	0.75	oracle	0.000000	12.000000	0.916000	0.000000	0.000000	0.495500	1.000000	1.982000		
57401	0.80	1.00	fixed_12	0.000000	12.000000	0.868000	0.000000	0.000000	0.415000	1.000000	1.660000		
57401	0.80	1.00	blinded_adaptive	0.000000	18.080000	0.910000	0.000000	0.000000	0.486500	1.000000	1.946000	0.000000	0.906000
57401	0.80	1.00	oracle	0.000000	12.000000	0.868000	0.000000	0.000000	0.415000	1.000000	1.660000		
57401	0.80	1.25	fixed_12	0.000000	12.000000	0.558000	0.000000	0.000000	0.185500	1.000000	0.742000		
57401	0.80	1.25	blinded_adaptive	0.110000	24.208000	0.810000	0.000000	0.000000	0.438500	1.000000	1.754000	0.020000	0.734000
57401	0.80	1.25	oracle	0.000000	20.000000	0.894000	0.000000	0.000000	0.471000	1.000000	1.884000		
57401	0.80	1.50	fixed_12	0.000000	12.000000	0.112000	0.000000	0.000000	0.031000	1.000000	0.124000		
57401	0.80	1.50	blinded_adaptive	0.704000	9.136000	0.248000	0.000000	0.000000	0.128000	1.000000	0.512000	0.036000	0.000000
57401	0.80	1.50	oracle	0.000000	32.000000	0.912000	0.000000	0.000000	0.487500	1.000000	1.950000		
57401	1.00	0.75	fixed_12	0.000000	12.000000	0.952000	0.000000	0.000000	0.548000	1.000000	2.192000		
57401	1.00	0.75	blinded_adaptive	0.000000	12.232000	0.952000	0.000000	0.000000	0.549000	1.000000	2.196000	0.000000	0.058000
57401	1.00	0.75	oracle	0.000000	12.000000	0.952000	0.000000	0.000000	0.548000	1.000000	2.192000		
57401	1.00	1.00	fixed_12	0.000000	12.000000	0.916000	0.000000	0.000000	0.470500	1.000000	1.882000		
57401	1.00	1.00	blinded_adaptive	0.000000	18.032000	0.944000	0.000000	0.000000	0.539500	1.000000	2.158000	0.000000	0.904000
57401	1.00	1.00	oracle	0.000000	12.000000	0.916000	0.000000	0.000000	0.470500	1.000000	1.882000		
57401	1.00	1.25	fixed_12	0.000000	12.000000	0.708000	0.000000	0.000000	0.266000	1.000000	1.064000		
