seed	effect_scale	true_noise_multiplier	method	donors_per_context	probability
57401	0.80	0.75	fixed_12	0	0.000000
57401	0.80	0.75	fixed_12	12	1.000000
57401	0.80	0.75	fixed_12	16	0.000000
57401	0.80	0.75	fixed_12	20	0.000000
57401	0.80	0.75	fixed_12	24	0.000000
57401	0.80	0.75	fixed_12	32	0.000000
57401	0.80	0.75	blinded_adaptive	0	0.000000
57401	0.80	0.75	blinded_adaptive	12	0.946000
57401	0.80	0.75	blinded_adaptive	16	0.054000
57401	0.80	0.75	blinded_adaptive	20	0.000000
57401	0.80	0.75	blinded_adaptive	24	0.000000
57401	0.80	0.75	blinded_adaptive	32	0.000000
57401	0.80	0.75	oracle	0	0.000000
57401	0.80	0.75	oracle	12	1.000000
57401	0.80	0.75	oracle	16	0.000000
57401	0.80	0.75	oracle	20	0.000000
57401	0.80	0.75	oracle	24	0.000000
57401	0.80	0.75	oracle	32	0.000000
57401	0.80	1.00	fixed_12	0	0.000000
57401	0.80	1.00	fixed_12	12	1.000000
57401	0.80	1.00	fixed_12	16	0.000000
57401	0.80	1.00	fixed_12	20	0.000000
57401	0.80	1.00	fixed_12	24	0.000000
57401	0.80	1.00	fixed_12	32	0.000000
57401	0.80	1.00	blinded_adaptive	0	0.000000
57401	0.80	1.00	blinded_adaptive	12	0.094000
57401	0.80	1.00	blinded_adaptive	16	0.434000
57401	0.80	1.00	blinded_adaptive	20	0.354000
57401	0.80	1.00	blinded_adaptive	24	0.106000
57401	0.80	1.00	blinded_adaptive	32	0.012000
57401	0.80	1.00	oracle	0	0.000000
57401	0.80	1.00	oracle	12	1.000000
57401	0.80	1.00	oracle	16	0.000000
57401	0.80	1.00	oracle	20	0.000000
57401	0.80	1.00	oracle	24	0.000000
57401	0.80	1.00	oracle	32	0.000000
57401	0.80	1.25	fixed_12	0	0.000000
57401	0.80	1.25	fixed_12	12	1.000000
57401	0.80	1.25	fixed_12	16	0.000000
57401	0.80	1.25	fixed_12	20	0.000000
57401	0.80	1.25	fixed_12	24	0.000000
57401	0.80	1.25	fixed_12	32	0.000000
57401	0.80	1.25	blinded_adaptive	0	0.110000
57401	0.80	1.25	blinded_adaptive	12	0.000000
57401	0.80	1.25	blinded_adaptive	16	0.020000
57401	0.80	1.25	blinded_adaptive	20	0.136000
57401	0.80	1.25	blinded_adaptive	24	0.290000
57401	0.80	1.25	blinded_adaptive	32	0.444000
57401	0.80	1.25	oracle	0	0.000000
57401	0.80	1.25	oracle	12	0.000000
57401	0.80	1.25	oracle	16	0.000000
57401	0.80	1.25	oracle	20	1.000000
57401	0.80	1.25	oracle	24	0.000000
57401	0.80	1.25	oracle	32	0.000000
57401	0.80	1.50	fixed_12	0	0.000000
57401	0.80	1.50	fixed_12	12	1.000000
57401	0.80	1.50	fixed_12	16	0.000000
57401	0.80	1.50	fixed_12	20	0.000000
57401	0.80	1.50	fixed_12	24	0.000000
57401	0.80	1.50	fixed_12	32	0.000000
57401	0.80	1.50	blinded_adaptive	0	0.704000
57401	0.80	1.50	blinded_adaptive	12	0.000000
57401	0.80	1.50	blinded_adaptive	16	0.000000
57401	0.80	1.50	blinded_adaptive	20	0.012000
57401	0.80	1.50	blinded_adaptive	24	0.024000
57401	0.80	1.50	blinded_adaptive	32	0.260000
57401	0.80	1.50	oracle	0	0.000000
57401	0.80	1.50	oracle	12	0.000000
57401	0.80	1.50	oracle	16	0.000000
57401	0.80	1.50	oracle	20	0.000000
57401	0.80	1.50	oracle	24	0.000000
57401	0.80	1.50	oracle	32	1.000000
57401	1.00	0.75	fixed_12	0	0.000000
57401	1.00	0.75	fixed_12	12	1.000000
57401	1.00	0.75	fixed_12	16	0.000000
57401	1.00	0.75	fixed_12	20	0.000000
57401	1.00	0.75	fixed_12	24	0.000000
57401	1.00	0.75	fixed_12	32	0.000000
57401	1.00	0.75	blinded_adaptive	0	0.000000
57401	1.00	0.75	blinded_adaptive	12	0.942000
57401	1.00	0.75	blinded_adaptive	16	0.058000
57401	1.00	0.75	blinded_adaptive	20	0.000000
57401	1.00	0.75	blinded_adaptive	24	0.000000
57401	1.00	0.75	blinded_adaptive	32	0.000000
57401	1.00	0.75	oracle	0	0.000000
57401	1.00	0.75	oracle	12	1.000000
57401	1.00	0.75	oracle	16	0.000000
57401	1.00	0.75	oracle	20	0.000000
57401	1.00	0.75	oracle	24	0.000000
57401	1.00	0.75	oracle	32	0.000000
57401	1.00	1.00	fixed_12	0	0.000000
57401	1.00	1.00	fixed_12	12	1.000000
57401	1.00	1.00	fixed_12	16	0.000000
57401	1.00	1.00	fixed_12	20	0.000000
57401	1.00	1.00	fixed_12	24	0.000000
57401	1.00	1.00	fixed_12	32	0.000000
57401	1.00	1.00	blinded_adaptive	0	0.000000
57401	1.00	1.00	blinded_adaptive	12	0.096000
57401	1.00	1.00	blinded_adaptive	16	0.436000
57401	1.00	1.00	blinded_adaptive	20	0.360000
57401	1.00	1.00	blinded_adaptive	24	0.094000
57401	1.00	1.00	blinded_adaptive	32	0.014000
57401	1.00	1.00	oracle	0	0.000000
57401	1.00	1.00	oracle	12	1.000000
57401	1.00	1.00	oracle	16	0.000000
57401	1.00	1.00	oracle	20	0.000000
57401	1.00	1.00	oracle	24	0.000000
57401	1.00	1.00	oracle	32	0.000000
57401	1.00	1.25	fixed_12	0	0.000000
57401	1.00	1.25	fixed_12	12	1.000000
