gsm	patient	timepoint_norm	marker_compartment	n_cells
GSM8012305	TOF_005	W0	ambiguous	134
GSM8012305	TOF_005	W0	b_plasma_like	1775
GSM8012305	TOF_005	W0	epithelial_like	99
GSM8012305	TOF_005	W0	myeloid_apc_like	328
GSM8012305	TOF_005	W0	stromal_endothelial_like	257
GSM8012305	TOF_005	W0	t_cell_like	638
GSM8012306	TOF_005	W8	ambiguous	287
GSM8012306	TOF_005	W8	b_plasma_like	1004
GSM8012306	TOF_005	W8	epithelial_like	291
GSM8012306	TOF_005	W8	myeloid_apc_like	591
GSM8012306	TOF_005	W8	stromal_endothelial_like	122
GSM8012306	TOF_005	W8	t_cell_like	630
GSM8012307	TOF_005	W24	ambiguous	393
GSM8012307	TOF_005	W24	b_plasma_like	1840
GSM8012307	TOF_005	W24	epithelial_like	386
GSM8012307	TOF_005	W24	myeloid_apc_like	289
GSM8012307	TOF_005	W24	stromal_endothelial_like	108
GSM8012307	TOF_005	W24	t_cell_like	826
GSM8012308	TOF_009	W0	ambiguous	169
GSM8012308	TOF_009	W0	b_plasma_like	2504
GSM8012308	TOF_009	W0	epithelial_like	58
GSM8012308	TOF_009	W0	myeloid_apc_like	672
GSM8012308	TOF_009	W0	stromal_endothelial_like	49
GSM8012308	TOF_009	W0	t_cell_like	1310
GSM8012309	TOF_009	W48	ambiguous	238
GSM8012309	TOF_009	W48	b_plasma_like	460
GSM8012309	TOF_009	W48	epithelial_like	907
GSM8012309	TOF_009	W48	myeloid_apc_like	175
GSM8012309	TOF_009	W48	stromal_endothelial_like	359
GSM8012309	TOF_009	W48	t_cell_like	245
GSM8012310	TOF_010	W0	ambiguous	542
GSM8012310	TOF_010	W0	b_plasma_like	1501
GSM8012310	TOF_010	W0	epithelial_like	539
GSM8012310	TOF_010	W0	myeloid_apc_like	208
GSM8012310	TOF_010	W0	stromal_endothelial_like	173
GSM8012310	TOF_010	W0	t_cell_like	1075
GSM8012311	TOF_011	W0	ambiguous	282
GSM8012311	TOF_011	W0	b_plasma_like	763
GSM8012311	TOF_011	W0	epithelial_like	220
GSM8012311	TOF_011	W0	myeloid_apc_like	191
GSM8012311	TOF_011	W0	stromal_endothelial_like	204
GSM8012311	TOF_011	W0	t_cell_like	361
GSM8012312	TOF_011	W8	ambiguous	450
GSM8012312	TOF_011	W8	b_plasma_like	455
GSM8012312	TOF_011	W8	epithelial_like	1241
GSM8012312	TOF_011	W8	myeloid_apc_like	164
GSM8012312	TOF_011	W8	stromal_endothelial_like	216
GSM8012312	TOF_011	W8	t_cell_like	263
GSM8012313	TOF_012	W0	ambiguous	342
GSM8012313	TOF_012	W0	b_plasma_like	781
GSM8012313	TOF_012	W0	epithelial_like	967
GSM8012313	TOF_012	W0	myeloid_apc_like	195
GSM8012313	TOF_012	W0	stromal_endothelial_like	157
GSM8012313	TOF_012	W0	t_cell_like	348
GSM8012314	TOF_012	W8	ambiguous	386
GSM8012314	TOF_012	W8	b_plasma_like	850
GSM8012314	TOF_012	W8	epithelial_like	1139
GSM8012314	TOF_012	W8	myeloid_apc_like	301
GSM8012314	TOF_012	W8	stromal_endothelial_like	458
GSM8012314	TOF_012	W8	t_cell_like	561
GSM8012315	TOF_012	W16	ambiguous	383
GSM8012315	TOF_012	W16	b_plasma_like	1126
GSM8012315	TOF_012	W16	epithelial_like	675
GSM8012315	TOF_012	W16	myeloid_apc_like	436
GSM8012315	TOF_012	W16	stromal_endothelial_like	472
GSM8012315	TOF_012	W16	t_cell_like	917
GSM8012316	TOF_013	W0	ambiguous	900
GSM8012316	TOF_013	W0	b_plasma_like	1967
GSM8012316	TOF_013	W0	epithelial_like	567
GSM8012316	TOF_013	W0	myeloid_apc_like	938
GSM8012316	TOF_013	W0	stromal_endothelial_like	129
GSM8012316	TOF_013	W0	t_cell_like	594
GSM8012317	TOF_013	W8	ambiguous	275
GSM8012317	TOF_013	W8	b_plasma_like	542
GSM8012317	TOF_013	W8	epithelial_like	163
GSM8012317	TOF_013	W8	myeloid_apc_like	1354
GSM8012317	TOF_013	W8	stromal_endothelial_like	121
GSM8012317	TOF_013	W8	t_cell_like	779
GSM8012318	TOF_015	W0	ambiguous	314
GSM8012318	TOF_015	W0	b_plasma_like	3227
GSM8012318	TOF_015	W0	epithelial_like	818
GSM8012318	TOF_015	W0	myeloid_apc_like	378
GSM8012318	TOF_015	W0	stromal_endothelial_like	126
GSM8012318	TOF_015	W0	t_cell_like	369
GSM8012319	TOF_015	W8	ambiguous	248
GSM8012319	TOF_015	W8	b_plasma_like	1273
GSM8012319	TOF_015	W8	epithelial_like	842
GSM8012319	TOF_015	W8	myeloid_apc_like	234
GSM8012319	TOF_015	W8	stromal_endothelial_like	191
GSM8012319	TOF_015	W8	t_cell_like	400
GSM8012320	TOF_016	W0	ambiguous	415
GSM8012320	TOF_016	W0	b_plasma_like	1799
GSM8012320	TOF_016	W0	epithelial_like	323
GSM8012320	TOF_016	W0	myeloid_apc_like	652
GSM8012320	TOF_016	W0	stromal_endothelial_like	87
GSM8012320	TOF_016	W0	t_cell_like	805
GSM8012321	TOF_016	W8	ambiguous	302
GSM8012321	TOF_016	W8	b_plasma_like	3698
GSM8012321	TOF_016	W8	epithelial_like	184
GSM8012321	TOF_016	W8	myeloid_apc_like	849
GSM8012321	TOF_016	W8	stromal_endothelial_like	158
GSM8012321	TOF_016	W8	t_cell_like	1209
GSM8012322	TOF_019	W0	ambiguous	373
GSM8012322	TOF_019	W0	b_plasma_like	1450
GSM8012322	TOF_019	W0	epithelial_like	188
GSM8012322	TOF_019	W0	myeloid_apc_like	538
GSM8012322	TOF_019	W0	stromal_endothelial_like	352
GSM8012322	TOF_019	W0	t_cell_like	265
GSM8012323	TOF_019	W8	ambiguous	200
GSM8012323	TOF_019	W8	b_plasma_like	2346
GSM8012323	TOF_019	W8	epithelial_like	278
GSM8012323	TOF_019	W8	myeloid_apc_like	476
GSM8012323	TOF_019	W8	stromal_endothelial_like	636
GSM8012323	TOF_019	W8	t_cell_like	595
GSM8012324	TOF_019	W16	ambiguous	430
GSM8012324	TOF_019	W16	b_plasma_like	3218
GSM8012324	TOF_019	W16	epithelial_like	475
GSM8012324	TOF_019	W16	myeloid_apc_like	760
GSM8012324	TOF_019	W16	stromal_endothelial_like	207
GSM8012324	TOF_019	W16	t_cell_like	336
GSM8012325	TOF_022	W0	ambiguous	436
GSM8012325	TOF_022	W0	b_plasma_like	3028
GSM8012325	TOF_022	W0	epithelial_like	816
GSM8012325	TOF_022	W0	myeloid_apc_like	319
GSM8012325	TOF_022	W0	stromal_endothelial_like	282
GSM8012325	TOF_022	W0	t_cell_like	857
GSM8012326	TOF_023	W0	ambiguous	535
GSM8012326	TOF_023	W0	b_plasma_like	3430
GSM8012326	TOF_023	W0	epithelial_like	930
GSM8012326	TOF_023	W0	myeloid_apc_like	1203
GSM8012326	TOF_023	W0	stromal_endothelial_like	345
GSM8012326	TOF_023	W0	t_cell_like	1632
GSM8012327	TOF_023	W8	ambiguous	393
GSM8012327	TOF_023	W8	b_plasma_like	1172
GSM8012327	TOF_023	W8	epithelial_like	2479
GSM8012327	TOF_023	W8	myeloid_apc_like	461
GSM8012327	TOF_023	W8	stromal_endothelial_like	1144
GSM8012327	TOF_023	W8	t_cell_like	703
