dataset	cell_state	endpoint	comparison	module	n	response_coef	response_p	model_status	formula	response_fdr	generic_response_coef	generic_response_p	target_generic_abs_ratio
GSE198520_RA_synovium_antiTNF	bulk_synovium	baseline_pre	moderate_good_vs_none	ifn_lysosomal_apc_composite	42	0.13350682080232382	0.4331956564415182	ok	y ~ moderate_good_response + pre_score_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.587845367568463	0.208766085422718	0.06816847649861915	0.6395043549913475
GSE198520_RA_synovium_antiTNF	bulk_synovium	delta_post_minus_pre	moderate_good_vs_none	ifn_lysosomal_apc_composite	42	0.14319029619511361	0.47594999895236445	ok	y ~ moderate_good_response + pre_score_ifn_lysosomal_apc_composite + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.587845367568463	-0.079015406160577	0.573982806544975	1.8121819927637763
GSE198520_RA_synovium_antiTNF	bulk_synovium	baseline_pre	moderate_good_vs_none	ifn_apc	42	0.1084617773888657	0.5820014785452575	ok	y ~ moderate_good_response + pre_score_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.587845367568463	0.208766085422718	0.06816847649861915	0.5195373432866163
GSE198520_RA_synovium_antiTNF	bulk_synovium	delta_post_minus_pre	moderate_good_vs_none	ifn_apc	42	0.16612313788597444	0.414912860228784	ok	y ~ moderate_good_response + pre_score_ifn_apc + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.587845367568463	-0.079015406160577	0.573982806544975	2.1024145284829014
GSE198520_RA_synovium_antiTNF	bulk_synovium	baseline_pre	moderate_good_vs_none	lysosomal_apc__resid_inflammatory_nfkb	42	0.15855186421578185	0.3526409662761201	ok	y ~ moderate_good_response + pre_score_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.587845367568463	0.208766085422718	0.06816847649861915	0.7594713666960783
GSE198520_RA_synovium_antiTNF	bulk_synovium	delta_post_minus_pre	moderate_good_vs_none	lysosomal_apc__resid_inflammatory_nfkb	42	0.11264735612672566	0.587845367568463	ok	y ~ moderate_good_response + pre_score_lysosomal_apc__resid_inflammatory_nfkb + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.587845367568463	-0.079015406160577	0.573982806544975	1.4256378800078684
GSE198520_RA_synovium_antiTNF	bulk_synovium	baseline_pre	moderate_good_vs_none	ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	42	0.13350682080232387	0.4331956564415179	ok	y ~ moderate_good_response + pre_score_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.587845367568463	0.208766085422718	0.06816847649861915	0.6395043549913477
GSE198520_RA_synovium_antiTNF	bulk_synovium	delta_post_minus_pre	moderate_good_vs_none	ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	42	0.14319029619511423	0.47594999895236273	ok	y ~ moderate_good_response + pre_score_ifn_lysosomal_apc_composite__resid_inflammatory_nfkb + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.587845367568463	-0.079015406160577	0.573982806544975	1.812181992763784
GSE198520_RA_synovium_antiTNF	bulk_synovium	baseline_pre	moderate_good_vs_none	ifn_apc__resid_inflammatory_nfkb	42	0.10846177738886575	0.5820014785452573	ok	y ~ moderate_good_response + pre_score_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.587845367568463	0.208766085422718	0.06816847649861915	0.5195373432866166
GSE198520_RA_synovium_antiTNF	bulk_synovium	delta_post_minus_pre	moderate_good_vs_none	ifn_apc__resid_inflammatory_nfkb	42	0.16612313788597483	0.4149128602287831	ok	y ~ moderate_good_response + pre_score_ifn_apc__resid_inflammatory_nfkb + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.587845367568463	-0.079015406160577	0.573982806544975	2.1024145284829063
