predictor	predictor_type	n_contexts	n_diseases	diseases	positive_context_fraction	nominal_positive_contexts	combined_fisher_z	combined_p	leave_one_disease_min_z	best_context	best_abs_rho	top_positive_contexts	combined_fdr	predictor_up_nominal_contexts	predictor_up_nominal_diseases	predictor_up_nominal_disease_list	max_case_control_delta_z	gene	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	in_lipid_lysosomal_myeloid_neighborhood	existing_prior_flag	retained_positive_disease_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	ms_microglia_gene_delta_log2	ms_microglia_gene_hedges_g	ms_microglia_gene_p	ms_microglia_gene_fdr	median_efficient_minus_noneater_lfc	contrast_fdr	screen_call	support_contexts	strong_support_contexts	best_context_geneformer	best_n_disease_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	wave57_call	ms_microglia_module_delta_log2	ms_microglia_module_p	ms_microglia_module_fdr	highlight	passes_circuit_coupling	passes_disease_up	passes_ms_anchor	passes_perturbation_hint	wave60_call
gene:FCGR2B	gene	15	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.7333333333333333	5	4.13593178127112	3.535172103726629e-05	0.9937111223194621	psoriasis_keratinocyte	1.0	psoriasis_keratinocyte:1,p=0;psoriasis_skin_apc:1,p=0;psoriasis_skin_stromal:1,p=0;t1d_ductal_cell:0.894,p=0.041;sjogren_gland_apc:0.75,p=0.02;ibd_uc_stromal:0.655,p=0.16	0.0008870068187532271	1	1	Sjogren syndrome	1.5088814661134895	FCGR2B	0.0	1.0		ulcerative colitis	0.3743680552898727	0.5995853752716118	0.9466965949245808			False		0.0	0.0		0.3743680552898727	0.2224435935373845	0.5995853752716118	0.9466965949245808	-0.1232342873864228	0.9971256078463696	UNRESOLVED											False	True	False	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:GPNMB	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.0	5	3.8564532296370313	0.00011504409730371736	2.7592261417354247	psoriasis_keratinocyte	1.0	psoriasis_keratinocyte:1,p=0;ibd_crohn_epithelial:0.941,p=0.0051;t1d_acinar_cell:0.9,p=0.037;t1d_endothelial_cell:0.9,p=0.037;t1d_stellate_cell:0.8,p=0.2;sjogren_gland_epithelial:0.791,p=0.0037	0.0020906255479550477	0	0		0.9768104035390727	GPNMB	1.0	2.0	type 1 diabetes mellitus	psoriasis;ulcerative colitis	1.4339584334150557	0.0049097425501504	0.8344760564031432			True		0.0	0.0		1.4339584334150557	1.3559119980959509	0.0049097425501504	0.8344760564031432	-0.5151658166982862	0.920009505703422	UNRESOLVED											True	True	False	True	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:CCL20	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.6470588235294118	3	3.7670683142151993	0.00016517581391588826	1.689004594577837	psoriasis_keratinocyte	1.0	psoriasis_keratinocyte:1,p=0;psoriasis_skin_stromal:1,p=0;t1d_beta_cell:1,p=0;t1d_endothelial_cell:0.8,p=0.1;ibd_crohn_myeloid:0.714,p=0.11;psoriasis_skin_apc:0.5,p=0.67	0.0023993960337255348	8	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.9074698135609542	CCL20	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		1.1469018183892334	0.0611072952242856	0.8989378106274888			False		3.0	0.0		1.1469018183892334	0.8573650161165193	0.0611072952242856	0.8989378106274888	0.0728829969806544	0.9971256078463696	UNRESOLVED	0.0	0.0	psoriasis_dendritic	2.0	1.3396995896661483	0.0217924167809541	NO_GO_MODEL_SCREEN				False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:P4HB	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.6470588235294118	3	3.4403628042952614	0.0005809348807971576	0.3740055440801329	psoriasis_keratinocyte	1.0	psoriasis_keratinocyte:1,p=0;psoriasis_skin_apc:1,p=0;psoriasis_skin_stromal:1,p=0;ibd_uc_stromal:0.6,p=0.21;ibd_crohn_epithelial:0.543,p=0.27;ibd_crohn_stromal:0.543,p=0.27	0.005010563346875484	4	3	Crohn disease;psoriasis;ulcerative colitis	1.6113150868552246	P4HB	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		-0.1078198500006752	0.5193269228408691	0.9352591033176444			False		3.0	0.0		-0.1078198500006752	-0.2766885154398827	0.5193269228408691	0.9352591033176444	-0.502659510369641	0.9971256078463696	UNRESOLVED											False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:PIKFYVE	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.7647058823529411	4	3.323345862879664	0.0008894456170079467	2.2093678771247975	psoriasis_skin_stromal	1.0	psoriasis_skin_stromal:1,p=0;t1d_beta_cell:1,p=0;t1d_stellate_cell:0.8,p=0.2;sjogren_gland_epithelial:0.782,p=0.0045;ibd_crohn_myeloid:0.657,p=0.16;sjogren_gland_apc:0.633,p=0.067	0.006819083063727591	1	1	psoriasis	1.7895041936311875	PIKFYVE	2.0	0.0	Crohn disease;psoriasis		0.018184324050269	0.9141341743012624	0.9881183066087238			False		0.0	0.0		0.018184324050269	0.0477389780872623	0.9141341743012624	0.9881183066087238														False	True	False	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:RAB3D	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.6470588235294118	4	3.2962087442043986	0.0009799917004678	1.363599102210472	psoriasis_keratinocyte	1.0	psoriasis_keratinocyte:1,p=0;psoriasis_skin_apc:1,p=0;ibd_crohn_epithelial:0.943,p=0.0048;ibd_uc_stromal:0.886,p=0.019;ibd_uc_epithelial:0.486,p=0.33;sjogren_gland_epithelial:0.418,p=0.2	0.006935325880233662	1	1	ulcerative colitis	1.619839961562577	RAB3D	4.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.2039390676429775	0.4825063232145794	0.926038761164836			False		1.0	0.0		0.2039390676429775	0.3070114556919554	0.4825063232145794	0.926038761164836	-0.0500783657418986	0.920009505703422	UNRESOLVED											False	False	False	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:APOL1	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.6470588235294118	5	2.9444778791395247	0.0032350007096102066	1.0008164150175767	psoriasis_skin_apc	1.0	psoriasis_skin_apc:1,p=0;psoriasis_skin_stromal:1,p=0;t1d_endothelial_cell:0.9,p=0.037;ibd_crohn_epithelial:0.771,p=0.072;ibd_uc_epithelial:0.771,p=0.072;ibd_uc_stromal:0.6,p=0.21	0.01860125408025869	4	3	Crohn disease;psoriasis;ulcerative colitis	1.7963818798548001	APOL1	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		-0.1201588560224085	0.5940095372095473	0.9466965949245808			False		3.0	0.0		-0.1201588560224085	-0.2281927208994943	0.5940095372095473	0.9466965949245808														False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:ACSL1	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.5882352941176471	4	2.6756086538879136	0.00745936898277488	0.7234989836279235	psoriasis_skin_apc	1.0	psoriasis_skin_apc:1,p=0;psoriasis_skin_stromal:1,p=0;ibd_crohn_epithelial:0.943,p=0.0048;t1d_ductal_cell:0.7,p=0.19;sjogren_gland_epithelial:0.673,p=0.023;ibd_uc_stromal:0.486,p=0.33	0.03685942793829491	4	2	Crohn disease;ulcerative colitis	1.4968338197527855	ACSL1	2.0	1.0	Crohn disease;ulcerative colitis	type 1 diabetes mellitus	0.0335463402392637	0.9588038259244676	0.995447887770418			True	demoted_v2_marker_after_module_adjustment_and_simulation	2.0	1.0	ibd_crohn_stromal:Crohn disease	0.0335463402392637	0.0225704767524932	0.9588038259244676	0.995447887770418	-0.5470314991747152	0.920009505703422	UNRESOLVED											False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:TGM2	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.6470588235294118	2	2.638220235383369	0.008334243619480796	0.40006299754423547	t1d_beta_cell	1.0	t1d_beta_cell:1,p=0;t1d_stellate_cell:1,p=0;t1d_endothelial_cell:0.8,p=0.1;ibd_crohn_epithelial:0.543,p=0.27;ibd_uc_stromal:0.543,p=0.27;psoriasis_keratinocyte:0.5,p=0.67	0.0389873091351983	7	3	Crohn disease;psoriasis;ulcerative colitis	1.639291062389728	TGM2	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		-0.9454639666769412	0.3323926040170903	0.9141270983319502	3.0	MS;UC;celiac	False		2.0	1.0	ibd_uc_stromal:ulcerative colitis	-0.9454639666769412	-0.4275164567037642	0.3323926040170903	0.9141270983319502	0.0693804439940607	1.0	UNRESOLVED											False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
gene:CSTA	gene	17	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.5882352941176471	3	2.586295712918306	0.00970136593682257	0.47113064659995646	psoriasis_keratinocyte	1.0	psoriasis_keratinocyte:1,p=0;psoriasis_skin_apc:1,p=0;sjogren_gland_epithelial:0.655,p=0.029;t1d_stellate_cell:0.6,p=0.4;ibd_uc_stromal:0.577,p=0.23;psoriasis_skin_stromal:0.5,p=0.67	0.04462628330938382	2	2	Crohn disease;ulcerative colitis	1.5736913233074823	CSTA	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		-0.6468373545907893	0.4000386986563147	0.9157809859344704			False		2.0	0.0		-0.6468373545907893	-0.3802188380315071	0.4000386986563147	0.9157809859344704														False	False	True	False	False	NO_GO_CIRCUIT_COUPLING_PIVOT
