source	query	status	mode	hit_count	top_titles	url
EuropePMC	"""CXCR2"" ""multiple sclerosis"""	200	cache	1725	"Corrigendum to ""CXCR2 antagonism promotes oligodendrocyte precursor cell differentiation and enhances remyelination in a mouse model of multiple sclerosis"" [Neurobiology of Disease || Alternatively activated neutrophils limit T cell-driven neuroinflammation. || Soluble E-cadherin-CXCL1-CXCR2 axis as a therapeutic vulnerability in inflammatory breast cancer brain metastasis."	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CXCR2%22+%22multiple+sclerosis%22&format=json&pageSize=5
EuropePMC	"""CXCR2"" autoimmune therapeutic target"	200	cache	3761	Modulation of Chemokine Activity for Enhanced Angiogenesis and Tissue Regeneration in Chronic Wounds. || m&lt;sup&gt;6&lt;/sup&gt;A RNA modification and myeloid-derived suppressor cells: mechanistic insights and clinical prospects. || Soluble E-cadherin-CXCL1-CXCR2 axis as a therapeutic vulnerability in inflammatory breast cancer brain metastasis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CXCR2%22+autoimmune+therapeutic+target&format=json&pageSize=5
EuropePMC	"""CXCR2 inhibitor"" autoimmune"	200	cache	153	Soluble E-cadherin-CXCL1-CXCR2 axis as a therapeutic vulnerability in inflammatory breast cancer brain metastasis. || Single-Cell Immune Profiling Reveals Neutrophils Promote Myasthenia Gravis Exacerbation Through BAFF Secretion. || Temporal dynamics of neutrophil functions in multiple sclerosis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CXCR2+inhibitor%22+autoimmune&format=json&pageSize=5
EuropePMC	"""CXCR2"" Crohn psoriasis rheumatoid arthritis"	200	cache	60	Chemotaxis-related molecular markers underlying the immune disorder of psoriasis and ulcerative colitis: Preliminary analysis and verification. || Uncovering common disease mechanisms and critical biomarkers in Crohn's disease with concurrent psoriasis and exploring potential therapeutic agents. || Single-cell transcriptional landscape of peripheral myeloid cells in autoimmune diseases.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CXCR2%22+Crohn+psoriasis+rheumatoid+arthritis&format=json&pageSize=5
EuropePMC	"""CXCR2"" neutrophil recruitment autoimmune"	200	cache	2772	Modulation of Chemokine Activity for Enhanced Angiogenesis and Tissue Regeneration in Chronic Wounds. || Neutrophil extracellular traps-associated candidate genes in IgA vasculitis: an exploratory multi-omics analysis integrating transcriptomics and Mendelian randomization. || Synergistic Potential of Immune Checkpoint Inhibitor Combined with Neutrophil-Targeted Therapy in Cancer Immunotherapy.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CXCR2%22+neutrophil+recruitment+autoimmune&format=json&pageSize=5
EuropePMC	"""IL7R"" ""multiple sclerosis"""	200	cache	1175	InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF insulator disruption across seven autoimmune diseases || Exploring shared diagnostic genes and molecular mechanisms in multiple sclerosis and psoriasis through bioinformatics analysis and machine learning. || VirTarget: Virus-Informed Pharmacogenomics Framework Identifies Immunotherapies That Mitigate Epstein–Barr Virus–Driven Dysregulation in Multiple Sclerosis	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22IL7R%22+%22multiple+sclerosis%22&format=json&pageSize=5
EuropePMC	"""IL7R"" autoimmune therapeutic target"	200	cache	1776	Integrative Mendelian randomization and experimental validation unveil novel druggable targets in primary biliary cholangitis. || Identification of Potential Therapeutic Targets for Sepsis Using Mendelian Randomization and Integrated eQTL/pQTL Analysis. || Decoding the interplay between COVID-19 and diabetic nephropathy through bioinformatics and systems biology techniques.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22IL7R%22+autoimmune+therapeutic+target&format=json&pageSize=5
EuropePMC	"""anti-CD127"" autoimmune"	200	cache	947	Induction of Lupus T Cell Subset by Probiotics-Matured Tolerogenic Dendritic Cells. || Elevated Peripheral CD161&lt;sup&gt;+&lt;/sup&gt; Treg Cells and Their Clinical Significance in Behçet Syndrome. || HLA alleles predisposing to autoimmunity are linked to impaired immunoregulation in patients with juvenile autoimmune liver disease and in their first-degree relatives.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22anti-CD127%22+autoimmune&format=json&pageSize=5
EuropePMC	"""IL-7 receptor"" multiple sclerosis trial"	200	cache	219	Immunosenescence in aging and neurodegenerative diseases: evidence, key hallmarks, and therapeutic implications. || From promise to practice: CAR T and Treg cell therapies in autoimmunity and other immune-mediated diseases. || Cellular immunotherapies for central nervous system cancers.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22IL-7+receptor%22+multiple+sclerosis+trial&format=json&pageSize=5
EuropePMC	"""IL7R"" myeloid dendritic cell autoimmune"	200	cache	1062	Insights into the pathogenesis of rheumatic and immune diseases from single-cell omics. || Single-Cell Profiling of Splenic Immune Ageing and Chronic Stress Adaptations in Mice With Natural Microbiota. || Lineage-Specific Disruption of Hematopoiesis by Oxaliplatin: Mechanisms of Erythropoietin Resistance and Immune Suppression.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22IL7R%22+myeloid+dendritic+cell+autoimmune&format=json&pageSize=5
ClinicalTrials.gov	CXCR2 autoimmune	200	cache	1	Pilot Efficacy and Safety Study of Oral DF2156A in Patients With Active Bullous Pemphigoid [TERMINATED]	https://clinicaltrials.gov/api/v2/studies?query.term=CXCR2+autoimmune&pageSize=10&format=json
ClinicalTrials.gov	CXCR2 Crohn	200	cache	0		https://clinicaltrials.gov/api/v2/studies?query.term=CXCR2+Crohn&pageSize=10&format=json
ClinicalTrials.gov	CXCR2 psoriasis	200	cache	0		https://clinicaltrials.gov/api/v2/studies?query.term=CXCR2+psoriasis&pageSize=10&format=json
ClinicalTrials.gov	CXCR2 multiple sclerosis	200	cache	0		https://clinicaltrials.gov/api/v2/studies?query.term=CXCR2+multiple+sclerosis&pageSize=10&format=json
ClinicalTrials.gov	IL7R autoimmune	200	cache	7	A Study to Evaluate the Safety, Tolerability, Pharmacokinetics (PK), Proof of Mechanism of GSK2618960 in Primary Sjögren's Syndrome (pSS) [WITHDRAWN] || A First Time in Human Study Exploring Safety, Tolerability, Pharmacokinetics (PK) and Pharmacodynamics (PD) of GSK2618960 in Healthy Volunte [TERMINATED] || Single Ascending Doses Study of Anti- Interleukin-7 Receptor α Monoclonal Antibody (GSK2618960) in Healthy Volunteers [COMPLETED]	https://clinicaltrials.gov/api/v2/studies?query.term=IL7R+autoimmune&pageSize=10&format=json
ClinicalTrials.gov	anti-CD127	200	cache	10	Phase I/II Study of Lenalidomide Plus Pembrolizumab in Patients With Solid Tumors With Expansion in Non-small Cell Lung Cancer [TERMINATED] || Acute Posttraumatic Osteomyelitis in Patients With High-energy Tibial Fractures and Biomarkers [COMPLETED] || A Study to Evaluate the Safety, Tolerability, Pharmacokinetics (PK), Proof of Mechanism of GSK2618960 in Primary Sjögren's Syndrome (pSS) [WITHDRAWN]	https://clinicaltrials.gov/api/v2/studies?query.term=anti-CD127&pageSize=10&format=json
ClinicalTrials.gov	IL-7 receptor multiple sclerosis	200	cache	4	A First Time in Human Study Exploring Safety, Tolerability, Pharmacokinetics (PK) and Pharmacodynamics (PD) of GSK2618960 in Healthy Volunte [TERMINATED] || Skeletal Muscle Aging and Responsiveness in Aged People With MS [RECRUITING] || A Study To Evaluate The Safety And Tolerability Of PF-06342674 (RN168) In Subjects With Multiple Sclerosis (MS) [TERMINATED]	https://clinicaltrials.gov/api/v2/studies?query.term=IL-7+receptor+multiple+sclerosis&pageSize=10&format=json
ClinicalTrials.gov	IL7R Crohn	200	cache	1	A Study on the Relationship of Interleukin-7 Receptor Gene Polymorphisms With the Risk of Crohn's Disease Onset and the Efficacy of Inflixim [COMPLETED]	https://clinicaltrials.gov/api/v2/studies?query.term=IL7R+Crohn&pageSize=10&format=json
