module	n_present	mean_delta_log2	median_delta_log2	n_up_p_lt_0_05	n_down_p_lt_0_05	genes_present
non_elr_stromal_retention	12	0.5695110809447987	0.11344479746815925	5	2	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9
monocyte_recruitment_non_elr	8	2.1243699826387665	2.317573593333181	7	0	CCL2;CCL7;CSF1;ICAM1;VCAM1;IL6;TNFAIP3;NFKBIA
tls_niche_non_elr	7	0.9141356964900169	0.8009704387966714	4	1	LTBR;TNFSF14;TNFRSF14;PDPN;CXCL12;ICAM1;VCAM1
elr_comparator	4	2.250475178887519	2.0053447745929676	3	0	CXCL1;CXCL2;CXCL3;CXCL5
