marker_compartment	feature	class	auc_oriented	exact_perm_p_auc_ge_observed	mean_responder	mean_nonresponder
b_plasma_like	baseline_n_cells	T/B-like	0.6	0.7301587301587301	2141.0	1747.75
b_plasma_like	delta_n_cells	T/B-like	0.8	0.19047619047619047	-1299.0	149.75
b_plasma_like	baseline_fraction	T/B-like	0.6499999999999999	0.5555555555555556	0.4828079002738354	0.5129768616666163
b_plasma_like	delta_fraction	T/B-like	0.75	0.2857142857142857	-0.22372279223167793	-0.08501036883125278
b_plasma_like	locked_signed_score	T/B-like	0.95	0.031746031746031744	0.7851515838383147	-1.026484780826004
b_plasma_like	locked_score_residualized_against_baseline_and_delta_fraction	T/B-like	0.85	0.1111111111111111	0.6552065213186011	-0.8190081516482516
epithelial_like	baseline_n_cells	non-T/B-like	0.7	0.4126984126984127	598.6	294.25
epithelial_like	delta_n_cells	non-T/B-like	0.85	0.1111111111111111	723.0	-65.25
epithelial_like	baseline_fraction	non-T/B-like	0.7000000000000001	0.4126984126984127	0.16476473814115483	0.08063634711708181
epithelial_like	delta_fraction	non-T/B-like	0.9	0.06349206349206349	0.235201684309724	-0.01569653313278433
epithelial_like	locked_signed_score	non-T/B-like	0.9	0.06349206349206349	1.217326299844134	-0.44606805996989773
epithelial_like	locked_score_residualized_against_baseline_and_delta_fraction	non-T/B-like	0.6000000000000001	0.7301587301587301	0.09431712404067953	-0.11789640505084945
myeloid_apc_like	baseline_n_cells	non-T/B-like	0.6	0.7301587301587301	527.8	614.0
myeloid_apc_like	delta_n_cells	non-T/B-like	0.9	0.06349206349206349	-260.8	203.5
myeloid_apc_like	baseline_fraction	non-T/B-like	0.85	0.1111111111111111	0.1144418571653932	0.17499585096145567
myeloid_apc_like	delta_fraction	non-T/B-like	0.65	0.5555555555555556	-0.03452578797628304	0.05769207169322617
myeloid_apc_like	locked_signed_score	non-T/B-like	0.8	0.19047619047619047	0.4745594625406594	-0.5242576576011563
myeloid_apc_like	locked_score_residualized_against_baseline_and_delta_fraction	non-T/B-like	0.75	0.2857142857142857	0.3283459034191919	-0.41043237927399023
stromal_endothelial_like	baseline_n_cells	non-T/B-like	0.6000000000000001	0.7301587301587301	176.2	206.25
stromal_endothelial_like	delta_n_cells	non-T/B-like	0.8	0.19047619047619047	297.4	53.0
stromal_endothelial_like	baseline_fraction	non-T/B-like	0.6000000000000001	0.7301587301587301	0.052697466501300846	0.0658738432613836
stromal_endothelial_like	delta_fraction	non-T/B-like	0.8500000000000001	0.1111111111111111	0.07830054084028057	-0.0008993963493110916
stromal_endothelial_like	locked_signed_score	non-T/B-like	0.75	0.2857142857142857	1.0046471992238826	-0.17381369448567524
stromal_endothelial_like	locked_score_residualized_against_baseline_and_delta_fraction	non-T/B-like	0.5	1.0	0.0672854552444555	-0.0841068190555696
t_cell_like	baseline_n_cells	T/B-like	0.55	0.9047619047619048	804.0	575.5
t_cell_like	delta_n_cells	T/B-like	0.85	0.1111111111111111	-369.6	227.75
t_cell_like	baseline_fraction	T/B-like	0.6000000000000001	0.7301587301587301	0.18528803791831566	0.16551709699346265
t_cell_like	delta_fraction	T/B-like	0.8	0.19047619047619047	-0.05525364494204359	0.04391422662012202
t_cell_like	locked_signed_score	T/B-like	1.0	0.015873015873015872	1.0371289900168859	-0.08957737341081676
t_cell_like	locked_score_residualized_against_baseline_and_delta_fraction	T/B-like	0.65	0.5555555555555556	0.2069683693652573	-0.2587104617065714
