seed	effect_scale	confirm_donors_per_context	method	truth_class	candidate_selection_probability
57202	1.00	6	independent_confirmation	uniform_broad_rescue	0.000500
57202	1.00	8	discovery_nomination	context_harm	0.321500
57202	1.00	8	discovery_nomination	null	0.000000
57202	1.00	8	discovery_nomination	toxic_pseudorescue	0.000000
57202	1.00	8	discovery_nomination	tradeoff	0.000000
57202	1.00	8	discovery_nomination	uniform_broad_rescue	0.561000
57202	1.00	8	independent_confirmation	context_harm	0.000000
57202	1.00	8	independent_confirmation	null	0.000000
57202	1.00	8	independent_confirmation	toxic_pseudorescue	0.000000
57202	1.00	8	independent_confirmation	tradeoff	0.000000
57202	1.00	8	independent_confirmation	uniform_broad_rescue	0.015500
57203	0.80	4	discovery_nomination	context_harm	0.321750
57203	0.80	4	discovery_nomination	null	0.000000
57203	0.80	4	discovery_nomination	toxic_pseudorescue	0.000000
57203	0.80	4	discovery_nomination	tradeoff	0.000000
57203	0.80	4	discovery_nomination	uniform_broad_rescue	0.495000
57203	0.80	4	independent_confirmation	context_harm	0.000000
57203	0.80	4	independent_confirmation	null	0.000000
57203	0.80	4	independent_confirmation	toxic_pseudorescue	0.000000
57203	0.80	4	independent_confirmation	tradeoff	0.000000
57203	0.80	4	independent_confirmation	uniform_broad_rescue	0.000000
57203	0.80	6	discovery_nomination	context_harm	0.321750
57203	0.80	6	discovery_nomination	null	0.000000
57203	0.80	6	discovery_nomination	toxic_pseudorescue	0.000000
57203	0.80	6	discovery_nomination	tradeoff	0.000000
57203	0.80	6	discovery_nomination	uniform_broad_rescue	0.495000
57203	0.80	6	independent_confirmation	context_harm	0.000000
57203	0.80	6	independent_confirmation	null	0.000000
57203	0.80	6	independent_confirmation	toxic_pseudorescue	0.000000
57203	0.80	6	independent_confirmation	tradeoff	0.000000
57203	0.80	6	independent_confirmation	uniform_broad_rescue	0.000250
57203	0.80	8	discovery_nomination	context_harm	0.321750
57203	0.80	8	discovery_nomination	null	0.000000
57203	0.80	8	discovery_nomination	toxic_pseudorescue	0.000000
57203	0.80	8	discovery_nomination	tradeoff	0.000000
57203	0.80	8	discovery_nomination	uniform_broad_rescue	0.495000
57203	0.80	8	independent_confirmation	context_harm	0.000000
57203	0.80	8	independent_confirmation	null	0.000000
57203	0.80	8	independent_confirmation	toxic_pseudorescue	0.000000
57203	0.80	8	independent_confirmation	tradeoff	0.000000
57203	0.80	8	independent_confirmation	uniform_broad_rescue	0.008750
57203	1.00	4	discovery_nomination	context_harm	0.335000
57203	1.00	4	discovery_nomination	null	0.000000
57203	1.00	4	discovery_nomination	toxic_pseudorescue	0.000000
57203	1.00	4	discovery_nomination	tradeoff	0.000000
57203	1.00	4	discovery_nomination	uniform_broad_rescue	0.533750
57203	1.00	4	independent_confirmation	context_harm	0.000000
57203	1.00	4	independent_confirmation	null	0.000000
57203	1.00	4	independent_confirmation	toxic_pseudorescue	0.000000
57203	1.00	4	independent_confirmation	tradeoff	0.000000
57203	1.00	4	independent_confirmation	uniform_broad_rescue	0.000000
57203	1.00	6	discovery_nomination	context_harm	0.335000
57203	1.00	6	discovery_nomination	null	0.000000
57203	1.00	6	discovery_nomination	toxic_pseudorescue	0.000000
57203	1.00	6	discovery_nomination	tradeoff	0.000000
57203	1.00	6	discovery_nomination	uniform_broad_rescue	0.533750
57203	1.00	6	independent_confirmation	context_harm	0.000000
57203	1.00	6	independent_confirmation	null	0.000000
57203	1.00	6	independent_confirmation	toxic_pseudorescue	0.000000
57203	1.00	6	independent_confirmation	tradeoff	0.000000
57203	1.00	6	independent_confirmation	uniform_broad_rescue	0.000500
57203	1.00	8	discovery_nomination	context_harm	0.335000
57203	1.00	8	discovery_nomination	null	0.000000
57203	1.00	8	discovery_nomination	toxic_pseudorescue	0.000000
57203	1.00	8	discovery_nomination	tradeoff	0.000000
57203	1.00	8	discovery_nomination	uniform_broad_rescue	0.533750
57203	1.00	8	independent_confirmation	context_harm	0.000000
57203	1.00	8	independent_confirmation	null	0.000000
57203	1.00	8	independent_confirmation	toxic_pseudorescue	0.000000
57203	1.00	8	independent_confirmation	tradeoff	0.000000
57203	1.00	8	independent_confirmation	uniform_broad_rescue	0.016500
