seed	effect_scale	confirm_donors_per_context	truth_class	n_nominated_candidate_instances	efficacy_component_pass_rate	viability_component_pass_rate	joint_confirmation_rate
57201	0.80	4	uniform_broad_rescue	2096	0.000000	0.000000	0.000000
57201	0.80	4	context_harm	1217	0.000000	0.003287	0.000000
57201	0.80	6	uniform_broad_rescue	2096	0.013836	0.009542	0.000000
57201	0.80	6	context_harm	1217	0.000000	0.007395	0.000000
57201	0.80	8	uniform_broad_rescue	2096	0.382634	0.041985	0.020992
57201	0.80	8	context_harm	1217	0.000000	0.043550	0.000000
57201	1.00	4	uniform_broad_rescue	2173	0.000000	0.000920	0.000000
57201	1.00	4	context_harm	1309	0.000000	0.001528	0.000000
57201	1.00	6	uniform_broad_rescue	2173	0.105844	0.008283	0.000460
57201	1.00	6	context_harm	1309	0.000000	0.009167	0.000000
57201	1.00	8	uniform_broad_rescue	2173	0.759779	0.035895	0.027151
57201	1.00	8	context_harm	1309	0.000000	0.049656	0.000000
57202	0.80	4	uniform_broad_rescue	2000	0.000000	0.000000	0.000000
57202	0.80	4	context_harm	1236	0.000000	0.000000	0.000000
57202	0.80	6	uniform_broad_rescue	2000	0.016000	0.007000	0.000000
57202	0.80	6	context_harm	1236	0.000000	0.011327	0.000000
57202	0.80	8	uniform_broad_rescue	2000	0.394000	0.035000	0.015500
57202	0.80	8	context_harm	1236	0.000000	0.030744	0.000000
57202	1.00	4	uniform_broad_rescue	2244	0.000000	0.000000	0.000000
57202	1.00	4	context_harm	1286	0.000000	0.000778	0.000000
57202	1.00	6	uniform_broad_rescue	2244	0.110517	0.006684	0.000891
57202	1.00	6	context_harm	1286	0.000000	0.010109	0.000000
57202	1.00	8	uniform_broad_rescue	2244	0.761586	0.036542	0.027629
57202	1.00	8	context_harm	1286	0.000000	0.033437	0.000000
57203	0.80	4	uniform_broad_rescue	1980	0.000000	0.000000	0.000000
57203	0.80	4	context_harm	1287	0.000000	0.000000	0.000000
57203	0.80	6	uniform_broad_rescue	1980	0.021717	0.007576	0.000505
57203	0.80	6	context_harm	1287	0.000000	0.005439	0.000000
57203	0.80	8	uniform_broad_rescue	1980	0.391414	0.042424	0.017677
57203	0.80	8	context_harm	1287	0.000000	0.034188	0.000000
57203	1.00	4	uniform_broad_rescue	2135	0.000000	0.000468	0.000000
57203	1.00	4	context_harm	1340	0.000000	0.000746	0.000000
57203	1.00	6	uniform_broad_rescue	2135	0.105386	0.004684	0.000937
57203	1.00	6	context_harm	1340	0.000000	0.008209	0.000000
57203	1.00	8	uniform_broad_rescue	2135	0.777049	0.038407	0.030913
57203	1.00	8	context_harm	1340	0.000000	0.042537	0.000000
