seed	effect_scale	confirm_donors_per_context	check	status
57201	0.80	6	context_harm_le_0.05	PASS
57201	0.80	6	any_uniform_rescue_ge_0.80	FAIL
57201	0.80	6	precision_ge_0.90	PASS
57201	0.80	6	context_harm_below_discovery	PASS
57201	0.80	6	uniform_rescue_loss_le_0.10	FAIL
57201	0.80	8	context_harm_le_0.05	PASS
57201	0.80	8	any_uniform_rescue_ge_0.80	FAIL
57201	0.80	8	precision_ge_0.90	PASS
57201	0.80	8	context_harm_below_discovery	PASS
57201	0.80	8	uniform_rescue_loss_le_0.10	FAIL
57201	1.00	6	context_harm_le_0.05	PASS
57201	1.00	6	any_uniform_rescue_ge_0.80	FAIL
57201	1.00	6	precision_ge_0.90	PASS
57201	1.00	6	context_harm_below_discovery	PASS
57201	1.00	6	uniform_rescue_loss_le_0.10	FAIL
57201	1.00	8	context_harm_le_0.05	PASS
57201	1.00	8	any_uniform_rescue_ge_0.80	FAIL
57201	1.00	8	precision_ge_0.90	PASS
57201	1.00	8	context_harm_below_discovery	PASS
57201	1.00	8	uniform_rescue_loss_le_0.10	FAIL
57202	0.80	6	context_harm_le_0.05	PASS
57202	0.80	6	any_uniform_rescue_ge_0.80	FAIL
57202	0.80	6	precision_ge_0.90	PASS
57202	0.80	6	context_harm_below_discovery	PASS
57202	0.80	6	uniform_rescue_loss_le_0.10	FAIL
57202	0.80	8	context_harm_le_0.05	PASS
57202	0.80	8	any_uniform_rescue_ge_0.80	FAIL
57202	0.80	8	precision_ge_0.90	PASS
57202	0.80	8	context_harm_below_discovery	PASS
57202	0.80	8	uniform_rescue_loss_le_0.10	FAIL
57202	1.00	6	context_harm_le_0.05	PASS
57202	1.00	6	any_uniform_rescue_ge_0.80	FAIL
57202	1.00	6	precision_ge_0.90	PASS
57202	1.00	6	context_harm_below_discovery	PASS
57202	1.00	6	uniform_rescue_loss_le_0.10	FAIL
57202	1.00	8	context_harm_le_0.05	PASS
57202	1.00	8	any_uniform_rescue_ge_0.80	FAIL
57202	1.00	8	precision_ge_0.90	PASS
57202	1.00	8	context_harm_below_discovery	PASS
57202	1.00	8	uniform_rescue_loss_le_0.10	FAIL
57203	0.80	6	context_harm_le_0.05	PASS
57203	0.80	6	any_uniform_rescue_ge_0.80	FAIL
57203	0.80	6	precision_ge_0.90	PASS
57203	0.80	6	context_harm_below_discovery	PASS
57203	0.80	6	uniform_rescue_loss_le_0.10	FAIL
57203	0.80	8	context_harm_le_0.05	PASS
57203	0.80	8	any_uniform_rescue_ge_0.80	FAIL
57203	0.80	8	precision_ge_0.90	PASS
57203	0.80	8	context_harm_below_discovery	PASS
57203	0.80	8	uniform_rescue_loss_le_0.10	FAIL
57203	1.00	6	context_harm_le_0.05	PASS
57203	1.00	6	any_uniform_rescue_ge_0.80	FAIL
57203	1.00	6	precision_ge_0.90	PASS
57203	1.00	6	context_harm_below_discovery	PASS
57203	1.00	6	uniform_rescue_loss_le_0.10	FAIL
57203	1.00	8	context_harm_le_0.05	PASS
57203	1.00	8	any_uniform_rescue_ge_0.80	FAIL
57203	1.00	8	precision_ge_0.90	PASS
57203	1.00	8	context_harm_below_discovery	PASS
57203	1.00	8	uniform_rescue_loss_le_0.10	FAIL
