effect_pattern	event_probability	allocation	minimum_n_precision_ready	strict_probability_at_largest_n	median_minimum_site_events_at_largest_n	median_widest_site_ci_half_width_at_largest_n
homogeneous_hr13	0.15	balanced	not_reached	0.26	78.0	0.2226077811437855
homogeneous_hr13	0.15	imbalanced_60_30_10	not_reached	0.25	77.0	0.22452132626593035
homogeneous_hr13	0.3	balanced	not_reached	0.6583333333333333	168.5	0.15149183505738595
homogeneous_hr13	0.3	imbalanced_60_30_10	not_reached	0.5375	138.0	0.1683335138823863
homogeneous_hr15	0.15	balanced	not_reached	0.7408333333333333	77.0	0.22323236476794628
homogeneous_hr15	0.15	imbalanced_60_30_10	not_reached	0.7116666666666667	77.0	0.22583018188938664
homogeneous_hr15	0.3	balanced	1800	0.93	170.0	0.15117703981015485
homogeneous_hr15	0.3	imbalanced_60_30_10	3000	0.8866666666666667	137.0	0.17010528046629356
