n_requested	event_probability	allocation	effect_pattern	n_simulated_cohorts	n_valid_fits	median_minimum_site_events	median_widest_site_ci_half_width	median_minimum_site_z	global_positive_count	global_positive_probability	global_positive_ci_low	global_positive_ci_high	all_site_sign_count	all_site_sign_probability	all_site_sign_ci_low	all_site_sign_ci_high	all_site_ci_positive_count	all_site_ci_positive_probability	all_site_ci_positive_ci_low	all_site_ci_positive_ci_high	all_leave_site_out_ci_positive_count	all_leave_site_out_ci_positive_probability	all_leave_site_out_ci_positive_ci_low	all_leave_site_out_ci_positive_ci_high	sign_transport_count	sign_transport_probability	sign_transport_ci_low	sign_transport_ci_high	strict_precision_count	strict_precision_probability	strict_precision_ci_low	strict_precision_ci_high	seed
1800	0.15	balanced	null	400	400	47.0	0.2865980158183322	-0.8265866376978269	9	0.0225	0.011881583530495034	0.04220265755875813	40	0.1	0.07429925914003437	0.13331057632740284	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
1800	0.15	imbalanced_60_30_10	null	400	400	47.0	0.28806744680820445	-0.7990208662688685	9	0.0225	0.011881583530495034	0.04220265755875813	53	0.1325	0.10274521663902703	0.1692463196966809	0	0.0	8.673617379884035e-19	0.009512294334296508	2	0.005	0.0013722529547103846	0.018044918436243156	2	0.005	0.0013722529547103846	0.018044918436243156	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
1800	0.3	balanced	null	400	400	100.0	0.1961428131127646	-0.859904745277088	9	0.0225	0.011881583530495034	0.04220265755875813	54	0.135	0.10496299061600528	0.1719809842480312	0	0.0	8.673617379884035e-19	0.009512294334296508	1	0.0025	0.0004414477868016362	0.01402328507582339	1	0.0025	0.0004414477868016362	0.01402328507582339	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
1800	0.3	imbalanced_60_30_10	null	400	400	84.0	0.21568996608960123	-0.8203894748969265	15	0.0375	0.022855029814710867	0.060943842444513396	49	0.1225	0.09391315520467675	0.1582686270177171	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
2100	0.15	balanced	null	400	400	55.0	0.26461364667788656	-0.7978869975624456	12	0.03	0.017243020965143054	0.05169853570909567	52	0.13	0.10053125228664084	0.1665078455207386	0	0.0	8.673617379884035e-19	0.009512294334296508	1	0.0025	0.0004414477868016362	0.01402328507582339	1	0.0025	0.0004414477868016362	0.01402328507582339	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
2100	0.15	imbalanced_60_30_10	null	400	400	54.5	0.2660349494806713	-0.8241198151885307	6	0.015	0.006892291919440893	0.03233463358482672	54	0.135	0.10496299061600528	0.1719809842480312	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
2100	0.3	balanced	null	400	400	118.0	0.18050200332684446	-0.8447835940537958	10	0.025	0.013635091745936023	0.045401587871645666	42	0.105	0.07862372743733602	0.1388909850867582	0	0.0	8.673617379884035e-19	0.009512294334296508	1	0.0025	0.0004414477868016362	0.01402328507582339	1	0.0025	0.0004414477868016362	0.01402328507582339	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
2100	0.3	imbalanced_60_30_10	null	400	400	98.0	0.19903099488134623	-0.778260928010997	10	0.025	0.013635091745936023	0.045401587871645666	48	0.12	0.09171539075382554	0.15551395294023979	0	0.0	8.673617379884035e-19	0.009512294334296508	2	0.005	0.0013722529547103846	0.018044918436243156	2	0.005	0.0013722529547103846	0.018044918436243156	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
3000	0.15	balanced	null	400	400	77.0	0.22379701721895018	-0.8848175714499935	4	0.01	0.003895483794990993	0.025426564652619582	51	0.1275	0.0983211891565858	0.1637654701224651	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
3000	0.15	imbalanced_60_30_10	null	400	400	77.0	0.2231896391276727	-0.7408559665707481	7	0.0175	0.008502291107038103	0.03567707292555804	51	0.1275	0.0983211891565858	0.1637654701224651	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
