n_requested	event_probability	allocation	effect_pattern	n_simulated_cohorts	n_valid_fits	global_positive_count	global_positive_probability	global_positive_ci_low	global_positive_ci_high	minimum_seed_global_positive_probability	all_site_sign_count	all_site_sign_probability	all_site_sign_ci_low	all_site_sign_ci_high	minimum_seed_all_site_sign_probability	all_site_ci_positive_count	all_site_ci_positive_probability	all_site_ci_positive_ci_low	all_site_ci_positive_ci_high	minimum_seed_all_site_ci_positive_probability	all_leave_site_out_ci_positive_count	all_leave_site_out_ci_positive_probability	all_leave_site_out_ci_positive_ci_low	all_leave_site_out_ci_positive_ci_high	minimum_seed_all_leave_site_out_ci_positive_probability	sign_transport_count	sign_transport_probability	sign_transport_ci_low	sign_transport_ci_high	minimum_seed_sign_transport_probability	strict_precision_count	strict_precision_probability	strict_precision_ci_low	strict_precision_ci_high	minimum_seed_strict_precision_probability	median_minimum_site_events_across_seeds	median_widest_site_ci_half_width_across_seeds	median_minimum_site_z_across_seeds
1800	0.15	balanced	homogeneous_hr13	1200	1200	1080	0.9	0.8817289167132706	0.9157182828045415	0.8825	1063	0.8858333333333334	0.8665957469773842	0.9026085308908387	0.88	101	0.08416666666666667	0.0697541033043737	0.1012330788635675	0.075	608	0.5066666666666667	0.47840342489597815	0.5348873617626521	0.5	586	0.48833333333333334	0.46013375579917615	0.5166073675482209	0.48	99	0.0825	0.06823372767415548	0.09943075782912816	0.0725	46.0	0.28933605985852057	1.0230221167967222
1800	0.15	balanced	homogeneous_hr15	1200	1200	1199	0.9991666666666666	0.9952947700098665	0.9998528810550694	0.9975	1183	0.9858333333333333	0.9774296573223678	0.9911364204253081	0.9825	521	0.43416666666666665	0.4063773766551468	0.46237610509087984	0.425	1103	0.9191666666666667	0.9023734205920075	0.9332847905693664	0.8975	1054	0.8783333333333333	0.8586203908205773	0.8956317520566864	0.855	509	0.4241666666666667	0.3964898715789996	0.45232743017908184	0.42	47.0	0.2866620172647698	1.791769693210393
1800	0.15	balanced	null	1200	1200	26	0.021666666666666667	0.014828213638331268	0.0315578436049518	0.015	139	0.11583333333333333	0.09893982195776421	0.13517859683867042	0.1	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	47.0	0.2870773018720174	-0.8265866376978269
1800	0.15	balanced	one_site_only_hr15	1200	1200	198	0.165	0.1450741563766145	0.18706381402721792	0.155	281	0.23416666666666666	0.21107814655240437	0.25895173543471633	0.23	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	15	0.0125	0.00758963685401205	0.020521588733654502	0.005	12	0.01	0.005729576190218534	0.01739760440046169	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	48.0	0.28298329652411514	-0.5439298615732491
1800	0.15	balanced	one_site_reversed_hr15	1200	1200	38	0.03166666666666667	0.023157025725483955	0.04316521150574442	0.03	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	47.0	0.2880417969861828	-3.477657710610907
1800	0.15	imbalanced_60_30_10	homogeneous_hr13	1200	1200	1091	0.9091666666666667	0.8915752556961698	0.9241467754772588	0.895	1044	0.87	0.8497852511193585	0.8878534084346176	0.845	90	0.075	0.061415797813133576	0.09129655269919108	0.07	588	0.49	0.4617930702835468	0.5182707497285078	0.48	570	0.475	0.44687051874411976	0.5032890312860169	0.46	89	0.07416666666666667	0.06066079154899041	0.0903902106310055	0.07	46.0	0.2911886880665711	0.9264298352759801
1800	0.15	imbalanced_60_30_10	homogeneous_hr15	1200	1200	1198	0.9983333333333333	0.9939434818973136	0.9995428208352937	0.995	1171	0.9758333333333333	0.9655082635637513	0.9831216341959792	0.965	492	0.41	0.3825025625791685	0.43807181752932367	0.405	1123	0.9358333333333333	0.9205303087066316	0.9483548691013176	0.93	1074	0.895	0.8763768647675607	0.9111022447562787	0.885	485	0.4041666666666667	0.37674996327123916	0.4321949785109516	0.3975	46.0	0.2927915603579584	1.7562162514341306
1800	0.15	imbalanced_60_30_10	null	1200	1200	21	0.0175	0.011474222395146387	0.02660509318649281	0.0075	140	0.11666666666666667	0.0997144441069211	0.13606532302184232	0.0975	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	2	0.0016666666666666668	0.00045717916470629574	0.006056518102686179	0.0	2	0.0016666666666666668	0.00045717916470629574	0.006056518102686179	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	47.0	0.28797919746154566	-0.7992984723790111
1800	0.15	imbalanced_60_30_10	one_site_only_hr15	1200	1200	772	0.6433333333333333	0.6158130297324096	0.6699388834281397	0.6275	304	0.25333333333333335	0.2295396608347833	0.27870123279589926	0.2325	1	0.0008333333333333334	0.00014711894493048142	0.0047052299901332185	0.0	25	0.020833333333333332	0.014150649278407432	0.03057405963254687	0.0175	23	0.019166666666666665	0.012805260881153014	0.028596751365143728	0.015	1	0.0008333333333333334	0.00014711894493048142	0.0047052299901332185	0.0	45.0	0.2913447490500059	-0.5202711103910844
1800	0.15	imbalanced_60_30_10	one_site_reversed_hr15	1200	1200	1056	0.88	0.8603906805365023	0.8971841590054193	0.8725	20	0.016666666666666666	0.01081468204022554	0.025603285209084888	0.0075	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	151	0.12583333333333332	0.10825408961661079	0.14580050916776918	0.105	11	0.009166666666666667	0.005126148473237232	0.016339683785114217	0.0075	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	45.5	0.29318889026111433	-2.0236962890252883
