frozen_gene	candidate_pool_max	nearest_distance	q25_pool_max_distance	q50_pool_max_distance	q100_pool_max_distance	candidate_distance_median	candidate_distance_max
CD74	200	2.0748680710607403	11.270957718967535	13.439024388803864	17.654702935304925	17.676529949181337	21.98503093283284
CXCL10	200	0.51284501945682	1.8226455912118147	2.2898719058433246	2.6730895980171847	2.6731466875003824	2.9677976029133064
GBP1	200	0.6848775175012004	2.2910406389790987	2.67498414102006	3.4761946213053965	3.4779444736794174	4.468289792900855
HLA-DPA1	200	0.9238649843808038	4.709283047335751	7.339843529505206	9.895918093281242	9.906273300709865	12.502344282847188
HLA-DPB1	200	1.2256295294215387	4.930448895615951	6.7912599327418395	9.60518141617318	9.633847821436252	12.316469899396544
HLA-DQA1	200	1.1315874354832902	3.159299173477647	3.901665483390723	4.824429085567378	4.827342995692202	6.488944684539268
HLA-DQB1	200	1.8305250638420199	3.35000191971725	3.930181175076732	4.876810228102297	4.895216671714926	6.168906247065764
HLA-DRA	200	1.5920420163487854	11.083904632699095	15.464933738415096	18.560208783855092	18.666147571451184	22.283614443667137
HLA-DRB1	200	1.3235726075953114	7.694196822539325	9.467962771221263	12.683027816371792	12.684042503433147	15.419949873069742
IRF1	200	0.5277902865841564	2.81196868213082	3.618537543583693	5.087227306437628	5.090236265818165	6.531335180294819
ISG15	200	1.8413998107632938	3.849521757604038	4.210360433794874	4.6036986044608605	4.616638486868496	5.084578322265823
STAT1	200	0.6877930978770276	2.3283039859532035	2.8061787667805143	3.6223798098139324	3.6263900816611607	4.474161867516389
