candidate_neighbors	seed	n_random_modules	construction_failures	observed_v22_auc	null_mean	null_q50	null_q95	null_q99	null_max	empirical_upper_p	seed_gate
25	5721	50000	0	0.8222222222222222	0.599712888888889	0.6	0.8	0.8444444444444444	0.9555555555555556	0.03131937361252775	True
25	5722	50000	0	0.8222222222222222	0.6004177777777778	0.6	0.8	0.8444444444444444	1.0	0.030339393212135756	True
25	5723	50000	0	0.8222222222222222	0.6004088888888889	0.6	0.8	0.8444444444444444	0.9555555555555556	0.030719385612287754	True
50	5721	50000	0	0.8222222222222222	0.5995991111111111	0.6	0.8	0.8444444444444444	1.0	0.03225935481290374	True
50	5722	50000	0	0.8222222222222222	0.6001426666666667	0.6	0.8	0.8666666666666667	1.0	0.03397932041359173	True
50	5723	50000	0	0.8222222222222222	0.5998706666666667	0.6	0.8	0.8666666666666667	1.0	0.033319333613327735	True
100	5721	50000	0	0.8222222222222222	0.605096	0.6	0.7777777777777778	0.8444444444444444	0.9777777777777777	0.02873942521149577	True
100	5722	50000	0	0.8222222222222222	0.6058493333333334	0.6222222222222222	0.7777777777777778	0.8444444444444444	0.9777777777777777	0.029259414811703768	True
100	5723	50000	0	0.8222222222222222	0.6059177777777778	0.6222222222222222	0.8	0.8444444444444444	0.9777777777777777	0.03185936281274374	True
200	5721	50000	0	0.8222222222222222	0.5876706666666667	0.6	0.7777777777777778	0.8444444444444444	0.9555555555555556	0.020719585608287835	True
200	5722	50000	0	0.8222222222222222	0.587756	0.6	0.7777777777777778	0.8444444444444444	1.0	0.01999960000799984	True
200	5723	50000	0	0.8222222222222222	0.5877928888888889	0.6	0.7777777777777778	0.8444444444444444	0.9777777777777777	0.019559608807823845	True
