seed	module	n_permutations	two_sided_p	max_t_fwer_p
54001	receptor_cd44_cxcr4	100000	0.28024719752802474	0.7896421035789642
54001	hla_regulatory	100000	0.8622013779862201	0.999970000299997
54001	mif_ligand	100000	0.8843611563884362	0.999990000099999
54001	ifn_apc_unique	100000	0.36595634043659564	0.8868611313886862
54001	lysosomal_unique	100000	0.2986270137298627	0.8094119058809411
54002	receptor_cd44_cxcr4	100000	0.27853721462785375	0.7855321446785533
54002	hla_regulatory	100000	0.8631213687863122	0.999910000899991
54002	mif_ligand	100000	0.8847311526884731	0.999970000299997
54002	ifn_apc_unique	100000	0.3650863491365086	0.8856211437885622
54002	lysosomal_unique	100000	0.2967570324296757	0.8054119458805412
54003	receptor_cd44_cxcr4	100000	0.2787772122278777	0.7854721452785473
54003	hla_regulatory	100000	0.8626513734862651	0.999920000799992
54003	mif_ligand	100000	0.8833611663883362	0.999970000299997
54003	ifn_apc_unique	100000	0.36230637693623063	0.8861311386886132
54003	lysosomal_unique	100000	0.2972170278297217	0.8057719422805772
