source_family	matter	module	n_samples	n_donors	n_ppms	n_spms	lesion_contexts	n_design_columns	design_rank	design_condition	max_donor_samples
Amsterdam BB	WM	receptor_cd44_cxcr4	54	24	12	12	AL;CAL;CIL;NAWM;RL	9	9	9.380385702926679	5
Amsterdam BB	WM	hla_regulatory	54	24	12	12	AL;CAL;CIL;NAWM;RL	9	9	9.380385702926679	5
Amsterdam BB	WM	mif_ligand	54	24	12	12	AL;CAL;CIL;NAWM;RL	9	9	9.380385702926679	5
Amsterdam BB	WM	ifn_apc_unique	54	24	12	12	AL;CAL;CIL;NAWM;RL	9	9	9.380385702926679	5
Amsterdam BB	WM	lysosomal_unique	54	24	12	12	AL;CAL;CIL;NAWM;RL	9	9	9.380385702926679	5
UK MS TB	GM	receptor_cd44_cxcr4	48	20	8	12	GML;NAGM	6	6	5.851759207911528	5
UK MS TB	GM	hla_regulatory	48	20	8	12	GML;NAGM	6	6	5.851759207911528	5
UK MS TB	GM	mif_ligand	48	20	8	12	GML;NAGM	6	6	5.851759207911528	5
UK MS TB	GM	ifn_apc_unique	48	20	8	12	GML;NAGM	6	6	5.851759207911528	5
UK MS TB	GM	lysosomal_unique	48	20	8	12	GML;NAGM	6	6	5.851759207911528	5
