module	source_family	n_ppms	n_spms	spms_minus_ppms_standardized_beta	hc3_ci_low	hc3_ci_high	hc3_p	permutation_p
receptor_cd44_cxcr4	Amsterdam BB	12	12	0.31888968452229993	-0.5428362861413621	1.180615655185962	0.4682662617895521	0.45944846850510496
hla_regulatory	Amsterdam BB	12	12	-0.20487794723128208	-1.0731789429017033	0.6634230484391391	0.6437523730398883	0.629637901206996
mif_ligand	Amsterdam BB	12	12	0.22221169101682203	-0.6452768925347415	1.0897002745683855	0.6156288894491126	0.6031313228955903
ifn_apc_unique	Amsterdam BB	12	12	0.08595003039708114	-0.7861365770676917	0.958036637861854	0.8468276340711228	0.8413371955426815
lysosomal_unique	Amsterdam BB	12	12	-0.07514060269140857	-0.9474173609288278	0.7971361555460107	0.8659245981713506	0.8723470921763594
receptor_cd44_cxcr4	UK MS TB	8	12	0.372388498528771	-0.4755446903723378	1.22032168742988	0.3893695421417498	0.46218512604957984
hla_regulatory	UK MS TB	8	12	0.3794798698796374	-0.5663459437012544	1.3253056834605292	0.4316520956874059	0.4406051979826734
mif_ligand	UK MS TB	8	12	-0.1732331870441529	-1.1399835052705065	0.7935171311822008	0.7254320280949091	0.7320775597414675
ifn_apc_unique	UK MS TB	8	12	0.5370374453102967	-0.36902718069463303	1.4431020713152265	0.2453578950350035	0.26012579958066806
lysosomal_unique	UK MS TB	8	12	0.8422302947088205	-0.10870257998321053	1.7931631694008514	0.08257841821845235	0.07101309662301125
