endpoint	left_out_informative_donor	within_donor_foamy_beta
oxphos	MS01	0.42155293389414417
oxphos	MS03	-0.1397931849344895
oxphos	MS16	-0.06720263494735557
oxphos	MS17	-0.2795110312776054
oxphos	MS18	-0.10192494218017895
oxphos	MS19	-1.6141091020422553
lysosomal_unique	MS01	-0.3279504345465045
lysosomal_unique	MS03	-0.023175461825940324
lysosomal_unique	MS16	-0.05797567562029826
lysosomal_unique	MS17	-0.27034277120277106
lysosomal_unique	MS18	-0.39004054041969266
lysosomal_unique	MS19	1.255704151246713
