path	check	status	detail
knowledge_external/catalogs/resources/national_ms_society_types.json	source_present	PASS	resource.national_ms_society.types_of_ms.2026-06-13
knowledge_external/catalogs/resources/national_ms_society_types.json	date_accessed_present	PASS	resource.national_ms_society.types_of_ms.2026-06-13
knowledge_external/catalogs/resources/national_ms_society_types.json	relationship_valid	PASS	resource.national_ms_society.types_of_ms.2026-06-13
knowledge_external/catalogs/resources/national_ms_society_types.json	not_project_grounded_marker	PASS	resource.national_ms_society.types_of_ms.2026-06-13
knowledge_external/catalogs/resources/national_ms_society_types.json	why_unverifiable_present	PASS	resource.national_ms_society.types_of_ms.2026-06-13
knowledge_external/catalogs/resources/national_ms_society_types.json	not_cited_as_project_evidence	PASS	resource.national_ms_society.types_of_ms.2026-06-13
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	record_id_present	PASS	resource.nhs_england.ms_dmt_algorithm.2026-06-13
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	claim_present	PASS	resource.nhs_england.ms_dmt_algorithm.2026-06-13
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	epistemic_class_valid	PASS	resource.nhs_england.ms_dmt_algorithm.2026-06-13
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	source_present	PASS	resource.nhs_england.ms_dmt_algorithm.2026-06-13
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	date_accessed_present	PASS	resource.nhs_england.ms_dmt_algorithm.2026-06-13
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	relationship_valid	PASS	resource.nhs_england.ms_dmt_algorithm.2026-06-13
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	not_project_grounded_marker	PASS	resource.nhs_england.ms_dmt_algorithm.2026-06-13
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	why_unverifiable_present	PASS	resource.nhs_england.ms_dmt_algorithm.2026-06-13
knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json	not_cited_as_project_evidence	PASS	resource.nhs_england.ms_dmt_algorithm.2026-06-13
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	record_id_present	PASS	resource.nice.ng220_ms_management.2026-06-13
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	claim_present	PASS	resource.nice.ng220_ms_management.2026-06-13
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	epistemic_class_valid	PASS	resource.nice.ng220_ms_management.2026-06-13
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	source_present	PASS	resource.nice.ng220_ms_management.2026-06-13
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	date_accessed_present	PASS	resource.nice.ng220_ms_management.2026-06-13
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	relationship_valid	PASS	resource.nice.ng220_ms_management.2026-06-13
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	not_project_grounded_marker	PASS	resource.nice.ng220_ms_management.2026-06-13
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	why_unverifiable_present	PASS	resource.nice.ng220_ms_management.2026-06-13
knowledge_external/catalogs/resources/nice_ng220_ms_management.json	not_cited_as_project_evidence	PASS	resource.nice.ng220_ms_management.2026-06-13
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	record_id_present	PASS	resource.ninds.ms_common_data_elements.2026-06-13
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	claim_present	PASS	resource.ninds.ms_common_data_elements.2026-06-13
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	epistemic_class_valid	PASS	resource.ninds.ms_common_data_elements.2026-06-13
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	source_present	PASS	resource.ninds.ms_common_data_elements.2026-06-13
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	date_accessed_present	PASS	resource.ninds.ms_common_data_elements.2026-06-13
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	relationship_valid	PASS	resource.ninds.ms_common_data_elements.2026-06-13
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	not_project_grounded_marker	PASS	resource.ninds.ms_common_data_elements.2026-06-13
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	why_unverifiable_present	PASS	resource.ninds.ms_common_data_elements.2026-06-13
knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json	not_cited_as_project_evidence	PASS	resource.ninds.ms_common_data_elements.2026-06-13
knowledge_external/catalogs/resources/open_targets_platform.json	record_id_present	PASS	resource.open_targets.platform.2026-06-13
knowledge_external/catalogs/resources/open_targets_platform.json	claim_present	PASS	resource.open_targets.platform.2026-06-13
knowledge_external/catalogs/resources/open_targets_platform.json	epistemic_class_valid	PASS	resource.open_targets.platform.2026-06-13
knowledge_external/catalogs/resources/open_targets_platform.json	source_present	PASS	resource.open_targets.platform.2026-06-13
knowledge_external/catalogs/resources/open_targets_platform.json	date_accessed_present	PASS	resource.open_targets.platform.2026-06-13
knowledge_external/catalogs/resources/open_targets_platform.json	relationship_valid	PASS	resource.open_targets.platform.2026-06-13
knowledge_external/catalogs/resources/open_targets_platform.json	not_project_grounded_marker	PASS	resource.open_targets.platform.2026-06-13
knowledge_external/catalogs/resources/open_targets_platform.json	why_unverifiable_present	PASS	resource.open_targets.platform.2026-06-13
knowledge_external/catalogs/resources/open_targets_platform.json	not_cited_as_project_evidence	PASS	resource.open_targets.platform.2026-06-13
knowledge_external/catalogs/resources/osf_repository.json	record_id_present	PASS	resource.osf.repository.2026-06-13
knowledge_external/catalogs/resources/osf_repository.json	claim_present	PASS	resource.osf.repository.2026-06-13
knowledge_external/catalogs/resources/osf_repository.json	epistemic_class_valid	PASS	resource.osf.repository.2026-06-13
knowledge_external/catalogs/resources/osf_repository.json	source_present	PASS	resource.osf.repository.2026-06-13
knowledge_external/catalogs/resources/osf_repository.json	date_accessed_present	PASS	resource.osf.repository.2026-06-13
knowledge_external/catalogs/resources/osf_repository.json	relationship_valid	PASS	resource.osf.repository.2026-06-13
knowledge_external/catalogs/resources/osf_repository.json	not_project_grounded_marker	PASS	resource.osf.repository.2026-06-13
knowledge_external/catalogs/resources/osf_repository.json	why_unverifiable_present	PASS	resource.osf.repository.2026-06-13
knowledge_external/catalogs/resources/osf_repository.json	not_cited_as_project_evidence	PASS	resource.osf.repository.2026-06-13
knowledge_external/catalogs/resources/pubmed_literature.json	record_id_present	PASS	resource.pubmed.literature.2026-06-13
knowledge_external/catalogs/resources/pubmed_literature.json	claim_present	PASS	resource.pubmed.literature.2026-06-13
