disease_name	tested_contexts	positive_contexts	negative_contexts	best_effect	best_p	best_fdr	positive_compartments
ulcerative colitis	3	2	0	1.972336498380402	0.0002169108406527	0.052088525467179	colon epithelial;colon myeloid
Crohn disease	3	1	0	1.5189707271616737	0.0048073455784143	0.176022275812938	colon myeloid
psoriasis	3	0	0	-0.7908911666239122	0.1561606251629964	0.517218587767089	
type 1 diabetes mellitus	5	0	0	-0.3646341689757451	0.1657164145182465	0.6022682364856238	
Sjogren syndrome	3	0	0	-0.2800052704874742	0.2805276851968226	0.8751192710047316	
