dataset	test	cell_state	effect	p	fdr	n_patients	interpretation
GSE282122_IBD_myeloid_antiTNF	remission_delta_difference	Mono_macro	-0.6527057582018596	0.0648574571179849	0.9670511228671426		negative effect means ETS2 decreases more in remission than non-remission
GSE282122_IBD_myeloid_antiTNF	remission_delta_difference	DC	-0.1138883684642015	0.5205476248805255	1.0		negative effect means ETS2 decreases more in remission than non-remission
GSE282122_IBD_myeloid_antiTNF	paired_post_minus_pre_all	DC	-0.0183645873744508	0.814685108912407	1.0	29.0	negative effect means ETS2 drops after anti-TNF
GSE282122_IBD_myeloid_antiTNF	paired_post_minus_pre_all	Mono_macro	0.0303130503978126	0.8277594906351843	1.0	29.0	negative effect means ETS2 drops after anti-TNF
