analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	nominal_positive	nominal_negative
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	ETS2	6	6	8.243288497180332	6.27095199879993	1.972336498380402	3.0479205711364123	5.7190827271961675	0.0002169108406527	0.4653299369457102	0.1756429630913853	1.0	7.25712024799013	False	0.052088525467179	True	False	True	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	ETS2	6	6	7.7899227259616035	6.27095199879993	1.5189707271616737	1.9411320379027397	3.642317590001199	0.0048073455784143	0.3505326616504754	0.1756429630913853	1.0	7.030437362380766	False	0.176022275812938	True	False	False	False	True	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	ETS2	6	6	8.215625495413422	7.522845140527312	0.6927803548861098	1.3061588420996595	2.450861267044608	0.0344322565195709	0.3084249306607116	0.2195631954678696	1.0	7.869235317970365	False	0.2989677881774056	True	False	False	False	True	False
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	ETS2	3	3	7.633012342929864	8.423903509553776	-0.7908911666239122	-1.183980344605514	-1.812592318605062	0.1561606251629964	0.6459435885883283	0.7159564087465019	1.0	8.02845792624182	False	0.517218587767089	False	False	False	False	False	False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	ETS2	3	19	5.448899209060908	5.15352654576368	0.2953726632972282	0.4353500592373041	1.486232587237291	0.1657164145182465	0.1507254622641442	0.1785072655459	1.0	5.193804636213301	False	0.7824283340329777	False	False	False	False	False	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	ETS2	5	19	6.818258537042702	7.169455865654406	-0.351197328611704	-0.7304056684723759	-1.333043152833426	0.2350822373039408	0.4140653327562278	0.4466835956972754	1.0	7.09628975552697	False	0.6022682364856238	False	False	False	False	False	False
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	ETS2	6	6	7.767039373858395	7.444137834368749	0.3229015394896466	0.6164286137003541	1.1566594846822835	0.2742976789196116	0.5337608797931915	0.4756262667443585	1.0	7.605588604113572	False	0.6637707749090925	False	False	False	False	False	False
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	ETS2	10	14	7.242720332676548	7.483951687982386	-0.241231355305838	-0.4377268268927293	-1.1085912136702676	0.2805276851968226	0.1853284948829731	0.2191305539132041	1.0	7.38343862327162	False	0.8751192710047316	False	False	False	False	False	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	ETS2	6	6	7.828391164469736	7.522845140527312	0.3055460239424237	0.5282039087170222	0.9911156738755524	0.3463542628804429	0.3172798158878501	0.2195631954678696	1.0	7.675618152498523	False	0.6227513276540608	False	False	False	False	False	False
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	ETS2	3	3	7.595220469921194	8.309623003950783	-0.7144025340295892	-0.6949453469618795	-1.0639134369862628	0.3638807951855896	0.4701754385964912	0.5963853564547207	1.0	7.952421736935989	False	0.777892084402464	False	False	False	False	False	False
