pathology	cell_type	n_genes_present	mean_pct_detected	mean_expr	module
MS_lesion_core	astrocytes	8	0.008595139300533492	0.008817428	complement_phagocytosis
MS_lesion_core	immune	8	0.26267281105990786	0.38287252	complement_phagocytosis
MS_lesion_core	lymphocytes	8	0.015625	0.015625	complement_phagocytosis
MS_lesion_core	neurons	8	0.007498171177761521	0.0076810536	complement_phagocytosis
MS_lesion_core	oligodendrocytes	8	0.006578947368421052	0.0065789474	complement_phagocytosis
MS_lesion_core	opc	8	0.010416666666666668	0.011363637	complement_phagocytosis
MS_lesion_core	vascular_cells	8	0.008714596949891068	0.009259259	complement_phagocytosis
MS_periplaque_white_matter	astrocytes	8	0.016257995735607676	0.01945629	complement_phagocytosis
MS_periplaque_white_matter	immune	8	0.202720207253886	0.3550842	complement_phagocytosis
MS_periplaque_white_matter	lymphocytes	8	0.0015432098765432098	0.0015432099	complement_phagocytosis
MS_periplaque_white_matter	neurons	8	0.0020833333333333333	0.0020833334	complement_phagocytosis
MS_periplaque_white_matter	oligodendrocytes	8	0.0023486875818482036	0.002426977	complement_phagocytosis
MS_periplaque_white_matter	opc	8	0.002131782945736434	0.0023255814	complement_phagocytosis
MS_periplaque_white_matter	vascular_cells	8	0.005208333333333333	0.0052083335	complement_phagocytosis
chronic_active_MS_lesion_edge	astrocytes	8	0.024437716262975778	0.029226396	complement_phagocytosis
chronic_active_MS_lesion_edge	immune	8	0.2558736512356422	0.48029062	complement_phagocytosis
chronic_active_MS_lesion_edge	lymphocytes	8	0.030251141552511414	0.03196347	complement_phagocytosis
chronic_active_MS_lesion_edge	neurons	8	0.006868131868131868	0.006868132	complement_phagocytosis
chronic_active_MS_lesion_edge	oligodendrocytes	8	0.007989018802338443	0.008324775	complement_phagocytosis
chronic_active_MS_lesion_edge	opc	8	0.011684303350970017	0.011684303	complement_phagocytosis
chronic_active_MS_lesion_edge	vascular_cells	8	0.010849056603773584	0.012106919	complement_phagocytosis
chronic_inactive_MS_lesion_edge	astrocytes	8	0.011302795954788817	0.013236169	complement_phagocytosis
chronic_inactive_MS_lesion_edge	immune	8	0.2262396694214876	0.34828806	complement_phagocytosis
chronic_inactive_MS_lesion_edge	lymphocytes	8	0.030303030303030304	0.030303031	complement_phagocytosis
chronic_inactive_MS_lesion_edge	neurons	8	0.0050381263616557734	0.005174292	complement_phagocytosis
chronic_inactive_MS_lesion_edge	oligodendrocytes	8	0.0024792280889841863	0.0024792282	complement_phagocytosis
chronic_inactive_MS_lesion_edge	opc	8	0.006996268656716417	0.0074626864	complement_phagocytosis
