pathology	cell_type	n	pct_detected	mean_expr	gene
MS_lesion_core	astrocytes	1687	0.015411973918197985	0.015411974	ISG15
MS_lesion_core	immune	651	0.0030721966205837174	0.0030721966	ISG15
MS_lesion_core	lymphocytes	24	0.0	0.0	ISG15
MS_lesion_core	neurons	1367	0.011704462326261888	0.011704463	ISG15
MS_lesion_core	oligodendrocytes	19	0.0	0.0	ISG15
MS_lesion_core	opc	132	0.022727272727272728	0.022727273	ISG15
MS_lesion_core	vascular_cells	459	0.05010893246187364	0.052287582	ISG15
MS_periplaque_white_matter	astrocytes	469	0.014925373134328358	0.014925373	ISG15
MS_periplaque_white_matter	immune	772	0.010362694300518135	0.010362694	ISG15
MS_periplaque_white_matter	lymphocytes	81	0.012345679012345678	0.012345679	ISG15
MS_periplaque_white_matter	neurons	120	0.0	0.0	ISG15
MS_periplaque_white_matter	oligodendrocytes	17563	0.0014234470193019415	0.001423447	ISG15
MS_periplaque_white_matter	opc	645	0.010852713178294573	0.010852713	ISG15
MS_periplaque_white_matter	vascular_cells	120	0.075	0.083333336	ISG15
chronic_active_MS_lesion_edge	astrocytes	4046	0.017795353435491844	0.018536827	ISG15
chronic_active_MS_lesion_edge	immune	2873	0.009745910198398886	0.010093979	ISG15
chronic_active_MS_lesion_edge	lymphocytes	219	0.0091324200913242	0.00913242	ISG15
chronic_active_MS_lesion_edge	neurons	364	0.013736263736263736	0.013736264	ISG15
chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.003950071101279823	0.0040290724	ISG15
chronic_active_MS_lesion_edge	opc	567	0.021164021164021163	0.02292769	ISG15
chronic_active_MS_lesion_edge	vascular_cells	795	0.03773584905660377	0.044025157	ISG15
chronic_inactive_MS_lesion_edge	astrocytes	1681	0.0148720999405116	0.0148721	ISG15
chronic_inactive_MS_lesion_edge	immune	847	0.0035419126328217238	0.0035419127	ISG15
chronic_inactive_MS_lesion_edge	lymphocytes	66	0.015151515151515152	0.015151516	ISG15
chronic_inactive_MS_lesion_edge	neurons	918	0.006535947712418301	0.006535948	ISG15
chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.00259090502992942	0.002769588	ISG15
chronic_inactive_MS_lesion_edge	opc	536	0.026119402985074626	0.027985075	ISG15
chronic_inactive_MS_lesion_edge	vascular_cells	269	0.08921933085501858	0.10780669	ISG15
control_white_matter	astrocytes	328	0.018292682926829267	0.018292682	ISG15
control_white_matter	immune	289	0.006920415224913495	0.0069204154	ISG15
control_white_matter	lymphocytes	16	0.0	0.0	ISG15
control_white_matter	neurons	34	0.0	0.0	ISG15
control_white_matter	oligodendrocytes	4264	0.00046904315196998124	0.00046904315	ISG15
control_white_matter	opc	295	0.023728813559322035	0.023728814	ISG15
control_white_matter	vascular_cells	65	0.015384615384615385	0.015384615	ISG15
MS_lesion_core	astrocytes	1687	0.01066982809721399	0.010669828	C1QA
MS_lesion_core	immune	651	0.2196620583717358	0.28725037	C1QA
MS_lesion_core	lymphocytes	24	0.0	0.0	C1QA
MS_lesion_core	neurons	1367	0.008778346744696415	0.008778347	C1QA
MS_lesion_core	oligodendrocytes	19	0.05263157894736842	0.05263158	C1QA
MS_lesion_core	opc	132	0.007575757575757576	0.015151516	C1QA
MS_lesion_core	vascular_cells	459	0.010893246187363835	0.010893246	C1QA
MS_periplaque_white_matter	astrocytes	469	0.006396588486140725	0.0063965884	C1QA
MS_periplaque_white_matter	immune	772	0.16839378238341968	0.28756475	C1QA
MS_periplaque_white_matter	lymphocytes	81	0.0	0.0	C1QA
MS_periplaque_white_matter	neurons	120	0.0	0.0	C1QA
