module	n_present	genes_present
t_cell_score	12	CD2;CD3D;CD3E;CD3G;CD4;CD8A;CD8B;IL7R;CCR7;SELL;LTB;CD27
effector_memory_t_cell_score	9	CD2;CD8A;GZMB;PRF1;NKG7;GNLY;CCL5;CXCR3;KLRD1
generic_inflammatory_nfkb	9	IL1B;TNF;CXCL8;CCL2;CCL3;CCL4;NFKBIA;TREM1;OSM
