gene_symbol	n_sgrna	median_efficient_lfc	median_noneater_lfc	median_efficient_minus_noneater_lfc	s1_median_efficient_lfc	s3_median_efficient_lfc	s1_median_noneater_lfc	s3_median_noneater_lfc	efficient_consistent_positive	noneater_consistent_positive	efficient_p_wilcoxon	noneater_p_wilcoxon	contrast_p_wilcoxon	modules	tracked_candidate	efficient_fdr	noneater_fdr	contrast_fdr	screen_call
OLFR266	2	0.7158636913964896	-0.607835465636764	1.3236991570332535	0.8054679597023839	0.6262594230905953	0.21023448787384025	-1.4259054191473683	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
YWHAE	2	0.7320108557566672	-0.5359152127113543	1.2679260684680216	0.7630256309398402	0.7009960805734943	-0.5962418166926726	-0.47558860873003606	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
PDCD6IP	4	0.7811730026257263	-0.6112887660133749	1.2170477653396645	1.055116305867783	0.4764859202536804	-0.5524099518658483	-0.673610986062668	True	False	0.125	0.125	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
PYDC3	3	0.8783426072592877	-0.3024731867723478	1.192668828893351	0.8935379741078608	0.6533170180266272	0.30198667126324796	-0.35834077625516825	True	False	0.25	0.25	0.25		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
TSC1	3	0.7349695867960826	-0.44387806776528915	1.1788476545613717	0.5488814246445748	0.45230859032774884	0.03497313896942167	-0.9227292745	True	False	0.25	0.5	0.25		False	0.8221627590893646	0.9889744952178533	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
VMN2R87	3	0.526106672693762	-0.2856314861355571	1.0970815686567217	0.6637448552268062	0.7256923726354279	-0.31778213355067475	-0.25348083872043947	True	False	0.25	0.25	0.25		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
INTS7	4	0.5281313564058407	-0.48534880776149325	1.0702004249539363	0.3267073868134118	0.6443793364736274	-0.3997672105821408	-0.2901157005354311	True	False	0.25	0.125	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
RYK	3	0.762836266139729	-0.2748168083413718	1.0593163148417921	0.829877222789035	0.5725298702145833	0.09067534464286897	-0.29412418870688617	True	False	0.25	0.5	0.25		False	0.8221627590893646	0.9889744952178533	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
FCGRT	4	0.5628776232500127	-0.044387133964917835	1.0489029953992377	0.6083018492649415	0.5174533972350839	0.30386326957741017	-0.42714771967251275	True	False	0.125	0.875	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
MCMBP	4	0.7895848804258438	-0.08539321875348793	1.043248837727032	0.5819035116207789	0.6647393776762445	-0.09306803630312799	-0.23513827926971587	True	False	0.125	0.625	0.125		False	0.8221627590893646	0.9889744952178533	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
MMS22L	4	0.5320855513060645	-0.6101226182530782	1.0410047741426873	0.5783785890618602	0.6978143722401038	-0.32904241527068745	-0.9971224103876939	True	False	0.125	0.125	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
IGLON5	4	0.8324130167408421	-0.2779752670504838	1.0204032580512368	0.6197875236811801	0.9208807857009049	-0.47984521238232447	0.04693511813644102	True	False	0.125	0.25	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
ZSWIM7	3	0.6105933574930458	-0.5668529378034908	0.9940704453412081	0.5673488906193493	0.702520146914936	-0.11842526425927691	-1.0152806113477046	True	False	0.25	0.5	0.25		False	0.8221627590893646	0.9889744952178533	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
AXIN1	3	0.720198230523192	-0.26582014999808123	0.9860183805212732	0.6381047531528004	0.42862106088329766	-0.3278640650278768	-0.46232741873156513	True	False	0.25	0.25	0.25		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
VMN1R142	1	1.281071754017375	0.30595135214132574	0.9751204018760493	1.1822590977307788	1.3798844103039714	0.8733318393312635	-0.261429135048612	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
ZFP775	3	0.5913069162797546	-0.24355743484309356	0.9565179349957516	0.44260394232814004	0.6216051290206344	-0.23768938838138665	-0.30312056248368924	True	False	0.25	0.5	0.25		False	0.8221627590893646	0.9889744952178533	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
LHX2	4	0.5177630659045752	-0.11072395512415356	0.9510873903574385	0.9280522412858654	0.26227645521722787	0.13758168259472114	-0.5077924277382972	True	False	0.25	0.375	0.25		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
BEAN1	3	0.8694554546577737	-0.07023508395093536	0.9396905386087091	0.9842669986224806	0.695343372340679	-0.09552083636548758	-0.347767845752573	True	False	0.5	0.75	0.5		False	0.9600924529799222	1.0	0.9971256078463695	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
OLFR615	3	0.5638572721382722	-0.35386528653181193	0.9177225586700841	0.3643781872150984	0.763336357061446	0.37941802433461325	-1.087148597398237	True	False	0.5	0.75	0.5		False	0.9600924529799222	1.0	0.9971256078463695	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
NKAIN2	4	0.6169431101706212	-0.48507299783244484	0.917538115831697	0.3406151486696398	0.8253732838612087	-0.35440217153906106	-0.4626375739575357	True	False	0.125	0.25	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
MAN1A2	2	0.7373947258576615	-0.1684492302945254	0.9058439561521869	1.1130733023838844	0.3617161493314387	-0.17684409381249888	-0.16005436677655194	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
FZD4	4	0.5622176934333886	-0.33260956693316257	0.8948272603665511	0.6547029662175434	0.5713240295201014	-0.24130606105227348	-0.3826878460738572	True	False	0.125	0.25	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
EFR3A	4	0.6844697530989772	-0.07583888207417266	0.8947628318325367	0.487777114277655	0.6958611679944962	0.027196028805072103	-0.0968066153267253	True	False	0.25	0.625	0.25		False	0.8221627590893646	0.9889744952178533	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
GM2825	1	0.6935626063990508	-0.19632036865072378	0.8898829750497745	0.4191631919126957	0.9679620208854058	-0.724092563609684	0.33145182630823644	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
ZFP598	3	0.6285603709275949	0.1812872375497021	0.8846439794835519	0.581204137960853	1.1788829852169376	-7.077926491438902e-05	0.3626452543643186	True	False	0.25	1.0	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
YTHDF2	4	0.6786846572530001	-0.3624344603975971	0.8747315389922106	0.4928233867590346	0.6125924075511315	-0.3961822360723626	-0.6574411191465714	True	False	0.25	0.125	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
ABTB2	4	0.5352876822513474	-0.40708574201824765	0.8670671833295949	0.6123282971752857	0.34369138921393394	-0.2721079328109961	-0.18624874586768714	True	False	0.625	0.125	0.25		False	0.9600924529799222	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
RECQL4	3	0.5425021710610904	-0.31206326469515266	0.8545654357562431	0.7967783283516621	0.2882260137705188	-0.21487854131492945	0.0430899281379844	True	False	0.75	0.5	0.5		False	1.0	0.9889744952178533	0.9971256078463695	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
CHST11	3	0.5998529742537517	0.014884725262602538	0.8502554113258909	0.7762067498856018	0.42349919862190166	0.060089431551031414	-0.030319981025826337	True	False	0.5	1.0	0.5		False	0.9600924529799222	1.0	0.9971256078463695	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
SLC38A9	4	0.8012111854175215	-0.015384171797255819	0.839036932213384	0.622856568807493	0.8341737966312701	0.0028227149684791897	-0.135841836326281	True	False	0.125	1.0	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
TPX2	4	0.5186302340775455	-0.25399022442980246	0.832988507912001	0.7465870228101625	0.30907785491686046	-0.159688705281523	-0.32582881913014106	True	False	0.125	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
TRIM46	4	0.7120115073368067	-0.15197552169654827	0.8291055128406355	0.40531760837684483	0.7121666846215347	-0.28806409212025885	-0.247249040384391	True	False	0.25	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
MGST2	4	0.6185385409301466	-0.316532110311619	0.8277298867867664	0.4927438924978622	0.744333189362431	0.005256386279549385	-0.5131933185606576	True	False	0.375	0.875	0.25		False	0.9052095024317247	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
KRTAP3-1	4	0.5047550391319807	-0.13193648061910768	0.8251254522357937	0.5817804646543812	0.44146021506000577	0.37723193389895204	-0.6384174861122445	True	False	0.125	0.125	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
TAS2R106	4	0.8258168893523876	-0.2193746268226347	0.8127042676625387	0.5459696482660659	0.9173227358463723	0.3572545366993747	-0.4919001370089402	True	False	0.25	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
VMN2R98	3	0.5133510330180597	-0.29872373974406274	0.8120747727621225	0.35488177101592333	0.6718202950201961	-0.2708785181404405	-0.3171342079905699	True	False	1.0	0.75	0.75		False	1.0	1.0	1.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
POC5	3	0.5732662276008096	-0.0597702888435534	0.804487896071381	0.533590039475969	0.6129424157256502	0.0958607907681106	-0.1446706230032624	True	False	0.25	1.0	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
PLLP	3	0.6840998586112639	-0.11636721796149074	0.8004670765727546	0.7058011942127869	0.6694739578616877	-0.024793405895049414	-0.12211700287782268	True	False	0.25	0.5	0.25		False	0.8221627590893646	0.9889744952178533	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
SLC39A3	4	0.6172106704907449	0.07399924287572757	0.7973819035726755	0.48527846104197025	0.46104670413087034	-0.019208234425671655	-0.035554031294140254	True	False	0.25	0.875	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
ZCCHC6	4	0.5857518035375697	-0.36334584453410257	0.7954482334386943	0.4652646898563708	0.7473754488819	0.015994862647755514	-0.6732920614301421	True	False	0.125	0.25	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
FAM49B	4	0.8303292742060054	-0.4052069832833535	0.7903403938506244	0.6232189443573029	0.8219007118067845	0.023047937190562973	-0.6291401309098584	True	False	0.25	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
SCGB1C1	3	0.6249764515161906	-0.12794293415042013	0.7884808330220432	0.8585457882031027	0.3914071148292786	0.5623983662883387	-0.368377021940284	True	False	0.25	1.0	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
FBXO16	4	0.5791858117767177	-0.11281039617133082	0.783729666809502	0.8684494582092779	0.6790706048488104	-0.03769864091917574	-0.28736453062521394	True	False	0.25	0.125	0.25		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
TIAL1	3	0.7580542648297914	-0.02322966526837722	0.7822771961462163	0.5386031230357688	0.7948505068412892	-0.16530324540046148	0.11685738276761182	True	False	0.5	0.25	0.5		False	0.9600924529799222	0.8757238508867174	0.9971256078463695	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
AHCTF1	3	0.6285581133603666	-0.1374839909205905	0.768308361290408	0.48566636042698885	0.8024300443571053	0.1877962309203447	-0.41921322600011646	True	False	0.25	0.75	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
LRRC7	4	0.5962201836103749	-0.19477486187206616	0.7569214561782507	0.5603622702340854	0.8161138769673228	-0.3990534288652754	0.1592235302906344	True	False	0.125	0.625	0.125		False	0.8221627590893646	0.9889744952178533	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
GM20604	4	0.5439717720941469	-0.14534787530277238	0.7478157959370991	0.6303001101307246	0.2628851841280049	-0.0427574186953954	0.11944752757802868	True	False	0.125	0.625	0.125		False	0.8221627590893646	0.9889744952178533	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR
