geo_accession	title	subject_key	timepoint	hla_ii_score	cd64_score	hla_minus_cd64	n_hla_probes	n_cd64_probes
GSM434504	DD1 preMS	DD	pre_pregnancy	9.625136119	7.341756911333333	2.283379207666667	21	3
GSM434505	RP1 preMS	RP	pre_pregnancy	9.819568853333331	6.293978533333334	3.5255903199999974	21	3
GSM434506	SDC1 preMS	SDC	pre_pregnancy	9.247921298809523	5.503964682666666	3.7439566161428566	21	3
GSM434507	SF1 preMS	SF	pre_pregnancy	9.715804491761904	5.377675743	4.338128748761904	21	3
GSM434509	VB1 preMS	VB	pre_pregnancy	8.753300299047622	5.155262959333332	3.5980373397142893	21	3
GSM434513	01 preMS	01	pre_pregnancy	8.84411764947619	5.5797168489999995	3.2644008004761913	21	3
GSM434514	06 preMS	06	pre_pregnancy	9.237057567714285	5.609537139666667	3.6275204280476174	21	3
GSM434516	11 preMS	11	pre_pregnancy	9.555017971809523	5.198334814666667	4.356683157142856	21	3
GSM434725	04_CP4 GRA9p	04	month9_pregnancy	8.892736664190476	7.313413578333333	1.5793230858571432	21	3
GSM434726	09_MA4 GRA9p	09	month9_pregnancy	9.082065298238096	8.044742134666667	1.037323163571429	21	3
GSM434727	14_AR4 GRA9p	14	month9_pregnancy	9.22172862847619	6.083140659333334	3.138587969142857	21	3
GSM434728	19_LL4 GRA9p	19	month9_pregnancy	8.819447454380954	5.8838366429999995	2.935610811380955	21	3
GSM434729	DD4 GRA9p	DD	month9_pregnancy	9.227388161333334	6.882667119666667	2.3447210416666664	21	3
GSM434730	RP4 GRA9p	RP	month9_pregnancy	9.063227006571427	7.576792915333333	1.4864340912380944	21	3
GSM434731	SDC4 GRA9p	SDC	month9_pregnancy	9.337421965	6.469357321666667	2.8680646433333337	21	3
GSM434732	SF4 GRA9p	SF	month9_pregnancy	9.296412739238097	7.011560158666668	2.284852580571429	21	3
GSM434733	VB4 GRA9p	VB	month9_pregnancy	9.675333905428571	7.008610872666668	2.6667230327619036	21	3
