compartment	raw_auc	strongest_attenuator	min_residualized_auc	min_residualized_p	attenuation
b_plasma_like	0.95	delta_stat1_axis	0.6	0.7301587301587301	0.35
myeloid_apc_like	0.8	delta_stat1_axis	0.55	0.9047619047619048	0.25
t_cell_like	1.0	delta_stat1_axis	0.5	1.0	0.5
