analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	positive_p10	negative_p10
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	PSAP	6	6	10.061367694700053	10.930129472892268	-0.8687617781922139	-1.0210437364811331	-1.915874597363232	0.0901345521620393	0.5652277628175872	0.5909648218780501	1.0	10.49574858379616	False	0.4728680559371854	False	False	False	False	False	True
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	PSAP	6	6	10.160669264367094	10.930129472892268	-0.7694602085251727	-0.9446692050038776	-1.7725663143634502	0.1166567288505418	0.6772269434828585	0.5909648218780501	1.0	10.54539936862968	False	0.5105718167803416	False	False	False	False	False	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	PSAP	6	6	7.611966726715657	7.612826874710161	-0.000860147994504	-0.0034699577367566	-0.0065109883585275	0.9949398091319684	0.3641690873541206	0.3319528305795098	1.0	7.612396800712909	False	0.9981009643122822	False	False	False	False	False	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	PSAP	6	6	7.685899327717556	7.612826874710161	0.0730724530073949	0.2218917624668051	0.4163551235713038	0.6867345973381037	0.3282032996167122	0.3319528305795098	1.0	7.649363101213859	False	0.8745486225761501	False	False	False	False	False	False
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	PSAP	6	6	8.352345541755025	8.53694619354044	-0.1846006517854146	-0.4283235848856295	-0.803701395360447	0.4436070150671579	0.6842242226210186	0.7346939090231969	1.0	8.444645867647731	False	0.8179330780944313	False	False	False	False	False	False
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	PSAP	6	6	7.819606402282901	8.53694619354044	-0.7173397912575386	-2.23531651766747	-4.194321927897825	0.001848673240445	0.6216996870239921	0.7346939090231969	1.0	8.178276297911667	False	0.1062456328948528	False	True	False	False	False	True
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	PSAP	3	3	9.6737030581784	9.876292970009535	-0.2025899118311382	-0.3230664676514987	-0.4945924992184622	0.6570646892800838	0.8151681286549707	0.8510096339113681	1.0	9.774998014093969	False	0.8962145511482905	False	False	False	False	False	False
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	PSAP	3	3	7.021918191243924	6.886839077567348	0.1350791136765758	0.3365228708081026	0.5151933251602475	0.6481344496130299	0.5520734840739346	0.5586965126546878	1.0	6.954378634405636	False	0.8347770594267169	False	False	False	False	False	False
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	PSAP	3	3	8.181238608873523	8.5694755527537	-0.3882369438801767	-0.98050553102542	-1.5010864006180868	0.2165577319561334	0.7170345052653815	0.7358469449259406	1.0	8.37535708081361	False	0.6834629099160425	False	False	False	False	False	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	PSAP	9	13	9.977990566547405	9.96863209892837	0.0093584676190321	0.0340417208220175	0.0831600037703019	0.934620073781972	0.7725747696175358	0.8472444515268377	1.0	9.97246056295434	False	0.9990053045348096	False	False	False	False	False	False
