design	analysis_route	interaction_effect_sd	paired_residual_correlation	composition_imbalance	composition_reliability	alpha	largest_group_n_simulated	power_at_largest_group_n	minimum_group_n_reaching_80pct	unique_subjects_at_minimum
paired	composition_adjusted	0.4	0.0	0.0	0.7	0.05	80	0.42	not_reached	not_reached
paired	composition_adjusted	0.4	0.0	0.0	1.0	0.05	80	0.4093333333333333	not_reached	not_reached
paired	composition_adjusted	0.4	0.0	0.5	0.7	0.05	80	0.6573333333333333	not_reached	not_reached
paired	composition_adjusted	0.4	0.0	0.5	1.0	0.05	80	0.46266666666666667	not_reached	not_reached
paired	composition_adjusted	0.4	0.5	0.0	0.7	0.05	80	0.6373333333333333	not_reached	not_reached
paired	composition_adjusted	0.4	0.5	0.0	1.0	0.05	80	0.7	not_reached	not_reached
paired	composition_adjusted	0.4	0.5	0.5	0.7	0.05	80	0.8933333333333333	80	160
paired	composition_adjusted	0.4	0.5	0.5	1.0	0.05	80	0.736	not_reached	not_reached
paired	composition_adjusted	0.4	0.8	0.0	0.7	0.05	80	0.9133333333333333	80	160
paired	composition_adjusted	0.4	0.8	0.0	1.0	0.05	80	0.968	50	100
paired	composition_adjusted	0.4	0.8	0.5	0.7	0.05	80	0.9866666666666667	50	100
paired	composition_adjusted	0.4	0.8	0.5	1.0	0.05	80	0.98	50	100
paired	composition_adjusted	0.7	0.0	0.0	0.7	0.05	80	0.8426666666666667	80	160
paired	composition_adjusted	0.7	0.0	0.0	1.0	0.05	80	0.868	80	160
paired	composition_adjusted	0.7	0.0	0.5	0.7	0.05	80	0.96	80	160
paired	composition_adjusted	0.7	0.0	0.5	1.0	0.05	80	0.88	80	160
paired	composition_adjusted	0.7	0.5	0.0	0.7	0.05	80	0.984	50	100
paired	composition_adjusted	0.7	0.5	0.0	1.0	0.05	80	0.992	50	100
paired	composition_adjusted	0.7	0.5	0.5	0.7	0.05	80	1.0	30	60
paired	composition_adjusted	0.7	0.5	0.5	1.0	0.05	80	0.988	50	100
paired	composition_adjusted	0.7	0.8	0.0	0.7	0.05	80	1.0	30	60
paired	composition_adjusted	0.7	0.8	0.0	1.0	0.05	80	1.0	20	40
paired	composition_adjusted	0.7	0.8	0.5	0.7	0.05	80	1.0	15	30
paired	composition_adjusted	0.7	0.8	0.5	1.0	0.05	80	1.0	15	30
paired	composition_adjusted	1.0	0.0	0.0	0.7	0.05	80	0.988	50	100
paired	composition_adjusted	1.0	0.0	0.0	1.0	0.05	80	0.9946666666666667	50	100
paired	composition_adjusted	1.0	0.0	0.5	0.7	0.05	80	1.0	30	60
paired	composition_adjusted	1.0	0.0	0.5	1.0	0.05	80	0.984	50	100
paired	composition_adjusted	1.0	0.5	0.0	0.7	0.05	80	1.0	20	40
paired	composition_adjusted	1.0	0.5	0.0	1.0	0.05	80	1.0	20	40
paired	composition_adjusted	1.0	0.5	0.5	0.7	0.05	80	1.0	20	40
paired	composition_adjusted	1.0	0.5	0.5	1.0	0.05	80	1.0	20	40
paired	composition_adjusted	1.0	0.8	0.0	0.7	0.05	80	1.0	15	30
paired	composition_adjusted	1.0	0.8	0.0	1.0	0.05	80	1.0	10	20
paired	composition_adjusted	1.0	0.8	0.5	0.7	0.05	80	1.0	10	20
paired	composition_adjusted	1.0	0.8	0.5	1.0	0.05	80	1.0	10	20
paired	unadjusted	0.4	0.0	0.0	0.7	0.05	80	0.39466666666666667	not_reached	not_reached
paired	unadjusted	0.4	0.0	0.0	1.0	0.05	80	0.3506666666666667	not_reached	not_reached
paired	unadjusted	0.4	0.0	0.5	0.7	0.05	80	0.824	80	160
paired	unadjusted	0.4	0.0	0.5	1.0	0.05	80	0.8213333333333334	80	160
paired	unadjusted	0.4	0.5	0.0	0.7	0.05	80	0.568	not_reached	not_reached
paired	unadjusted	0.4	0.5	0.0	1.0	0.05	80	0.5626666666666666	not_reached	not_reached
paired	unadjusted	0.4	0.5	0.5	0.7	0.05	80	0.9666666666666667	50	100
paired	unadjusted	0.4	0.5	0.5	1.0	0.05	80	0.9626666666666667	50	100
paired	unadjusted	0.4	0.8	0.0	0.7	0.05	80	0.808	80	160
paired	unadjusted	0.4	0.8	0.0	1.0	0.05	80	0.812	80	160
paired	unadjusted	0.4	0.8	0.5	0.7	0.05	80	0.9986666666666667	30	60
paired	unadjusted	0.4	0.8	0.5	1.0	0.05	80	1.0	30	60
paired	unadjusted	0.7	0.0	0.0	0.7	0.05	80	0.8053333333333333	80	160
paired	unadjusted	0.7	0.0	0.0	1.0	0.05	80	0.792	not_reached	not_reached
paired	unadjusted	0.7	0.0	0.5	0.7	0.05	80	0.988	50	100
paired	unadjusted	0.7	0.0	0.5	1.0	0.05	80	0.98	50	100
paired	unadjusted	0.7	0.5	0.0	0.7	0.05	80	0.972	50	100
paired	unadjusted	0.7	0.5	0.0	1.0	0.05	80	0.976	50	100
paired	unadjusted	0.7	0.5	0.5	0.7	0.05	80	1.0	30	60
paired	unadjusted	0.7	0.5	0.5	1.0	0.05	80	0.9973333333333333	30	60
paired	unadjusted	0.7	0.8	0.0	0.7	0.05	80	0.9973333333333333	30	60
paired	unadjusted	0.7	0.8	0.0	1.0	0.05	80	1.0	30	60
paired	unadjusted	0.7	0.8	0.5	0.7	0.05	80	1.0	15	30
paired	unadjusted	0.7	0.8	0.5	1.0	0.05	80	1.0	15	30
paired	unadjusted	1.0	0.0	0.0	0.7	0.05	80	0.9866666666666667	50	100
paired	unadjusted	1.0	0.0	0.0	1.0	0.05	80	0.988	50	100
paired	unadjusted	1.0	0.0	0.5	0.7	0.05	80	1.0	30	60
paired	unadjusted	1.0	0.0	0.5	1.0	0.05	80	1.0	30	60
paired	unadjusted	1.0	0.5	0.0	0.7	0.05	80	1.0	30	60
paired	unadjusted	1.0	0.5	0.0	1.0	0.05	80	1.0	30	60
paired	unadjusted	1.0	0.5	0.5	0.7	0.05	80	1.0	15	30
paired	unadjusted	1.0	0.5	0.5	1.0	0.05	80	1.0	15	30
paired	unadjusted	1.0	0.8	0.0	0.7	0.05	80	1.0	15	30
paired	unadjusted	1.0	0.8	0.0	1.0	0.05	80	1.0	15	30
paired	unadjusted	1.0	0.8	0.5	0.7	0.05	80	1.0	10	20
paired	unadjusted	1.0	0.8	0.5	1.0	0.05	80	1.0	10	20
unpaired	composition_adjusted	0.4	0.0	0.0	0.7	0.05	80	0.396	not_reached	not_reached
unpaired	composition_adjusted	0.4	0.0	0.0	1.0	0.05	80	0.43333333333333335	not_reached	not_reached
unpaired	composition_adjusted	0.4	0.0	0.5	0.7	0.05	80	0.5	not_reached	not_reached
unpaired	composition_adjusted	0.4	0.0	0.5	1.0	0.05	80	0.404	not_reached	not_reached
unpaired	composition_adjusted	0.7	0.0	0.0	0.7	0.05	80	0.8293333333333334	80	320
unpaired	composition_adjusted	0.7	0.0	0.0	1.0	0.05	80	0.8706666666666667	80	320
unpaired	composition_adjusted	0.7	0.0	0.5	0.7	0.05	80	0.916	80	320
unpaired	composition_adjusted	0.7	0.0	0.5	1.0	0.05	80	0.8466666666666667	80	320
unpaired	composition_adjusted	1.0	0.0	0.0	0.7	0.05	80	0.9826666666666667	50	200
unpaired	composition_adjusted	1.0	0.0	0.0	1.0	0.05	80	0.9973333333333333	50	200
unpaired	composition_adjusted	1.0	0.0	0.5	0.7	0.05	80	0.9973333333333333	50	200
unpaired	composition_adjusted	1.0	0.0	0.5	1.0	0.05	80	0.992	50	200
unpaired	unadjusted	0.4	0.0	0.0	0.7	0.05	80	0.3466666666666667	not_reached	not_reached
unpaired	unadjusted	0.4	0.0	0.0	1.0	0.05	80	0.3373333333333333	not_reached	not_reached
unpaired	unadjusted	0.4	0.0	0.5	0.7	0.05	80	0.7413333333333333	not_reached	not_reached
unpaired	unadjusted	0.4	0.0	0.5	1.0	0.05	80	0.7493333333333333	not_reached	not_reached
unpaired	unadjusted	0.7	0.0	0.0	0.7	0.05	80	0.752	not_reached	not_reached
unpaired	unadjusted	0.7	0.0	0.0	1.0	0.05	80	0.756	not_reached	not_reached
unpaired	unadjusted	0.7	0.0	0.5	0.7	0.05	80	0.9786666666666667	50	200
unpaired	unadjusted	0.7	0.0	0.5	1.0	0.05	80	0.9786666666666667	50	200
unpaired	unadjusted	1.0	0.0	0.0	0.7	0.05	80	0.9626666666666667	50	200
unpaired	unadjusted	1.0	0.0	0.0	1.0	0.05	80	0.9613333333333334	50	200
unpaired	unadjusted	1.0	0.0	0.5	0.7	0.05	80	1.0	30	120
unpaired	unadjusted	1.0	0.0	0.5	1.0	0.05	80	1.0	30	120
