seed	design	n_per_outcome_group_per_compartment	n_unique_subjects	n_samples	interaction_effect_sd	paired_residual_correlation	composition_imbalance	composition_reliability	alpha	analysis_route	n_simulated_cohorts	n_valid_fits	valid_fit_rate	conclusive_count	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	median_interaction_estimate	median_interaction_se	maximum_design_condition
54911	paired	10	20	40	0.0	0.0	0.0	1.0	0.05	unadjusted	250	250	1.0	14	0.056	0.03364764921901088	0.0917907207329439	0.00022015221812285782	0.6749207287862178	6.854101966249687
54911	paired	10	20	40	0.0	0.0	0.0	1.0	0.05	composition_adjusted	250	250	1.0	13	0.052	0.030637655164191247	0.08692178118372709	-0.03883746018632167	0.6339784300921676	12.943289145188333
54911	paired	10	20	40	0.0	0.5	0.0	1.0	0.05	unadjusted	250	250	1.0	12	0.048	0.02766820153069461	0.08201230121318728	-0.0006948442617846218	0.5102513842662024	6.854101966249687
54911	paired	10	20	40	0.0	0.5	0.0	1.0	0.05	composition_adjusted	250	250	1.0	11	0.044	0.02474379816749356	0.07705777097235189	-0.04630859023552547	0.4500967908857242	14.947651242459653
54911	paired	10	20	40	0.0	0.8	0.0	1.0	0.05	unadjusted	250	250	1.0	13	0.052	0.030637655164191247	0.08692178118372709	-0.05145329853819383	0.38021556990411	6.854101966249687
54911	paired	10	20	40	0.0	0.8	0.0	1.0	0.05	composition_adjusted	250	250	1.0	14	0.056	0.03364764921901088	0.0917907207329439	-0.02334355055359194	0.28825367404679575	14.387728733717745
54911	unpaired	10	40	40	0.0	0.0	0.0	1.0	0.05	unadjusted	250	250	1.0	10	0.04	0.021869911954542545	0.07205272358126646	-0.04699167387414552	0.7354151929878163	46.97871376374782
54911	unpaired	10	40	40	0.0	0.0	0.0	1.0	0.05	composition_adjusted	250	250	1.0	16	0.064	0.039774745277095874	0.10142149188293179	-0.026942364619210152	0.6491197953612413	97.95981573899681
54911	paired	10	20	40	0.0	0.0	0.0	0.7	0.05	unadjusted	250	250	1.0	19	0.076	0.04919164066173632	0.11564139731040066	-0.00111553731883373	0.6749098867579131	6.854101966249687
54911	paired	10	20	40	0.0	0.0	0.0	0.7	0.05	composition_adjusted	250	250	1.0	17	0.068	0.04288591857836033	0.10618925218570377	0.021319722069825867	0.6605521524845859	16.778674823863195
54911	paired	10	20	40	0.0	0.5	0.0	0.7	0.05	unadjusted	250	250	1.0	16	0.064	0.039774745277095874	0.10142149188293179	0.03651298479572802	0.5124732315591884	6.854101966249687
