label	n_cells	median	maximum	maximum_count	maximum_total	maximum_ci_low	maximum_ci_high	binomial_reference_probability_maximum_at_least_observed
adjusted_perfect_composition	48	0.048	0.06533333333333333	49	750	0.04976959333295865	0.08532706078316597	0.8335892834026059
adjusted_noisy_composition_without_imbalance	24	0.04933333333333333	0.06133333333333333	46	750	0.046295245145196444	0.08084217572659802	0.9036762957019477
adjusted_noisy_composition_with_imbalance	24	0.07200000000000001	0.22266666666666668	167	750	0.19434747845753841	0.25381234993557183	0.0
unadjusted_with_composition_imbalance	48	0.13533333333333333	0.5826666666666667	437	750	0.5470415083752785	0.6174493120075445	0.0
