design	interaction_effect_sd	n_calibrated_scenarios	n_reaching_80pct	smallest_group_n_reaching_80pct	minimum_power_at_group_n_80	maximum_power_at_group_n_80
paired	0.4	9	3	50	0.4093333333333333	0.98
paired	0.7	9	9	15	0.8426666666666667	1.0
paired	1.0	9	9	10	0.984	1.0
unpaired	0.4	3	0	not_reached	0.396	0.43333333333333335
unpaired	0.7	3	3	80	0.8293333333333334	0.8706666666666667
unpaired	1.0	3	3	50	0.9826666666666667	0.9973333333333333
