module	omitted_accession	estimate_rapid_minus_slow	same_sign_as_full
receptor_cd44_cxcr4	GSM7884843	-0.7258857055433893	True
receptor_cd44_cxcr4	GSM7884844	-0.653631179957346	True
receptor_cd44_cxcr4	GSM7884845	-0.5581989439490305	True
receptor_cd44_cxcr4	GSM7884846	-0.47332450748757976	True
receptor_cd44_cxcr4	GSM7884847	-0.5002801380661013	True
receptor_cd44_cxcr4	GSM7884848	-0.5300838572390796	True
receptor_cd44_cxcr4	GSM7884849	-0.682711183098196	True
receptor_cd44_cxcr4	GSM7884850	-0.6922883790129237	True
receptor_cd44_cxcr4	GSM7884851	-0.5846225464226271	True
receptor_cd44_cxcr4	GSM7884852	-0.6251582994882929	True
receptor_cd44_cxcr4	GSM7884833	-0.6654261543222801	True
receptor_cd44_cxcr4	GSM7884834	-0.42567137063432525	True
receptor_cd44_cxcr4	GSM7884835	-0.5530615574801849	True
receptor_cd44_cxcr4	GSM7884836	-0.6358351077293104	True
receptor_cd44_cxcr4	GSM7884837	-0.6339298987325779	True
receptor_cd44_cxcr4	GSM7884838	-0.7312725535083615	True
receptor_cd44_cxcr4	GSM7884839	-0.5219740093444182	True
receptor_cd44_cxcr4	GSM7884840	-0.6211024711482391	True
receptor_cd44_cxcr4	GSM7884841	-0.5562750495443763	True
receptor_cd44_cxcr4	GSM7884842	-0.6816365678204926	True
hla_regulatory	GSM7884843	0.16985538932284097	True
hla_regulatory	GSM7884844	0.30788649648639854	True
hla_regulatory	GSM7884845	0.5330554900733296	True
hla_regulatory	GSM7884846	0.1876029600154958	True
hla_regulatory	GSM7884847	0.20119568982186548	True
hla_regulatory	GSM7884848	0.24721956353893432	True
hla_regulatory	GSM7884849	0.17358304239735045	True
hla_regulatory	GSM7884850	0.17095303287771607	True
hla_regulatory	GSM7884851	0.16586610893928203	True
hla_regulatory	GSM7884852	0.27031650659242135	True
hla_regulatory	GSM7884833	0.3384423755536442	True
hla_regulatory	GSM7884834	0.21933717085851806	True
hla_regulatory	GSM7884835	0.10838022183850421	True
hla_regulatory	GSM7884836	0.3531368607792074	True
hla_regulatory	GSM7884837	0.33376913418504617	True
hla_regulatory	GSM7884838	0.30752334844829987	True
