module	required_genes	present_genes	variable_genes	present_symbols	missing_symbols
receptor_cd44_cxcr4	2	2	2	CD44;CXCR4	
hla_regulatory	2	2	2	CIITA;RFX5	
ifn_apc_unique	4	4	4	STAT1;IRF1;CXCL10;GBP1	
mif_ligand	1	1	1	MIF	
lysosomal_unique	6	6	6	CTSS;CTSB;CTSD;LAMP1;LAMP2;LAMP3	
oxphos	13	13	13	NDUFA1;NDUFA2;NDUFA9;NDUFB8;SDHA;SDHB;UQCRC1;UQCRC2;COX4I1;COX5A;ATP5F1A;ATP5F1B;ATP5MC1	
lipid_repair	8	8	8	APOE;LPL;TREM2;ABCA1;ABCG1;SPP1;LGALS3;GPNMB	
resolution_efferocytosis_proxy	28	28	28	MERTK;AXL;TYRO3;GAS6;PROS1;TREM2;APOE;LPL;ABCA1;ABCG1;NR1H3;NR1H2;PPARD;PPARG;MRC1;CD163;IL10;TGFB1;VSIG4;C1QA;C1QB;C1QC;F13A1;LYVE1;ANXA1;FPR2;CD36;MARCO	
mocci_inflammatory_switch	2	2	2	C15ORF48;NDUFA4	
