geo_accession	progression_group	raw_median_intensity	raw_intensity_iqr	normalized_median	normalized_iqr	pca1	pca2
GSM7884833	slow	110	205	5.53718859567574	3.32191073447817	-28.0219517202342	-25.837256286806
GSM7884834	slow	104	188	5.53470987801502	3.09277428081262	57.4406570145157	-52.9767910443467
GSM7884835	slow	66	101	5.54564777700134	2.9589917760038	44.419412119592	15.7718303902603
GSM7884836	slow	85	141	5.67045624874858	3.09505521336919	-20.9382470880533	11.7161521954685
GSM7884837	slow	75	115	5.68417398878713	3.22604554030444	-27.9619076349342	9.40793214938982
GSM7884838	slow	68	100	5.63978877248337	3.16598218047232	-22.8412992710679	4.78787920339475
GSM7884839	slow	90	154	5.57800882052849	3.1697089492572	6.23853337508656	-31.4484233936867
GSM7884840	slow	58	69	5.50433180468533	2.91797962935884	43.1518915703152	16.7526402094979
GSM7884841	slow	63	89	5.55904115527012	3.0193161144828	42.2692077725395	0.0516404299117428
GSM7884842	slow	63	92	5.6160651742406	3.09755951570052	-17.5932554340954	12.453904299111
GSM7884843	rapid	98	172	5.53882513311445	3.21039499534514	0.650883897599158	-47.5873154851102
GSM7884844	rapid	68	98	5.7332884105501	2.95421375150052	9.27861075223272	9.44969732894233
GSM7884845	rapid	59	69	5.4780638702437	2.71899995078548	87.5060097765258	34.0424120651385
GSM7884846	rapid	75	121	5.6116018808673	3.15343990866693	-32.6124671872931	8.55732493038109
GSM7884847	rapid	81	138	5.68700069427454	3.11161231310827	-33.8882674774016	15.0673687333357
GSM7884848	rapid	50	54	5.64646003534215	3.04977543005259	-24.4526317110374	29.5065014484389
GSM7884849	rapid	57	79	5.6723309489358	3.12889347241845	-18.2807160531725	3.6309551063274
GSM7884850	rapid	58	79	5.71678930819318	3.13075737850941	-21.1712170471579	8.87500504860613
GSM7884851	rapid	78	125	5.58944491407403	3.27476440269781	-33.2771731639362	-18.6582093827445
GSM7884852	rapid	62	85	5.56747965191656	3.09735669748863	-9.91607249002294	-3.56324794551002
