compartment	raw_auc	strongest_attenuator	min_residualized_auc	min_residualized_p	attenuation
b_plasma_like	1.0	delta_stat1_axis	0.625	0.6857142857142857	0.375
epithelial_like	1.0	delta_t_cell_composition	0.625	0.6857142857142857	0.375
myeloid_apc_like	1.0	delta_stat1_axis	0.6875	0.4857142857142857	0.3125
stromal_endothelial_like	0.875	delta_t_cell_composition	0.5625	0.8857142857142857	0.3125
t_cell_like	1.0	delta_t_cell_composition	0.75	0.34285714285714286	0.25
