compartment	confounder	n	raw_treated_ifn_auc	raw_exact_p	confounder_auc	confounder_exact_p	spearman_treated_ifn_confounder	residualized_auc	residualized_exact_p	auc_attenuation
b_plasma_like	delta_stat1_axis	8	1.0	0.02857142857142857	0.9375	0.05714285714285714	0.9047619047619048	0.625	0.6857142857142857	0.375
b_plasma_like	delta_b_cell_composition	8	1.0	0.02857142857142857	0.8125	0.2	0.5476190476190477	0.6875	0.4857142857142857	0.3125
b_plasma_like	delta_glycolysis	8	1.0	0.02857142857142857	0.9375	0.05714285714285714	0.880952380952381	0.75	0.34285714285714286	0.25
b_plasma_like	delta_t_cell_composition	8	1.0	0.02857142857142857	0.875	0.11428571428571428	0.8095238095238096	0.75	0.34285714285714286	0.25
b_plasma_like	delta_monocyte_myeloid_composition	8	1.0	0.02857142857142857	0.8125	0.2	0.6904761904761906	0.75	0.34285714285714286	0.25
b_plasma_like	delta_ifn_suppression_inverse_isg	8	1.0	0.02857142857142857	0.875	0.11428571428571428	0.7142857142857144	0.8125	0.2	0.1875
b_plasma_like	delta_general_inflammatory_tone	8	1.0	0.02857142857142857	0.75	0.34285714285714286	0.7142857142857144	0.875	0.11428571428571428	0.125
b_plasma_like	baseline_glucocorticoid_response	8	1.0	0.02857142857142857	0.5	1.0	-0.30952380952380953	0.9375	0.05714285714285714	0.0625
b_plasma_like	delta_glucocorticoid_response	8	1.0	0.02857142857142857	0.5625	0.8857142857142857	0.4761904761904762	0.9375	0.05714285714285714	0.0625
epithelial_like	delta_t_cell_composition	8	1.0	0.02857142857142857	0.875	0.11428571428571428	0.880952380952381	0.625	0.6857142857142857	0.375
epithelial_like	delta_stat1_axis	8	1.0	0.02857142857142857	0.9375	0.05714285714285714	0.9047619047619048	0.75	0.34285714285714286	0.25
epithelial_like	delta_ifn_suppression_inverse_isg	8	1.0	0.02857142857142857	0.875	0.11428571428571428	0.7619047619047621	0.8125	0.2	0.1875
epithelial_like	delta_monocyte_myeloid_composition	8	1.0	0.02857142857142857	0.8125	0.2	0.6428571428571429	0.875	0.11428571428571428	0.125
epithelial_like	delta_glycolysis	8	1.0	0.02857142857142857	0.9375	0.05714285714285714	0.8333333333333335	0.9375	0.05714285714285714	0.0625
epithelial_like	baseline_glucocorticoid_response	8	1.0	0.02857142857142857	0.5	1.0	-0.30952380952380953	1.0	0.02857142857142857	0.0
epithelial_like	delta_glucocorticoid_response	8	1.0	0.02857142857142857	0.5625	0.8857142857142857	0.04761904761904763	1.0	0.02857142857142857	0.0
epithelial_like	delta_general_inflammatory_tone	8	1.0	0.02857142857142857	0.75	0.34285714285714286	0.4523809523809524	1.0	0.02857142857142857	0.0
epithelial_like	delta_b_cell_composition	8	1.0	0.02857142857142857	0.8125	0.2	0.5714285714285715	1.0	0.02857142857142857	0.0
myeloid_apc_like	delta_stat1_axis	8	1.0	0.02857142857142857	0.9375	0.05714285714285714	0.6666666666666669	0.6875	0.4857142857142857	0.3125
myeloid_apc_like	delta_t_cell_composition	8	1.0	0.02857142857142857	0.875	0.11428571428571428	0.5714285714285715	0.75	0.34285714285714286	0.25
myeloid_apc_like	delta_ifn_suppression_inverse_isg	8	1.0	0.02857142857142857	0.875	0.11428571428571428	0.7857142857142858	0.8125	0.2	0.1875
