analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	ISG15	6	6	8.017975971321006	6.772836193244573	1.2451397780764326	1.356694193119528	2.5456852122180753	0.0440315786913965	0.2927563489682457	0.2209911591839181	1.0	7.39540608228279	False	0.3754639071329826	True	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	GBP1	6	6	9.063157601967951	5.450303084550911	3.612854517417042	2.657242371735891	4.9860186955273385	0.0006250417331147	0.4098661660076627	0.0959761177034639	1.0	7.256730343259432	False	0.084811487980697	True	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CTSS	6	6	10.247151306673128	9.933626712730046	0.3135245939430824	0.4552665050679088	0.8542567775754262	0.4178652971211188	0.5970404094367628	0.4458944463707814	1.0	10.090389009701587	True	0.7516197416428259	False	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	IL1B	6	6	11.893790760482997	8.154449294301115	3.73934146618188	2.0483955880206146	3.843585668489266	0.0057223701599152	0.4184755376508823	0.1870509762247222	1.0	10.024120027392057	False	0.1913297735764958	True	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	STAT1	6	6	8.511113413727147	6.7777756834730924	1.7333377302540542	1.744112705457404	3.272632804976855	0.0097357722106755	0.4504636014473933	0.2075961884214311	1.0	7.64444454860012	False	0.226244220983193	True	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CYP27A1	6	6	2.3025976646246575	2.7090372670364946	-0.4064396024118371	-0.1845431840917823	-0.3462746852906288	0.736354996756391	0.0095496851219686	0.0317774845464974	0.75	2.505817465830576	False	0.9250326337221634	False	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LAMP3	6	6	5.968976384788376	1.6994299898734038	4.269546394914972	4.39382051430896	8.244513734298328	9.163003006588268e-06	0.0790766277045244	0.0099172424273556	0.9166666666666666	3.8342031873308895	True	0.0375749913557798	True	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CXCL8	6	6	11.844090632767236	9.260889680598828	2.583200952168408	1.3144741825446506	2.4664640751886435	0.0358659188786701	0.4183560130243857	0.1858697839078098	1.0	10.552490156683032	False	0.3520539331127084	True	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CXCL10	6	6	7.760615215751186	5.219338278106487	2.5412769376446995	0.9498639889568078	1.7823137465826702	0.1054045093480592	0.119121149146086	0.0309825655810688	1.0	6.489976746928836	False	0.4905539202958628	False	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	IRF1	6	6	8.89182716971107	7.422988714372336	1.4688384553387328	2.022326524039029	3.7946699798905734	0.0040339212126499	0.483407836625155	0.3146721428143353	1.0	8.157407942041706	False	0.1658178907882238	True	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD74	6	6	12.508086318078345	13.043692811702122	-0.5356064936237797	-0.960839650865906	-1.8029083509953647	0.1082685093556653	0.6203828584502442	0.5498118664492045	1.0	12.775889564890234	False	0.4935290349416746	False	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD83	6	6	9.698419126832436	9.618130584441198	0.0802885423912389	0.0942085633959369	0.1767718531689894	0.8645608658230367	0.452666584198916	0.5432667890960771	1.0	9.658274855636815	False	0.9688203485516572	False	False	False	False
