analysis	disease_name	compartment	role	target_module	target_effect	max_specificity_comparator_effect	specificity_margin	specificity_pass
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	lymphoid_trafficking_response	1.2113059650733597	1.7999128952124595	-0.5886069301390997	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	myeloid_apc_migration_response	0.590984888312716	1.7999128952124595	-1.2089280068997434	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	gpr183_receptor_anchor	0.174490272584245	1.350941963184538	-1.176451690600293	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	lymphoid_trafficking_response	0.5281550697259652	1.350941963184538	-0.8227868934585729	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	myeloid_apc_migration_response	0.20483483644838377	1.350941963184538	-1.1461071267361542	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	gpr183_receptor_anchor	0.6952280183326858	1.5141346071056394	-0.8189065887729536	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	lymphoid_trafficking_response	0.47134163268480284	1.5141346071056394	-1.0427929744208366	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	myeloid_apc_migration_response	0.996654254620986	1.5141346071056394	-0.5174803524846534	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	gpr183_receptor_anchor	1.0447685424676991	1.4706295036643893	-0.42586096119669015	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	lymphoid_trafficking_response	1.666758428928695	1.4706295036643893	0.1961289252643057	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	myeloid_apc_migration_response	1.5212865357101109	1.4706295036643893	0.050657032045721584	False
