dataset	timepoint	covariate	n	spearman_rho	p	Treatment	cell_state
GSE198520_RA_synovium_antiTNF	post	generic_nfkb_score	46	-0.09515880357693493	0.5293053693312441		
GSE198520_RA_synovium_antiTNF	post	t_synapse_score	46	-0.44545174221399936	0.00192052848680112		
GSE198520_RA_synovium_antiTNF	post	apc_hla_score	46	0.35997533148319455	0.013999410999398313		
GSE198520_RA_synovium_antiTNF	post	myeloid_score	46	0.3444341658957755	0.019078005491788064		
GSE198520_RA_synovium_antiTNF	post	b_cell_score	46	-0.25402405180388526	0.0884689582281703		
GSE198520_RA_synovium_antiTNF	post	stromal_injury_score	46	0.4794942954054887	0.0007471448957940717		
GSE198520_RA_synovium_antiTNF	pre	generic_nfkb_score	46	0.2657415972864631	0.07426232091998558		
GSE198520_RA_synovium_antiTNF	pre	t_synapse_score	46	-0.186308973172988	0.21507807852530172		
GSE198520_RA_synovium_antiTNF	pre	apc_hla_score	46	0.503422756706753	0.0003621100355368402		
GSE198520_RA_synovium_antiTNF	pre	myeloid_score	46	0.6571076164045637	7.040856962768945e-07		
GSE198520_RA_synovium_antiTNF	pre	b_cell_score	46	0.17434474252235585	0.24652842193831545		
GSE198520_RA_synovium_antiTNF	pre	stromal_injury_score	46	0.6541473943879124	8.212180020246335e-07		
GSE282122_IBD_myeloid_antiTNF		generic_nfkb_score	55	-0.09480519480519482	0.4911391875486112	Post	DC
GSE282122_IBD_myeloid_antiTNF		t_synapse_score	55	0.34105339105339116	0.010830359630583989	Post	DC
GSE282122_IBD_myeloid_antiTNF		apc_hla_score	55	-0.258946608946609	0.056263244566990576	Post	DC
GSE282122_IBD_myeloid_antiTNF		myeloid_score	55	-0.04430014430014431	0.7480965523173261	Post	DC
GSE282122_IBD_myeloid_antiTNF		b_cell_score	55	-0.0012265512265512266	0.9929089638985783	Post	DC
GSE282122_IBD_myeloid_antiTNF		stromal_injury_score	55	0.27316017316017327	0.043608574920963046	Post	DC
GSE282122_IBD_myeloid_antiTNF		generic_nfkb_score	55	0.32309385095174803	0.016127820601864396	Post	Mono_macro
GSE282122_IBD_myeloid_antiTNF		t_synapse_score	55	-0.009596132687937135	0.9445647557376377	Post	Mono_macro
GSE282122_IBD_myeloid_antiTNF		apc_hla_score	55	-0.08492216671956396	0.5375981938663777	Post	Mono_macro
GSE282122_IBD_myeloid_antiTNF		myeloid_score	55	-0.34412597635425685	0.010094197659048718	Post	Mono_macro
GSE282122_IBD_myeloid_antiTNF		b_cell_score	55	-0.011941052329726283	0.9310481335761612	Post	Mono_macro
GSE282122_IBD_myeloid_antiTNF		stromal_injury_score	55	0.2435469615649007	0.07316610195088281	Post	Mono_macro
GSE282122_IBD_myeloid_antiTNF		generic_nfkb_score	55	0.007575757575757578	0.9562232211714958	Pre	DC
GSE282122_IBD_myeloid_antiTNF		t_synapse_score	55	0.08715728715728717	0.5269066647709509	Pre	DC
GSE282122_IBD_myeloid_antiTNF		apc_hla_score	55	0.015800865800865805	0.9088431081381179	Pre	DC
GSE282122_IBD_myeloid_antiTNF		myeloid_score	55	-0.07337662337662339	0.5944523861769778	Pre	DC
GSE282122_IBD_myeloid_antiTNF		b_cell_score	55	-0.23059163059163065	0.09031397255808628	Pre	DC
GSE282122_IBD_myeloid_antiTNF		stromal_injury_score	55	0.2716450216450217	0.04483500372326373	Pre	DC
GSE282122_IBD_myeloid_antiTNF		generic_nfkb_score	55	0.36919191919191924	0.005539795674762368	Pre	Mono_macro
GSE282122_IBD_myeloid_antiTNF		t_synapse_score	55	-0.14588744588744593	0.2878825106965226	Pre	Mono_macro
GSE282122_IBD_myeloid_antiTNF		apc_hla_score	55	-0.26248196248196254	0.05286751219502382	Pre	Mono_macro
GSE282122_IBD_myeloid_antiTNF		myeloid_score	55	0.04747474747474749	0.7307038550750835	Pre	Mono_macro
GSE282122_IBD_myeloid_antiTNF		b_cell_score	55	-0.3400432900432901	0.011082283309305361	Pre	Mono_macro
GSE282122_IBD_myeloid_antiTNF		stromal_injury_score	55	0.45606060606060617	0.0004665266565530008	Pre	Mono_macro
