NBB_case	pathology	n_nuclei	complement_phagocytosis	lipid_repair	ifn_hla_apc
09_034	MS_periplaque_white_matter	79	0.5063291139240507	1.481012658227848	0.28933092224231466
09_034	chronic_active_MS_lesion_edge	312	0.33413461538461536	1.4302884615384615	0.26144688644688646
09_034	chronic_inactive_MS_lesion_edge	290	0.33405172413793105	0.555603448275862	0.3847290640394089
09_067	MS_lesion_core	285	0.3671052631578947	0.3960526315789474	0.5834586466165413
09_067	MS_periplaque_white_matter	175	0.45714285714285713	1.4157142857142857	0.17551020408163265
09_067	chronic_active_MS_lesion_edge	12	0.16666666666666666	0.65625	0.09523809523809523
11_69	control_white_matter	10	0.125	0.325	0.08571428571428572
12_002	control_white_matter	142	0.840669014084507	2.267605633802817	1.2303822937625755
12_078	MS_periplaque_white_matter	368	0.1640625	1.125679347826087	0.33346273291925466
12_078	chronic_active_MS_lesion_edge	742	0.1610512129380054	1.3800539083557952	0.2678090103966114
12_078	chronic_inactive_MS_lesion_edge	84	0.15922619047619047	1.0907738095238095	0.35714285714285715
13_015	MS_periplaque_white_matter	150	0.625	1.1666666666666667	0.5571428571428572
13_015	chronic_inactive_MS_lesion_edge	345	0.3471014492753623	0.5032608695652174	0.4625258799171842
13_047	MS_lesion_core	366	0.3951502732240437	0.5256147540983607	0.29078844652615143
13_047	chronic_active_MS_lesion_edge	1807	0.6386967349197565	1.8693967902600996	0.5658945371175587
13_047	chronic_inactive_MS_lesion_edge	128	0.5078125	1.783203125	0.31026785714285715
14_043	control_white_matter	137	0.25547445255474455	0.36222627737226276	0.14807090719499477
