matrix	check	status
cell_state_module_matrix	file_exists	PASS
cell_state_module_matrix	row_count_matches	PASS
cell_state_module_matrix	columns_match	PASS
cell_state_module_matrix	content_hash_matches	PASS
cell_state_module_matrix	label_column_present	PASS
cell_state_module_matrix	labels_nonempty	PASS
cell_state_module_matrix	row_key_columns_present	PASS
cell_state_module_matrix	row_keys_nonempty	PASS
cell_state_module_matrix	row_keys_unique	PASS
cell_state_module_matrix	capabilities_present	PASS
cell_state_module_matrix	allowed_uses_present	PASS
cell_state_module_matrix	prohibited_inferences_present	PASS
cross_disease_summary_module_matrix	file_exists	PASS
cross_disease_summary_module_matrix	row_count_matches	PASS
cross_disease_summary_module_matrix	columns_match	PASS
cross_disease_summary_module_matrix	content_hash_matches	PASS
cross_disease_summary_module_matrix	label_column_present	PASS
cross_disease_summary_module_matrix	labels_nonempty	PASS
cross_disease_summary_module_matrix	row_key_columns_present	PASS
cross_disease_summary_module_matrix	row_keys_nonempty	PASS
cross_disease_summary_module_matrix	row_keys_unique	PASS
cross_disease_summary_module_matrix	capabilities_present	PASS
cross_disease_summary_module_matrix	allowed_uses_present	PASS
cross_disease_summary_module_matrix	prohibited_inferences_present	PASS
perturbation_module_matrix	file_exists	PASS
perturbation_module_matrix	row_count_matches	PASS
perturbation_module_matrix	columns_match	PASS
perturbation_module_matrix	content_hash_matches	PASS
perturbation_module_matrix	label_column_present	PASS
perturbation_module_matrix	labels_nonempty	PASS
perturbation_module_matrix	row_key_columns_present	PASS
perturbation_module_matrix	row_keys_nonempty	PASS
perturbation_module_matrix	row_keys_unique	PASS
perturbation_module_matrix	capabilities_present	PASS
perturbation_module_matrix	allowed_uses_present	PASS
perturbation_module_matrix	prohibited_inferences_present	PASS
treatment_pharmacodynamic_module_matrix	file_exists	PASS
treatment_pharmacodynamic_module_matrix	row_count_matches	PASS
treatment_pharmacodynamic_module_matrix	columns_match	PASS
treatment_pharmacodynamic_module_matrix	content_hash_matches	PASS
treatment_pharmacodynamic_module_matrix	label_column_present	PASS
treatment_pharmacodynamic_module_matrix	labels_nonempty	PASS
treatment_pharmacodynamic_module_matrix	row_key_columns_present	PASS
treatment_pharmacodynamic_module_matrix	row_keys_nonempty	PASS
treatment_pharmacodynamic_module_matrix	row_keys_unique	PASS
treatment_pharmacodynamic_module_matrix	capabilities_present	PASS
treatment_pharmacodynamic_module_matrix	allowed_uses_present	PASS
treatment_pharmacodynamic_module_matrix	prohibited_inferences_present	PASS
treatment_response_module_matrix	file_exists	PASS
treatment_response_module_matrix	row_count_matches	PASS
treatment_response_module_matrix	columns_match	PASS
treatment_response_module_matrix	content_hash_matches	PASS
treatment_response_module_matrix	label_column_present	PASS
treatment_response_module_matrix	labels_nonempty	PASS
treatment_response_module_matrix	row_key_columns_present	PASS
treatment_response_module_matrix	row_keys_nonempty	PASS
treatment_response_module_matrix	row_keys_unique	PASS
treatment_response_module_matrix	capabilities_present	PASS
treatment_response_module_matrix	allowed_uses_present	PASS
treatment_response_module_matrix	prohibited_inferences_present	PASS
workstream_b_module_dependencies	file_exists	PASS
workstream_b_module_dependencies	row_count_matches	PASS
workstream_b_module_dependencies	columns_match	PASS
workstream_b_module_dependencies	content_hash_matches	PASS
workstream_b_module_dependencies	label_column_present	PASS
workstream_b_module_dependencies	labels_nonempty	PASS
workstream_b_module_dependencies	row_key_columns_present	PASS
workstream_b_module_dependencies	row_keys_nonempty	PASS
workstream_b_module_dependencies	row_keys_unique	PASS
workstream_b_module_dependencies	capabilities_present	PASS
workstream_b_module_dependencies	allowed_uses_present	PASS
workstream_b_module_dependencies	prohibited_inferences_present	PASS
