gene	wave87	wave122
CD44	{'gene': 'CD44', 'modules': 'mif_cd74_receptor_state', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 3, 'fdr10_nonresponse_contexts': 3, 'weighted_mean_hedges_g_responder_minus_non': -1.3047727761355623, 'median_auc_high_score_nonresponse': 0.7994791666666667, 'min_p': 0.000517497213761, 'best_context': 'GSE16879_Crohn_colitis_Leuven_baseline', 'best_context_p': 0.000517497213761, 'best_context_effect': -1.6218720608535788, 'meta_rank_score': 24.10425194280223, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.7554774253834361, 'hedges_g_responder_minus_non': 1.0944632564181695, 'auc_high_score_response': 0.7834821428571429, 'auc_high_score_nonresponse': 0.2165178571428571, 'p': 0.0017362914664571, 'nonresponse_high_direction': False, 'fdr_ra': 0.0261359588811498, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0706601517954887, 'gse282122_min_raw_fdr': 1.0, 'gse282122_best_cell_state': 'DC', 'gse282122_best_raw_p': 0.0706601517954887, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -0.3887213685516343, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{}
LAMP2	{'gene': 'LAMP2', 'modules': 'lysosomal_apc', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 3, 'responder_high_contexts': 1, 'nominal_nonresponse_contexts_p_lt_0_05': 3, 'fdr10_nonresponse_contexts': 3, 'weighted_mean_hedges_g_responder_minus_non': -1.0678931204417523, 'median_auc_high_score_nonresponse': 0.8350074404761905, 'min_p': 0.0002690595842235, 'best_context': 'GSE12251_UC_ACT1_baseline', 'best_context_p': 0.0002690595842235, 'best_context_effect': -1.4048683498865857, 'meta_rank_score': 18.902900560917946, 'call': 'PARK_DIRECTIONAL_NONRESPONSE_GENE', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.7758963799341309, 'hedges_g_responder_minus_non': 1.0454817579416398, 'auc_high_score_response': 0.7723214285714286, 'auc_high_score_nonresponse': 0.2276785714285714, 'p': 0.0043632159306671, 'nonresponse_high_direction': False, 'fdr_ra': 0.0263830925992527, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.1138888909145505, 'gse282122_min_raw_fdr': 1.0, 'gse282122_best_cell_state': 'DC', 'gse282122_best_raw_p': 0.1138888909145505, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -0.4031798667723646, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'LAMP2', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': -0.5, 'support_channels': 1, 'ms': False, 'broad_cell_state': False, 'response': True, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.1348382785283046, 'ms_p': 0.2874373653306042, 'ms_fdr': 0.9055783835864206, 'broad_positive_disease_count': 0, 'broad_positive_diseases': nan, 'response_contexts': 2, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'NO_GO_LYSOSOMAL_MARKER_AUTOPHAGY_SYSTEMIC_RISK NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
NFKBIA	{'gene': 'NFKBIA', 'modules': 'inflammatory_nfkb', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 1, 'fdr10_nonresponse_contexts': 1, 'weighted_mean_hedges_g_responder_minus_non': -0.6614932551524805, 'median_auc_high_score_nonresponse': 0.66875, 'min_p': 0.0079130200120331, 'best_context': 'GSE12251_UC_ACT1_baseline', 'best_context_p': 0.0079130200120331, 'best_context_effect': -1.1419381442433003, 'meta_rank_score': 16.330243255152478, 'call': 'PARK_DIRECTIONAL_NONRESPONSE_GENE', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.7345529800597882, 'hedges_g_responder_minus_non': 1.0611362114001073, 'auc_high_score_response': 0.7633928571428571, 'auc_high_score_nonresponse': 0.2366071428571429, 'p': 0.0047969259271368, 'nonresponse_high_direction': False, 'fdr_ra': 0.0263830925992527, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.3299123364229473, 'gse282122_min_raw_fdr': 1.0, 'gse282122_best_cell_state': 'DC', 'gse282122_best_raw_p': 0.3299123364229473, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -0.2529713466168071, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'NFKBIA', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': 0.0, 'support_channels': 1, 'ms': False, 'broad_cell_state': False, 'response': False, 'genetics': True, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.2903271300158536, 'ms_p': 0.3094393661733699, 'ms_fdr': 0.9088031205133466, 'broad_positive_disease_count': 0, 'broad_positive_diseases': nan, 'response_contexts': 1, 'strong_l2g_disease_count': 1, 'strong_qtl_coloc_disease_count': 1, 'wave55_genetic_disease_count': 3, 'blocker_flag': True, 'blocker_text': 'NO_GO_GENERIC_NFKB_FEEDBACK_AXIS NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION'}
STAT1	{'gene': 'STAT1', 'modules': 'ifn_apc', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 2, 'fdr10_nonresponse_contexts': 1, 'weighted_mean_hedges_g_responder_minus_non': -0.6551686375677531, 'median_auc_high_score_nonresponse': 0.64453125, 'min_p': 0.0348639091691701, 'best_context': 'GSE14580_UC_Leuven_baseline', 'best_context_p': 0.0348639091691701, 'best_context_effect': -0.9198802796023724, 'meta_rank_score': 18.299699887567755, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.5443056500454782, 'hedges_g_responder_minus_non': 0.7345488854784136, 'auc_high_score_response': 0.7098214285714286, 'auc_high_score_nonresponse': 0.2901785714285714, 'p': 0.0112457102824139, 'nonresponse_high_direction': False, 'fdr_ra': 0.0417457927972421, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0085258434246952, 'gse282122_min_raw_fdr': 0.7116587995678715, 'gse282122_best_cell_state': 'Mono_macro', 'gse282122_best_raw_p': 0.0085258434246952, 'gse282122_best_raw_fdr': 0.7116587995678715, 'gse282122_best_raw_delta_remission_minus_non': -1.532275862776634, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'STAT1', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': 0.1, 'support_channels': 1, 'ms': False, 'broad_cell_state': True, 'response': False, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.5378996098681981, 'ms_p': 0.1363451431707629, 'ms_fdr': 0.8989378106274888, 'broad_positive_disease_count': 3, 'broad_positive_diseases': 'Crohn disease;psoriasis;ulcerative colitis', 'response_contexts': 1, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'NO_GO_GENERIC_IFN_TRANSCRIPTION_AXIS NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED JAK/IFN broad immunosuppression/prior art NO_GO_WAVE62_TARGET_RESOLUTION'}
CCL2	{'gene': 'CCL2', 'modules': 'inflammatory_nfkb', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 3, 'fdr10_nonresponse_contexts': 2, 'weighted_mean_hedges_g_responder_minus_non': -1.4102593044201093, 'median_auc_high_score_nonresponse': 0.825, 'min_p': 0.0001606271969653, 'best_context': 'GSE16879_Crohn_colitis_Leuven_baseline', 'best_context_p': 0.0001606271969653, 'best_context_effect': -1.6562136579545157, 'meta_rank_score': 22.735259304420108, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.8437063008322958, 'hedges_g_responder_minus_non': 0.9691896011669344, 'auc_high_score_response': 0.7276785714285714, 'auc_high_score_nonresponse': 0.2723214285714286, 'p': 0.0113852162174296, 'nonresponse_high_direction': False, 'fdr_ra': 0.0417457927972421, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.6764265896798521, 'gse282122_min_raw_fdr': 1.0, 'gse282122_best_cell_state': 'Mono_macro', 'gse282122_best_raw_p': 0.6764265896798521, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -0.3765663302624795, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'CCL2', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': 3.2, 'support_channels': 3, 'ms': False, 'broad_cell_state': True, 'response': True, 'genetics': True, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.0490525604706171, 'ms_p': 0.90646856397048, 'ms_fdr': 0.9859682246933096, 'broad_positive_disease_count': 1, 'broad_positive_diseases': 'type 1 diabetes mellitus', 'response_contexts': 2, 'strong_l2g_disease_count': 2, 'strong_qtl_coloc_disease_count': 4, 'wave55_genetic_disease_count': 5, 'blocker_flag': True, 'blocker_text': 'NO_GO_BROAD_CHEMOKINE_REDUNDANCY_AND_PRIOR_ART NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
TREM1	{'gene': 'TREM1', 'modules': 'inflammatory_nfkb', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 3, 'fdr10_nonresponse_contexts': 3, 'weighted_mean_hedges_g_responder_minus_non': -1.6287105832711166, 'median_auc_high_score_nonresponse': 0.8826264880952381, 'min_p': 3.486426152596833e-05, 'best_context': 'GSE12251_UC_ACT1_baseline', 'best_context_p': 3.486426152596833e-05, 'best_context_effect': -1.541134024247048, 'meta_rank_score': 24.511337071366352, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.4831979474209772, 'hedges_g_responder_minus_non': 0.7035904905500889, 'auc_high_score_response': 0.6696428571428571, 'auc_high_score_nonresponse': 0.3303571428571429, 'p': 0.0371252651170039, 'nonresponse_high_direction': False, 'fdr_ra': 0.0994664460131101, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0179751719061446, 'gse282122_min_raw_fdr': 0.7761417814158196, 'gse282122_best_cell_state': 'Mono_macro', 'gse282122_best_raw_p': 0.0179751719061446, 'gse282122_best_raw_fdr': 0.7761417814158196, 'gse282122_best_raw_delta_remission_minus_non': -0.9046037899715124, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'TREM1', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': -0.1, 'support_channels': 1, 'ms': False, 'broad_cell_state': False, 'response': True, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.1491506549885279, 'ms_p': 0.7752316091249384, 'ms_fdr': 0.973344149072204, 'broad_positive_disease_count': 2, 'broad_positive_diseases': 'Crohn disease;ulcerative colitis', 'response_contexts': 2, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'PARK_RECEPTOR_ROUTE_BUT_NO_LOCAL_MS_OR_GENETIC_ANCHOR NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
CTSB	{'gene': 'CTSB', 'modules': 'lysosomal_apc', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 1, 'fdr10_nonresponse_contexts': 1, 'weighted_mean_hedges_g_responder_minus_non': -0.7231919653792506, 'median_auc_high_score_nonresponse': 0.6583333333333333, 'min_p': 0.008665911503524, 'best_context': 'GSE16879_Crohn_colitis_Leuven_baseline', 'best_context_p': 0.008665911503524, 'best_context_effect': -1.2363795666700663, 'meta_rank_score': 16.381525298712585, 'call': 'PARK_DIRECTIONAL_NONRESPONSE_GENE', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.5670242535562842, 'hedges_g_responder_minus_non': 0.7488564307109002, 'auc_high_score_response': 0.6852678571428571, 'auc_high_score_nonresponse': 0.3147321428571429, 'p': 0.0391046978330991, 'nonresponse_high_direction': False, 'fdr_ra': 0.0994664460131101, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0102044497783238, 'gse282122_min_raw_fdr': 0.7417124806231342, 'gse282122_best_cell_state': 'DC', 'gse282122_best_raw_p': 0.0102044497783238, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -0.8140858868199328, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'CTSB', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': 3.4000000000000004, 'support_channels': 3, 'ms': False, 'broad_cell_state': False, 'response': True, 'genetics': True, 'perturbation_or_model': True, 'modality': False, 'ms_delta_log2': -0.0599954640789519, 'ms_p': 0.8140537383462653, 'ms_fdr': 0.9761732664217524, 'broad_positive_disease_count': 2, 'broad_positive_diseases': 'psoriasis;ulcerative colitis', 'response_contexts': 2, 'strong_l2g_disease_count': 1, 'strong_qtl_coloc_disease_count': 1, 'wave55_genetic_disease_count': 1, 'blocker_flag': True, 'blocker_text': 'NO_GO_BROAD_CATHEPSIN_HOST_DEFENSE_AND_PROTEASE_SELECTIVITY NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR NO_REOPEN_INSUFFICIENT_CONVERGENCE cathepsin/lysosomal protease route prior audited and nonspecific NO_GO_WAVE62_TARGET_RESOLUTION'}
CTSS	{'gene': 'CTSS', 'modules': 'lysosomal_apc', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 3, 'responder_high_contexts': 1, 'nominal_nonresponse_contexts_p_lt_0_05': 1, 'fdr10_nonresponse_contexts': 1, 'weighted_mean_hedges_g_responder_minus_non': -0.3122179821290525, 'median_auc_high_score_nonresponse': 0.5363095238095239, 'min_p': 0.0070185963236003, 'best_context': 'GSE12251_UC_ACT1_baseline', 'best_context_p': 0.0070185963236003, 'best_context_effect': -1.0877524921276471, 'meta_rank_score': 10.848527505938575, 'call': 'PARK_DIRECTIONAL_NONRESPONSE_GENE', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.4552035096590174, 'hedges_g_responder_minus_non': 0.6768794428854569, 'auc_high_score_response': 0.6897321428571429, 'auc_high_score_nonresponse': 0.3102678571428571, 'p': 0.056070946553534, 'nonresponse_high_direction': False, 'fdr_ra': 0.1233560824177748, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0002883660558297, 'gse282122_min_raw_fdr': 0.4604516784712918, 'gse282122_best_cell_state': 'Mono_macro', 'gse282122_best_raw_p': 0.0002883660558297, 'gse282122_best_raw_fdr': 0.4604516784712918, 'gse282122_best_raw_delta_remission_minus_non': -0.6599339412520674, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'CTSS', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': 1.2000000000000002, 'support_channels': 2, 'ms': False, 'broad_cell_state': False, 'response': True, 'genetics': False, 'perturbation_or_model': True, 'modality': False, 'ms_delta_log2': 0.189873422640673, 'ms_p': 0.1407159118865243, 'ms_fdr': 0.8989378106274888, 'broad_positive_disease_count': 1, 'broad_positive_diseases': 'type 1 diabetes mellitus', 'response_contexts': 2, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'NO_GO_CATHEPSIN_S_PRIOR_AUDITED_HOST_DEFENSE_AND_PRIOR_ART NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR NO_REOPEN_INSUFFICIENT_CONVERGENCE cathepsin/antigen-processing route prior audited and host-defense risk '}
CXCR4	{'gene': 'CXCR4', 'modules': 'mif_cd74_receptor_state', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 2, 'fdr10_nonresponse_contexts': 1, 'weighted_mean_hedges_g_responder_minus_non': -0.7992404720915058, 'median_auc_high_score_nonresponse': 0.7138020833333334, 'min_p': 0.0133992745174144, 'best_context': 'GSE16879_Crohn_colitis_Leuven_baseline', 'best_context_p': 0.0133992745174144, 'best_context_effect': -1.176728350563892, 'meta_rank_score': 18.51304255542484, 'call': 'GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.4563400776925882, 'hedges_g_responder_minus_non': 0.5513507377973503, 'auc_high_score_response': 0.6450892857142857, 'auc_high_score_nonresponse': 0.3549107142857143, 'p': 0.0631194624664349, 'nonresponse_high_direction': False, 'fdr_ra': 0.1262389249328699, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.7153027061089988, 'gse282122_min_raw_fdr': 1.0, 'gse282122_best_cell_state': 'DC', 'gse282122_best_raw_p': 0.7153027061089988, 'gse282122_best_raw_fdr': 1.0, 'gse282122_best_raw_delta_remission_minus_non': -0.1105116815110601, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'CXCR4', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': -0.1, 'support_channels': 1, 'ms': False, 'broad_cell_state': False, 'response': True, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.3120868456565837, 'ms_p': 0.3176858396110893, 'ms_fdr': 0.9117075809002704, 'broad_positive_disease_count': 2, 'broad_positive_diseases': 'psoriasis;type 1 diabetes mellitus', 'response_contexts': 2, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 1, 'blocker_flag': True, 'blocker_text': 'NO_GO_BROAD_TRAFFICKING_AXIS_AND_EXISTING_AUTOIMMUNE_PRIOR_ART NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
HLA-DRB1	{'gene': 'HLA-DRB1', 'modules': 'hla_ii_apc;ifn_apc;mif_cd74_receptor_state', 'n_primary_contexts': 4, 'n_primary_overlap_groups': 4, 'nonresponse_high_contexts': 4, 'responder_high_contexts': 0, 'nominal_nonresponse_contexts_p_lt_0_05': 1, 'fdr10_nonresponse_contexts': 1, 'weighted_mean_hedges_g_responder_minus_non': -0.5088992011453852, 'median_auc_high_score_nonresponse': 0.6981770833333334, 'min_p': 0.0431810492970931, 'best_context': 'GSE12251_UC_ACT1_baseline', 'best_context_p': 0.0431810492970931, 'best_context_effect': -0.7991823992753071, 'meta_rank_score': 16.20707628447872, 'call': 'PARK_DIRECTIONAL_NONRESPONSE_GENE', 'system': 'RA_synovium_GSE198520_baseline', 'n_patients': 46.0, 'n_responders': 32.0, 'n_nonresponders': 14.0, 'covariates': 'pathotype;biologic;inflammatory_score;das28_score', 'effect_responder_minus_non': 0.5161875856367066, 'hedges_g_responder_minus_non': 0.5470463843151552, 'auc_high_score_response': 0.6450892857142857, 'auc_high_score_nonresponse': 0.3549107142857143, 'p': 0.0962515743993658, 'nonresponse_high_direction': False, 'fdr_ra': 0.1764612197321706, 'gse282122_cell_states_tested': 2, 'gse282122_min_raw_p': 0.0015446155305801, 'gse282122_min_raw_fdr': 0.5873562852590756, 'gse282122_best_cell_state': 'Mono_macro', 'gse282122_best_raw_p': 0.0015446155305801, 'gse282122_best_raw_fdr': 0.5873562852590756, 'gse282122_best_raw_delta_remission_minus_non': 0.6246527133101525, 'ra_replication_call': 'NO_RA_BASELINE_REPLICATION', 'cross_system_call': 'IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE'}	{'gene': 'HLA-DRB1', 'call': 'NO_GO_FRESH_SCAN', 'fresh_score': 1.7999999999999998, 'support_channels': 2, 'ms': False, 'broad_cell_state': True, 'response': True, 'genetics': False, 'perturbation_or_model': False, 'modality': False, 'ms_delta_log2': 0.5468677387854282, 'ms_p': 0.057765674762618, 'ms_fdr': 0.8989378106274888, 'broad_positive_disease_count': 4, 'broad_positive_diseases': 'Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis', 'response_contexts': 2, 'strong_l2g_disease_count': 0, 'strong_qtl_coloc_disease_count': 0, 'wave55_genetic_disease_count': 0, 'blocker_flag': True, 'blocker_text': 'NO_GO_BROAD_MHC_CLASS_II_AND_HLA_RISK_TAG NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   '}
