analysis	dataset_path	disease_name	compartment	donor_id	disease	group	role	n_cells	cell_types	module	mean_score
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	target	38	myeloid cell	target_inflammatory_nfkb	0.6772239762204292
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	endothelial_entry	0.056710661131210295
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	stromal_retention_fibrosis	0.10357952468965465
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	epithelial_chemokine_entry	0.4853174526164832
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	tls_lymphoid_niche	0.6480612379259957
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	tl1a_comparator	0.09008770051225534
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	target_ifn_apc	0.8460982323714901
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	target_hla_ii_apc	0.3196486807910428
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	target_lysosomal_apc	0.1992188117233549
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	target_mif_cd74_receptor_state	0.3154714827258003
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	target_mixscale_validated_ifng_readout	0.4250507142333318
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	target_lipid_loader_repair	0.07182422167128362
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	target_complement_phagocytosis	-0.05284276612450102
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	target_hif_nampt_metabolic	0.4613086542756409
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	target	406	myeloid cell	target_inflammatory_nfkb	0.7135594821495264
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	endothelial_entry	0.05075356847833348
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	stromal_retention_fibrosis	0.010562541936123817
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	epithelial_chemokine_entry	-0.0819456648052928
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	tls_lymphoid_niche	0.9489755322677942
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	tl1a_comparator	-0.07954635372248088
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	target_ifn_apc	0.7000482186614274
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	target_hla_ii_apc	0.19877713520825493
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	target_lysosomal_apc	0.07359079604037658
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	target_mif_cd74_receptor_state	0.19334071262304425
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	target_mixscale_validated_ifng_readout	0.2990862349083735
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	target_lipid_loader_repair	0.12898426549389203
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	target_complement_phagocytosis	-0.07279577596540342
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	target_hif_nampt_metabolic	0.1575243138099639
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	target	323	myeloid cell	target_inflammatory_nfkb	0.28357013193311414
