seed	cluster_size	within_cluster_correlation	beta_shape	n_sequences	naive_arrivals	guarded_arrivals	naive_ever_crossing	naive_final_e_q90	naive_maximum_e_q95	guarded_ever_crossing	guarded_final_e_q90	guarded_maximum_e_q95
57141	1	0.0	1.0	50000	12	12	0.00916	0.9769665234869376	5.124032028468673	0.00916	0.9769665234869376	5.124032028468673
57141	1	0.0	0.5	50000	12	12	0.5399	2630.196650482105	45174.24957316744	0.5399	2630.196650482105	45174.24957316744
57141	1	0.0	0.25	50000	12	12	0.98534	87756196753382.83	1.578919462443422e+16	0.98534	87756196753382.83	1.578919462443422e+16
57141	2	0.25	1.0	50000	12	6	0.01672	1.168517588909473	7.151272247155971	4e-05	0.30310742780929006	1.2006061432069655
57141	2	0.25	0.5	50000	12	6	0.53702	4639.6492436373455	115197.01694227345	0.01998	2.1188960176835736	8.11839617596833
57141	2	0.25	0.25	50000	12	6	0.97572	403831850691733.7	1.2420644207896675e+17	0.39822	940.5911702117058	11342.903923026666
57141	2	0.5	1.0	50000	12	6	0.02634	1.411266674508119	9.49215111181939	0.00018	0.3882630057092948	1.4586947983263698
57141	2	0.5	0.5	50000	12	6	0.5329	8876.049650743656	364230.88748230354	0.0506	4.23292726493411	20.2614167893621
57141	2	0.5	0.25	50000	12	6	0.96314	1793019897538776.0	1.131962113649189e+18	0.51648	7911.05329423997	157218.784758184
57141	2	0.75	1.0	50000	12	6	0.03858	1.634411564178781	14.001441680317734	0.00088	0.5391242917166004	1.9662277519456968
57141	2	0.75	0.5	50000	12	6	0.52932	17827.473118951984	1096052.579719079	0.10438	11.513349029139745	66.84683148408936
57141	2	0.75	0.25	50000	12	6	0.94904	6040771027427164.0	8.158685469306849e+18	0.64046	126244.89364709187	3550139.514368514
57141	3	0.25	1.0	50000	12	4	0.02442	1.34529948555246	8.741418759380622	0.0	0.30737460682079143	0.9004025656244697
57141	3	0.25	0.5	50000	12	4	0.53162	8065.324360269694	286479.85518910916	0.0017	0.8530592104861214	2.3532362877447004
57141	3	0.25	0.25	50000	12	4	0.96404	1134196827130250.5	5.1989892511363674e+17	0.10036	12.967166028509777	62.31862849845055
57141	3	0.5	1.0	50000	12	4	0.04236	1.9127998735374727	15.435594028297915	2e-05	0.3934890800613163	1.106802914446838
57141	3	0.5	0.5	50000	12	4	0.51986	26695.515182530693	2085330.6991960132	0.00924	1.5690328535793654	4.864599557042269
57141	3	0.5	0.25	50000	12	4	0.9409	2.078969110389413e+16	3.890172581500747e+19	0.21366	78.35912495019963	601.1125516556158
57141	3	0.75	1.0	50000	12	4	0.0615	2.525194513263324	29.752050519080875	0.0001	0.5475168546903534	1.5065907212875902
57141	3	0.75	0.5	50000	12	4	0.51378	88975.79691056078	15504930.320157502	0.03684	3.7230070253121252	13.932651500495124
57141	3	0.75	0.25	50000	12	4	0.91264	2.505011222791066e+17	1.7267584032773086e+21	0.36054	927.9989074254368	11992.809968171767
57141	4	0.25	1.0	50000	12	3	0.02964	1.607873975148476	10.709634410434044	0.0	0.34550193984138783	0.7953290921955113
57141	4	0.25	0.5	50000	12	3	0.51938	14072.45071257366	663015.4778138548	0.00016	0.6758627577144005	1.5155419131698777
57141	4	0.25	0.25	50000	12	3	0.95508	3980564429751287.5	3.1633729787885076e+18	0.0299	3.5358257813977105	11.19293230867506
57141	4	0.5	1.0	50000	12	3	0.05518	2.389187256112231	23.571744432789835	0.0	0.4272027787153897	0.965804291239027
