therapy	branch	n_rows	max_auc	min_p
adalimumab	locked scalar	1	0.5111111111111111	0.9438741677855862
dimethyl_fumarate	locked scalar	1	0.72	0.2979459256245464
fingolimod	locked scalar	1	0.6	0.7993087893522117
interferon-beta	CD74/receptor-state dynamics	3	0.7222222222222222	0.007349632518374
interferon-beta	HLA-II competence/induction	4	0.75	0.0002499875006249
interferon-beta	IFN/APC/STAT1 dynamics	1	0.7152777777777778	0.0420591588168236
methotrexate	CD74/receptor-state dynamics	1	0.9	0.0244755244755244
methotrexate	IFN/APC/STAT1 dynamics	1	0.6	0.3461538461538461
tofacitinib	locked scalar	1	1.0	0.0339251555299743
