omitted_gene	in_ifn_apc	in_hlaii	pooled_percentile_auc	intact_pooled_percentile_auc	auc_loss	pooled_raw_auc	auc_GSE235357	auc_GSE253006_TOF_exact
CXCL10	True	False	0.8	0.8222222222222222	0.022222222222222143	0.8	0.68	0.95
GBP1	True	False	0.8222222222222222	0.8222222222222222	0.0	0.8333333333333334	0.72	0.95
HLA-DPA1	False	True	0.8222222222222222	0.8222222222222222	0.0	0.8111111111111111	0.72	0.95
HLA-DPB1	False	True	0.8222222222222222	0.8222222222222222	0.0	0.8111111111111111	0.72	0.95
HLA-DRA	True	True	0.8222222222222222	0.8222222222222222	0.0	0.8111111111111111	0.72	0.95
HLA-DRB1	False	True	0.8222222222222222	0.8222222222222222	0.0	0.8111111111111111	0.72	0.95
ISG15	True	False	0.8222222222222222	0.8222222222222222	0.0	0.8111111111111111	0.72	0.95
STAT1	True	False	0.8222222222222222	0.8222222222222222	0.0	0.8111111111111111	0.72	0.95
CD74	True	False	0.8444444444444444	0.8222222222222222	-0.022222222222222254	0.8111111111111111	0.76	0.95
HLA-DQB1	False	True	0.8444444444444444	0.8222222222222222	-0.022222222222222254	0.8222222222222222	0.76	0.95
IRF1	True	False	0.8444444444444444	0.8222222222222222	-0.022222222222222254	0.8555555555555555	0.76	0.95
HLA-DQA1	False	True	0.8666666666666667	0.8222222222222222	-0.04444444444444451	0.8333333333333334	0.8	0.95
