cohort	module	n_present	n_frozen	present_genes
GSE235357	IFN_APC	7	7	CD74;CXCL10;GBP1;HLA-DRA;IRF1;ISG15;STAT1
GSE235357	HLAII	6	6	HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1
GSE253006_TOF_exact	IFN_APC	7	7	CD74;CXCL10;GBP1;HLA-DRA;IRF1;ISG15;STAT1
GSE253006_TOF_exact	HLAII	6	6	HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1
