analysis	gene	module	gene_metric	module_metric	n	spearman_r	spearman_p
ibd_crohn_epithelial	CD74	hla_ii_apc	mean_log_norm	mean_score	12	0.9230769230769231	1.8621951098680993e-05
ibd_crohn_epithelial	CD74	hla_ii_apc	mean_log_norm	high_fraction	12	0.9510489510489512	2.038424632465578e-06
ibd_crohn_epithelial	CD74	hla_ii_apc	detection_fraction	mean_score	12	0.9370629370629372	6.9931649532105415e-06
ibd_crohn_epithelial	CD74	hla_ii_apc	detection_fraction	high_fraction	12	0.9930069930069931	1.3016730560634414e-10
ibd_crohn_epithelial	CD74	ifn_apc	mean_log_norm	mean_score	12	0.9160839160839163	2.842804534854714e-05
ibd_crohn_epithelial	CD74	ifn_apc	mean_log_norm	high_fraction	12	0.9160839160839163	2.842804534854714e-05
ibd_crohn_epithelial	CD74	ifn_apc	detection_fraction	mean_score	12	0.9300699300699302	1.1702227928659685e-05
ibd_crohn_epithelial	CD74	ifn_apc	detection_fraction	high_fraction	12	0.9580419580419581	9.543581826838402e-07
ibd_crohn_epithelial	CD74	mif_cd74_receptor_state	mean_log_norm	mean_score	12	0.8881118881118882	0.00011413359814618024
ibd_crohn_epithelial	CD74	mif_cd74_receptor_state	mean_log_norm	high_fraction	12	0.9020979020979022	5.997857446537692e-05
ibd_crohn_epithelial	CD74	mif_cd74_receptor_state	detection_fraction	mean_score	12	0.9160839160839163	2.842804534854714e-05
ibd_crohn_epithelial	CD74	mif_cd74_receptor_state	detection_fraction	high_fraction	12	0.9300699300699302	1.1702227928659685e-05
ibd_crohn_epithelial	CD74	mixscale_validated_ifng_readout	mean_log_norm	mean_score	12	0.9160839160839163	2.842804534854714e-05
ibd_crohn_epithelial	CD74	mixscale_validated_ifng_readout	mean_log_norm	high_fraction	12	0.9300699300699302	1.1702227928659685e-05
ibd_crohn_epithelial	CD74	mixscale_validated_ifng_readout	detection_fraction	mean_score	12	0.9580419580419581	9.543581826838402e-07
ibd_crohn_epithelial	CD74	mixscale_validated_ifng_readout	detection_fraction	high_fraction	12	0.9720279720279721	1.2868115751495027e-07
ibd_crohn_epithelial	CIITA	hla_ii_apc	mean_log_norm	mean_score	12	0.8391608391608393	0.0006428259886278204
ibd_crohn_epithelial	CIITA	hla_ii_apc	mean_log_norm	high_fraction	12	0.8111888111888113	0.0013633152527271926
ibd_crohn_epithelial	CIITA	hla_ii_apc	detection_fraction	mean_score	12	0.9020979020979022	5.997857446537692e-05
ibd_crohn_epithelial	CIITA	hla_ii_apc	detection_fraction	high_fraction	12	0.8461538461538463	0.0005211337004810047
ibd_crohn_epithelial	CIITA	ifn_apc	mean_log_norm	mean_score	12	0.8321678321678322	0.0007854416778536134
ibd_crohn_epithelial	CIITA	ifn_apc	mean_log_norm	high_fraction	12	0.8671328671328673	0.00025981184986148103
ibd_crohn_epithelial	CIITA	ifn_apc	detection_fraction	mean_score	12	0.8881118881118882	0.00011413359814618024
ibd_crohn_epithelial	CIITA	ifn_apc	detection_fraction	high_fraction	12	0.8881118881118882	0.00011413359814618024
ibd_crohn_epithelial	CIITA	mif_cd74_receptor_state	mean_log_norm	mean_score	12	0.8741258741258742	0.00020071307332423182
ibd_crohn_epithelial	CIITA	mif_cd74_receptor_state	mean_log_norm	high_fraction	12	0.8671328671328673	0.00025981184986148103
ibd_crohn_epithelial	CIITA	mif_cd74_receptor_state	detection_fraction	mean_score	12	0.8951048951048951	8.366586429091719e-05
ibd_crohn_epithelial	CIITA	mif_cd74_receptor_state	detection_fraction	high_fraction	12	0.8951048951048951	8.366586429091719e-05
ibd_crohn_epithelial	CIITA	mixscale_validated_ifng_readout	mean_log_norm	mean_score	12	0.8321678321678322	0.0007854416778536134
ibd_crohn_epithelial	CIITA	mixscale_validated_ifng_readout	mean_log_norm	high_fraction	12	0.8251748251748254	0.0009513628555555001
ibd_crohn_epithelial	CIITA	mixscale_validated_ifng_readout	detection_fraction	mean_score	12	0.8531468531468532	0.00041811794041499677
ibd_crohn_epithelial	CIITA	mixscale_validated_ifng_readout	detection_fraction	high_fraction	12	0.8461538461538463	0.0005211337004810047
ibd_crohn_epithelial	GSK3A	hla_ii_apc	mean_log_norm	mean_score	12	-0.10489510489510491	0.7456094809807079
ibd_crohn_epithelial	GSK3A	hla_ii_apc	mean_log_norm	high_fraction	12	-0.07692307692307693	0.8121826980280591
ibd_crohn_epithelial	GSK3A	hla_ii_apc	detection_fraction	mean_score	12	-0.2657342657342658	0.4038330883147116
ibd_crohn_epithelial	GSK3A	hla_ii_apc	detection_fraction	high_fraction	12	-0.1398601398601399	0.6646331617926677
ibd_crohn_epithelial	GSK3A	ifn_apc	mean_log_norm	mean_score	12	-0.08391608391608392	0.7954145018538978
ibd_crohn_epithelial	GSK3A	ifn_apc	mean_log_norm	high_fraction	12	-0.04195804195804196	0.8969858708195542
ibd_crohn_epithelial	GSK3A	ifn_apc	detection_fraction	mean_score	12	-0.25874125874125875	0.41677476889913817
ibd_crohn_epithelial	GSK3A	ifn_apc	detection_fraction	high_fraction	12	-0.2377622377622378	0.45680085263992326
ibd_crohn_epithelial	GSK3A	mif_cd74_receptor_state	mean_log_norm	mean_score	12	-0.1328671328671329	0.6805975082860817
ibd_crohn_epithelial	GSK3A	mif_cd74_receptor_state	mean_log_norm	high_fraction	12	-0.16083916083916086	0.6175234895401425
