analysis	disease_name	compartment	role	gene	present
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	MED16	True
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	CIITA	True
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	RFX5	True
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	CD74	True
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	GSK3B	True
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	GSK3A	True
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	MED16	True
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	CIITA	True
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	RFX5	True
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	CD74	True
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	GSK3B	True
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	GSK3A	True
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	MED16	True
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	CIITA	True
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	RFX5	True
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	CD74	True
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	GSK3B	True
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	GSK3A	True
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	MED16	True
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	CIITA	True
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	RFX5	True
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	CD74	True
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	GSK3B	True
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	GSK3A	True
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	MED16	True
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	CIITA	True
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	RFX5	True
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	CD74	True
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	GSK3B	True
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	GSK3A	True
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	MED16	True
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	CIITA	True
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	RFX5	True
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	CD74	True
