analysis	disease_name	compartment	role	gene	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr	support_level
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD74	mean_log_norm	6.0	6.0	1.038698399919156	0.28416070927424114	0.7545376906449148	1.617302261852663	3.034687162785283	0.013221801777364778	0.026443603554729557	fdr10_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD74	detection_fraction	6.0	6.0	0.5253054273220389	0.16562127961984088	0.35968414770219803	2.0201422728492724	3.7905714763503267	0.003540360352713075	0.02053496422879314	fdr10_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CIITA	mean_log_norm	6.0	6.0	0.04504910573774967	0.010495758325943133	0.03455334741180654	1.1541333713932693	2.1656024411275614	0.06519633583162449	0.08692844777549931	fdr10_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CIITA	detection_fraction	6.0	6.0	0.04490326298865036	0.008038925170874374	0.03686433781777599	1.2065975681912922	2.2640456500960684	0.06137106559587425	0.08692844777549931	fdr10_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GSK3A	mean_log_norm	6.0	6.0	0.08717347050293767	0.09528921350404533	-0.008115743001107664	-0.2799668321495508	-0.5253265091935573	0.6119751844271158	0.6676092921023082	null_or_negative
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GSK3A	detection_fraction	6.0	6.0	0.09121318302126802	0.09414095820717498	-0.002927775185906964	-0.06862056098460996	-0.12875882290832497	0.9001504178294163	0.9001504178294163	null_or_negative
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GSK3B	mean_log_norm	6.0	6.0	0.13900255157960992	0.06319661029051873	0.07580594128909118	2.0314209488751955	3.8117346529292524	0.005133741057198285	0.02053496422879314	fdr10_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GSK3B	detection_fraction	6.0	6.0	0.13516122728977467	0.05886424359134109	0.07629698369843357	1.7563832363582121	3.2956570865125694	0.010012126804515712	0.024029104330837707	fdr10_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	MED16	mean_log_norm	6.0	6.0	0.1925766570707579	0.10223870490271492	0.090337952168043	2.2507986222642975	4.223372368981775	0.0017622489553163906	0.02053496422879314	fdr10_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	MED16	detection_fraction	6.0	6.0	0.1752294699045229	0.08665272259061986	0.08857674731390304	1.9331687507810593	3.627375370620355	0.007021082381296174	0.021063247143888523	fdr10_positive
