analysis	status	n_rows
ibd_crohn_myeloid	completed	72
ibd_uc_myeloid	completed	72
ibd_crohn_epithelial	completed	72
ibd_uc_epithelial	completed	72
ibd_crohn_stromal	completed	72
ibd_uc_stromal	completed	72
psoriasis_skin_apc	completed	30
psoriasis_keratinocyte	completed	30
psoriasis_skin_stromal	completed	30
sjogren_gland_apc	completed	132
sjogren_gland_epithelial	completed	150
sjogren_gland_stromal	completed	144
ra_blood_myeloid	completed	216
t1d_beta_cell	completed	132
t1d_ductal_cell	completed	144
t1d_acinar_cell	completed	138
t1d_stellate_cell	completed	126
t1d_endothelial_cell	completed	132
