disease_name	receptor_myeloid_tested_contexts	receptor_myeloid_positive_contexts	receptor_myeloid_negative_contexts	ligand_nonmyeloid_tested_contexts	ligand_nonmyeloid_positive_contexts	ligand_nonmyeloid_negative_contexts	best_receptor_context	best_ligand_context	coherent_compartment_signal
Crohn disease	1	0	0	6	2	1	{'analysis': 'ibd_crohn_myeloid', 'delta_log2_cpm': 0.975302839797214, 'p': 0.1413388691761818}	{'analysis': 'ibd_crohn_epithelial', 'gene': 'CYP27A1', 'delta_log2_cpm': -1.8185872484310737, 'p': 0.0020256693223881}	False
Sjogren syndrome	1	0	0	8	0	0	{'analysis': 'sjogren_gland_apc', 'delta_log2_cpm': 0.2633994006448397, 'p': 0.2974534480328355}	{'analysis': 'sjogren_gland_stromal', 'gene': 'CH25H', 'delta_log2_cpm': 0.9847826299219392, 'p': 0.1413820547793303}	False
psoriasis	1	0	1	8	1	2	{'analysis': 'psoriasis_skin_apc', 'delta_log2_cpm': -1.2498901037911736, 'p': 0.0496082040015271}	{'analysis': 'psoriasis_skin_stromal', 'gene': 'HSD3B7', 'delta_log2_cpm': -0.7120219991008807, 'p': 0.0012863968859704}	False
type 1 diabetes mellitus	0	0	0	18	6	1	{}	{'analysis': 't1d_endothelial_cell', 'gene': 'CYP27A1', 'delta_log2_cpm': 1.84442933113559, 'p': 0.0198807926844594}	False
ulcerative colitis	1	1	0	6	0	2	{'analysis': 'ibd_uc_myeloid', 'delta_log2_cpm': 1.0385480940916807, 'p': 0.0969321031619274}	{'analysis': 'ibd_uc_epithelial', 'gene': 'CYP27A1', 'delta_log2_cpm': -3.9939633258528295, 'p': 0.0001359160277507}	False
