seed	regime	design	n_replicates	rmse_median	rmse_q95	spearman_median	top10_recall_median	synthetic_only
5731	descriptor_aligned	d_optimal	1000	0.3079391838832339	0.41071272582021046	0.939669835134815	0.7	True
5731	descriptor_aligned	random	1000	0.48325609939894854	0.6935644290181018	0.8652919544223892	0.6	True
5731	mixed	d_optimal	1000	0.862098284568162	1.0833614896714272	0.6625907749706753	0.1	True
5731	mixed	random	1000	1.0350110202456542	1.4794366808236743	0.5238869763528954	0.1	True
5731	idiosyncratic	d_optimal	1000	0.8516418286946168	1.0902203296731654	0.004649624292902956	0.0	True
5731	idiosyncratic	random	1000	1.0430871725781348	1.5400167509579614	-0.0015142746506449259	0.0	True
5732	descriptor_aligned	d_optimal	1000	0.3152743947038824	0.42265443792053037	0.9396359595754706	0.7	True
5732	descriptor_aligned	random	1000	0.4963735299317309	0.709534984883098	0.862716762235491	0.6	True
5732	mixed	d_optimal	1000	0.8678455006128065	1.1009075211746158	0.6714565249823756	0.1	True
5732	mixed	random	1000	1.0348689297437663	1.4970499379105502	0.5346955255101784	0.1	True
5732	idiosyncratic	d_optimal	1000	0.8617127288666957	1.0899762483335138	0.003797050308954669	0.0	True
5732	idiosyncratic	random	1000	1.0415108102163069	1.4939088772059912	-0.001804520597609961	0.0	True
5733	descriptor_aligned	d_optimal	1000	0.22012550935924335	0.305098909154729	0.9586913939555516	0.8	True
5733	descriptor_aligned	random	1000	0.4329042087139225	0.6149458141655686	0.8596977884923757	0.6	True
5733	mixed	d_optimal	1000	0.7745249931608245	0.9602994229340988	0.7229304656779566	0.1	True
5733	mixed	random	1000	0.9609557810669347	1.3436389895911782	0.5456556982300689	0.1	True
5733	idiosyncratic	d_optimal	1000	0.7704345314169339	0.9569984989587392	-0.0016771174816872794	0.0	True
5733	idiosyncratic	random	1000	0.9587347492899064	1.350462219077965	0.0046198639782983894	0.0	True
