truth	scenario	severity	replicate	seed	n	auc	hedges_g	receptor_auc	primary_pass	existing_guard_flag	calibrated_q10_guard_flag	calibrated_q20_guard_flag	existing_guarded_acceptable_pass	calibrated_q10_acceptable_pass	calibrated_q20_acceptable_pass
planted	batch_only	0.0	0	48245	60	0.76	0.94567653452197	0.5111111111111111	True	True	False	True	False	True	False
planted	batch_only	0.0	1	48246	60	0.75	0.9746385955665767	0.51	True	True	False	True	False	True	False
planted	batch_only	0.0	2	48247	60	0.6966666666666667	0.7283391999483078	0.5233333333333333	False	True	False	False	False	False	False
planted	batch_only	0.0	3	48248	60	0.8533333333333334	1.4781362679752457	0.38555555555555554	True	False	False	False	True	True	True
planted	batch_only	0.0	4	48249	60	0.8655555555555555	1.5655614480617335	0.5466666666666666	True	True	False	False	False	True	True
planted	batch_only	0.0	5	48250	60	0.7744444444444445	1.056278447041212	0.3244444444444444	True	True	False	False	False	True	True
planted	batch_only	0.0	6	48251	60	0.7966666666666666	1.1414522233320854	0.5033333333333333	True	True	False	True	False	True	False
planted	batch_only	0.0	7	48252	60	0.7688888888888888	1.065890709333579	0.6222222222222222	True	True	False	False	False	True	True
planted	batch_only	0.0	8	48253	60	0.81	1.1883013736763424	0.5944444444444444	True	False	False	False	True	True	True
planted	batch_only	0.0	9	48254	60	0.7122222222222222	0.7307550802816914	0.38666666666666666	True	True	False	False	False	True	True
planted	batch_only	0.0	10	48255	60	0.75	0.8782313348113666	0.4011111111111111	True	True	False	False	False	True	True
planted	batch_only	0.0	11	48256	60	0.8088888888888889	1.314133349818513	0.43	True	False	False	False	True	True	True
planted	batch_only	0.0	12	48257	60	0.8266666666666667	1.265727929160344	0.4088888888888889	True	False	False	False	True	True	True
planted	batch_only	0.0	13	48258	60	0.8022222222222222	1.2345740256022903	0.5711111111111111	True	True	False	False	False	True	True
planted	batch_only	0.0	14	48259	60	0.7455555555555555	0.904040581449341	0.57	True	False	False	False	True	True	True
planted	batch_only	0.0	15	48260	60	0.7577777777777778	1.01974938223574	0.44	True	False	False	False	True	True	True
planted	batch_only	0.0	16	48261	60	0.8233333333333334	1.2484133371240322	0.54	True	True	False	False	False	True	True
planted	batch_only	0.0	17	48262	60	0.8466666666666667	1.337074153655929	0.4022222222222222	True	True	False	False	False	True	True
planted	batch_only	0.0	18	48263	60	0.7911111111111111	1.0766164084046146	0.5677777777777778	True	False	False	False	True	True	True
planted	batch_only	0.0	19	48264	60	0.82	1.242464576903444	0.44	True	True	False	False	False	True	True
planted	batch_only	0.0	20	48265	60	0.8677777777777778	1.5306353454845916	0.45	True	False	False	False	True	True	True
planted	batch_only	0.0	21	48266	60	0.78	1.0350570101391054	0.5888888888888889	True	False	False	False	True	True	True
planted	batch_only	0.0	22	48267	60	0.7677777777777778	1.0531091385586844	0.4922222222222222	True	False	False	False	True	True	True
planted	batch_only	0.0	23	48268	60	0.8011111111111111	1.125226924882701	0.5855555555555556	True	True	False	False	False	True	True
planted	batch_only	0.0	24	48269	60	0.7888888888888889	1.1627526445694316	0.4211111111111111	True	False	False	False	True	True	True
planted	batch_only	0.0	25	48270	60	0.8411111111111111	1.4450526285418954	0.40555555555555556	True	False	False	False	True	True	True
planted	batch_only	0.0	26	48271	60	0.7722222222222223	1.0050729836547578	0.6	True	True	False	False	False	True	True
planted	batch_only	0.0	27	48272	60	0.8655555555555555	1.5880911611710196	0.4222222222222222	True	False	False	False	True	True	True
planted	batch_only	0.0	28	48273	60	0.77	0.9350897224030357	0.4777777777777778	True	False	False	False	True	True	True
planted	batch_only	0.0	29	48274	60	0.7666666666666667	0.9863575720993213	0.6088888888888889	True	True	False	True	False	True	False
planted	batch_only	0.25	0	48325	60	0.8444444444444444	1.4381136676544655	0.5255555555555556	True	True	False	False	False	True	True
planted	batch_only	0.25	1	48326	60	0.84	1.3093068766392961	0.5644444444444444	True	True	False	False	False	True	True
planted	batch_only	0.25	2	48327	60	0.8222222222222222	1.3312733870416846	0.6977777777777778	True	True	False	True	False	True	False
planted	batch_only	0.25	3	48328	60	0.8455555555555555	1.4075629418392177	0.4955555555555556	True	True	False	True	False	True	False
planted	batch_only	0.25	4	48329	60	0.78	1.1104320309758264	0.45111111111111113	True	True	True	True	False	False	False
planted	batch_only	0.25	5	48330	60	0.8111111111111111	1.189491334221208	0.47333333333333333	True	True	True	True	False	False	False
planted	batch_only	0.25	6	48331	60	0.7777777777777778	1.0085381965524274	0.5655555555555556	True	False	False	False	True	True	True
