source	dataset	system	pathway	perturbation	perturbation_type	condition	n_cell_types	target_module_effect	target_module_median_effect	target_negative_fraction	target_sig_negative_fdr10_total	generic_ifn_effect	generic_ifn_median_effect	generic_ifn_negative_fraction	generic_ifn_sig_negative_fdr10_total	stress_module_effect	stress_module_median_effect	stress_positive_fraction	stress_sig_positive_fdr10_total	effect_scale	provenance	target_suppression	generic_ifn_suppression	target_vs_ifn_margin	target_over_ifn_ratio	stress_induction	stress_abs_effect	selectivity_score	evidence_call	control_class	target_n_genes	target_genes_present	generic_ifn_n_genes	generic_ifn_genes_present	stress_n_genes	stress_genes_present	within_direct_rank
mouse_macrophage_RNAseq	GSE162464	primary mouse macrophage RNA-seq, triplicates		Med16_KO	gene_knockout	Med16_IFNg_vs_NTC_IFNg		-3.139501453617054	-3.3427175736895443	1.0	8	-0.797854931783739	-0.9354101171160094	0.8333333333333334	3	-0.3652912317130771	-0.285571727714494	0.2307692307692307	0	mean_log2FC_across_readout_genes	data/raw_v3/wave14_gsk3b_ciita/GSE162464_Normalized_Gene_Counts_Matrix.txt.gz	3.139501453617054	0.797854931783739	2.3416465218333142	3.9349276773888824	0.0	0.3652912317130771	2.3051173986620066	selective_target_suppression	candidate_or_other_control	11.0	Cd74,Ciita,Ctss,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Eb1,Ifi30,Rfx5	6.0	Cxcl10,Gbp2,Ifit1,Irf1,Isg15,Stat1	13.0	Atf4,Bax,Casp3,Ddit3,Dnajb1,Fos,Gadd45a,Hmox1,Hsp90aa1,Hspa1a,Hspa1b,Jun,Klf6	1
mouse_macrophage_RNAseq	GSE162464	primary mouse macrophage RNA-seq, triplicates		Gsk3b_KO	gene_knockout	Gsk3b_IFNg_vs_NTC_IFNg		-1.6223580114004137	-1.5205634854218104	1.0	9	-0.7952007387801626	-0.7508426789188727	1.0	3	-0.4920089057695336	-0.4057984333559385	0.1538461538461538	0	mean_log2FC_across_readout_genes	data/raw_v3/wave14_gsk3b_ciita/GSE162464_Normalized_Gene_Counts_Matrix.txt.gz	1.6223580114004137	0.7952007387801626	0.8271572726202511	2.0401867506928	0.0	0.4920089057695336	0.7779563820432978	selective_target_suppression	candidate_or_other_control	11.0	Cd74,Ciita,Ctss,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Eb1,Ifi30,Rfx5	6.0	Cxcl10,Gbp2,Ifit1,Irf1,Isg15,Stat1	13.0	Atf4,Bax,Casp3,Ddit3,Dnajb1,Fos,Gadd45a,Hmox1,Hsp90aa1,Hspa1a,Hspa1b,Jun,Klf6	2
Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	IFNG	RFX5	CRISPRi_gene	IFNG_pathway	6.0	-0.5517938735080701	-0.7983877358363412	0.5958333333333333	6	0.0831528667577198	0.0567945650661417	0.236111111111111	0	0.0635446213280031	0.0355120286741617	0.5944444444444444	0	mean_log2FC_across_readout_genes_and_cell_types	data/raw_v3/mixscale/DE_results_all_pathway.zip	0.5517938735080701	0.0	0.5517938735080701	5.5179387350807	0.0635446213280031	0.0635446213280031	0.5231987939104686	weak_selective_target_suppression	candidate_or_other_control							4
Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	IFNG	JAK1	CRISPRi_gene	IFNG_pathway	6.0	-1.0321591183170895	-1.1290247648695424	1.0	14	-0.8728855107246258	-0.8710536114726444	1.0	19	-0.0705673160767238	-0.0640417736495437	0.45	1	mean_log2FC_across_readout_genes_and_cell_types	data/raw_v3/mixscale/DE_results_all_pathway.zip	1.0321591183170895	0.8728855107246258	0.1592736075924636	1.1824679246425374	0.0	0.0705673160767238	0.1522168759847912	target_suppression_not_selective	broad_IFN_JAK_positive_control							7
Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	IFNG	JAK2	CRISPRi_gene	IFNG_pathway	6.0	-1.079602966179328	-1.1225275220351354	1.0	13	-1.1299977569177326	-1.129797366800299	1.0	19	-0.0192136675659321	-0.0289832872667706	0.4694444444444445	5	mean_log2FC_across_readout_genes_and_cell_types	data/raw_v3/mixscale/DE_results_all_pathway.zip	1.079602966179328	1.1299977569177326	-0.0503947907384045	0.9554027515276976	0.0	0.0192136675659321	-0.0523161574949977	broad_ifn_jak_like_collapse	broad_IFN_JAK_positive_control							134
Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	IFNG	STAT1	CRISPRi_gene	IFNG_pathway	6.0	-1.0117337805990914	-1.0334828730393124	1.0	13	-1.4081139020072244	-1.4929225328706264	1.0	19	-0.0484576510383318	-0.0783020438770293	0.3472222222222222	3	mean_log2FC_across_readout_genes_and_cell_types	data/raw_v3/mixscale/DE_results_all_pathway.zip	1.0117337805990914	1.4081139020072244	-0.396380121408133	0.7185027994943414	0.0	0.0484576510383318	-0.4012258865119662	broad_ifn_jak_like_collapse	broad_IFN_JAK_positive_control							176
Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	IFNB	JAK1	CRISPRi_gene	IFNB_pathway	6.0	0.0156446546612407	-0.0404238852633245	0.625	2	-0.4545325872513008	-0.384767387529801	0.7999999999999999	21	0.0571388586907152	0.1093392567896476	0.6678571428571428	5	mean_log2FC_across_readout_genes_and_cell_types	data/raw_v3/mixscale/DE_results_all_pathway.zip	0.0	0.4545325872513008	-0.4545325872513008	0.0	0.0571388586907152	0.0571388586907152	-0.4802450736621226	null_or_wrong_direction	broad_IFN_JAK_positive_control							178
Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	IFNB	STAT1	CRISPRi_gene	IFNB_pathway	6.0	-0.0203842553210002	0.033234663953723	0.625	2	-0.6961633422412986	-0.6100008074466077	0.8333333333333334	19	0.0904738077750058	0.1443069243159105	0.7761904761904761	7	mean_log2FC_across_readout_genes_and_cell_types	data/raw_v3/mixscale/DE_results_all_pathway.zip	0.0203842553210002	0.6961633422412986	-0.6757790869202983	0.0292808513234453	0.0904738077750058	0.0904738077750058	-0.7164923004190509	null_or_wrong_direction	broad_IFN_JAK_positive_control							182
human_macrophage_RNAseq_descriptive	GSE294918	human macrophage IFN-gamma memory/ruxolitinib CPM table		ruxolitinib	JAK_inhibitor	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H		-1.0198365329867134	-0.945758234596056	1.0	0	-3.245924547797378	-2.630857377091687	1.0	0	-0.3543429084868341	-0.3894133499253596	0.2307692307692307	0	descriptive_mean_log2CPM_difference	data/raw_v3/wave14_gsk3b_ciita/GSE294918_IFNyRNAseq_CPM.csv.gz	1.0198365329867134	3.245924547797378	-2.2260880148106645	0.3141898457494197	0.0	0.3543429084868341	-2.261522305659348	broad_ifn_jak_like_collapse	broad_IFN_JAK_positive_control	13.0	CD74,CIITA,CTSS,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IFI30,RFX5	6.0	CXCL10,GBP1,IFIT1,IRF1,ISG15,STAT1	13.0	ATF4,BAX,CASP3,DDIT3,DNAJB1,FOS,GADD45A,HMOX1,HSP90AA1,HSPA1A,HSPA1B,JUN,KLF6	183
human_macrophage_RNAseq_descriptive	GSE294918	human macrophage IFN-gamma memory/ruxolitinib CPM table		ruxolitinib	JAK_inhibitor	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H		-0.7613338105220838	-0.7830326954902276	1.0	0	-3.349528138153343	-2.6912839228628016	1.0	0	-0.4458908974963178	-0.5171329723740126	0.3846153846153846	0	descriptive_mean_log2CPM_difference	data/raw_v3/wave14_gsk3b_ciita/GSE294918_IFNyRNAseq_CPM.csv.gz	0.7613338105220838	3.349528138153343	-2.588194327631259	0.2272958396288682	0.0	0.4458908974963178	-2.632783417380891	broad_ifn_jak_like_collapse	broad_IFN_JAK_positive_control	13.0	CD74,CIITA,CTSS,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IFI30,RFX5	6.0	CXCL10,GBP1,IFIT1,IRF1,ISG15,STAT1	13.0	ATF4,BAX,CASP3,DDIT3,DNAJB1,FOS,GADD45A,HMOX1,HSP90AA1,HSPA1A,HSPA1B,JUN,KLF6	184
