gene_or_target	target_chembl_id	total_count	errors	retained_activity_rows	unique_molecules	min_nM	median_nM	n_sub_100nM	n_sub_1000nM
CDK8	CHEMBL5719	953	[]	953	848	0.2	396.0	355	553
CDK19	CHEMBL6002	218	[]	218	213	2.0	100000.0	14	27
CDK8_CyclinC_complex	CHEMBL3038474	714	[]	714	689	0.191	21.8	508	642
CDK19_CyclinC_complex	CHEMBL3883323	159	[]	159	156	0.36	11.0	131	151
CDK8_CDK19_family	CHEMBL3885556	90	[]	90	77	0.08	33.9	63	78
