candidate	source	query	hit_count	url
IFNG_IFNGR_axis	EuropePMC	"""IFNGR1"" autoimmune"	1845.0	https://europepmc.org/search?query=%22IFNGR1%22+autoimmune
IFNG_IFNGR_axis	EuropePMC	"""IFNGR2"" autoimmune"	1065.0	https://europepmc.org/search?query=%22IFNGR2%22+autoimmune
IFNG_IFNGR_axis	EuropePMC	"""interferon gamma receptor"" autoimmune"	712.0	https://europepmc.org/search?query=%22interferon+gamma+receptor%22+autoimmune
IFNG_IFNGR_axis	EuropePMC	"""anti-IFN-gamma"" autoimmune"	215.0	https://europepmc.org/search?query=%22anti-IFN-gamma%22+autoimmune
IFNG_IFNGR_axis	EuropePMC	"""emapalumab"" autoimmune"	591.0	https://europepmc.org/search?query=%22emapalumab%22+autoimmune
IFNG_IFNGR_axis	EuropePMC	"""IFN-gamma"" ""multiple sclerosis"""	3103.0	https://europepmc.org/search?query=%22IFN-gamma%22+%22multiple+sclerosis%22
IFNG_IFNGR_axis	EuropePMC	"""IFN-gamma"" Crohn psoriasis Sjogren"	19.0	https://europepmc.org/search?query=%22IFN-gamma%22+Crohn+psoriasis+Sjogren
IFNG_IFNGR_axis	ClinicalTrials.gov	IFN gamma autoimmune	10.0	https://clinicaltrials.gov/search?term=IFN+gamma+autoimmune
IFNG_IFNGR_axis	ClinicalTrials.gov	emapalumab autoimmune	7.0	https://clinicaltrials.gov/search?term=emapalumab+autoimmune
IFNG_IFNGR_axis	ClinicalTrials.gov	anti IFN gamma	10.0	https://clinicaltrials.gov/search?term=anti+IFN+gamma
IFNG_IFNGR_axis	ClinicalTrials.gov	interferon gamma receptor autoimmune	10.0	https://clinicaltrials.gov/search?term=interferon+gamma+receptor+autoimmune
IFNG_IFNGR_axis	Google Patents URL	"""IFNGR1"" autoimmune OR ""IFNGR2"" autoimmune"		https://patents.google.com/?q=(%22IFNGR1%22+autoimmune+OR+%22IFNGR2%22+autoimmune)
IFNG_IFNGR_axis	Espacenet URL	"""IFNGR1"" autoimmune OR ""IFNGR2"" autoimmune"		https://worldwide.espacenet.com/patent/search?q=%22IFNGR1%22+autoimmune+OR+%22IFNGR2%22+autoimmune
IRF1_STAT1_program	EuropePMC	"""IRF1"" autoimmune"	4655.0	https://europepmc.org/search?query=%22IRF1%22+autoimmune
IRF1_STAT1_program	EuropePMC	"""STAT1"" autoimmune"	17996.0	https://europepmc.org/search?query=%22STAT1%22+autoimmune
IRF1_STAT1_program	EuropePMC	"""IRF1"" ""multiple sclerosis"""	1450.0	https://europepmc.org/search?query=%22IRF1%22+%22multiple+sclerosis%22
IRF1_STAT1_program	EuropePMC	"""IRF1"" ""Crohn"""	168.0	https://europepmc.org/search?query=%22IRF1%22+%22Crohn%22
IRF1_STAT1_program	EuropePMC	"""IRF1"" psoriasis"	904.0	https://europepmc.org/search?query=%22IRF1%22+psoriasis
IRF1_STAT1_program	EuropePMC	"""STAT1"" ""multiple sclerosis"""	5527.0	https://europepmc.org/search?query=%22STAT1%22+%22multiple+sclerosis%22
IRF1_STAT1_program	EuropePMC	"""STAT1"" Crohn psoriasis Sjogren"	27.0	https://europepmc.org/search?query=%22STAT1%22+Crohn+psoriasis+Sjogren
IRF1_STAT1_program	ClinicalTrials.gov	IRF1 autoimmune	1.0	https://clinicaltrials.gov/search?term=IRF1+autoimmune
